ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad
765.0,85,BOSA CENTRAL,07,BOSA
557.0,87,TINTAL SUR,07,BOSA
248.0,88,EL REFUGIO,02,CHAPINERO
244.0,88,EL REFUGIO,02,CHAPINERO
264.0,88,EL REFUGIO,02,CHAPINERO
265.0,88,EL REFUGIO,02,CHAPINERO
158.0,14,USAQUEN,01,USAQUEN
250.0,90,PARDO RUBIO,02,CHAPINERO
266.0,90,PARDO RUBIO,02,CHAPINERO
484.0,96,LOURDES,03,SANTA FE
479.0,92,LA MACARENA,03,SANTA FE
478.0,94,LA CANDELARIA,17,CANDELARIA
477.0,94,LA CANDELARIA,17,CANDELARIA
485.0,96,LOURDES,03,SANTA FE
156.0,14,USAQUEN,01,USAQUEN
157.0,14,USAQUEN,01,USAQUEN
243.0,88,EL REFUGIO,02,CHAPINERO
263.0,88,EL REFUGIO,02,CHAPINERO
262.0,88,EL REFUGIO,02,CHAPINERO
261.0,88,EL REFUGIO,02,CHAPINERO
260.0,88,EL REFUGIO,02,CHAPINERO
245.0,88,EL REFUGIO,02,CHAPINERO
252.0,90,PARDO RUBIO,02,CHAPINERO
253.0,88,EL REFUGIO,02,CHAPINERO
847.0,97,CHICO LAGO,02,CHAPINERO
251.0,90,PARDO RUBIO,02,CHAPINERO
482.0,96,LOURDES,03,SANTA FE
475.0,94,LA CANDELARIA,17,CANDELARIA
458.0,94,LA CANDELARIA,17,CANDELARIA
476.0,94,LA CANDELARIA,17,CANDELARIA
480.0,96,LOURDES,03,SANTA FE
456.0,93,LAS NIEVES,03,SANTA FE
993.0,93,LAS NIEVES,03,SANTA FE
350.0,92,LA MACARENA,03,SANTA FE
486.0,96,LOURDES,03,SANTA FE
487.0,96,LOURDES,03,SANTA FE
155.0,14,USAQUEN,01,USAQUEN
151.0,14,USAQUEN,01,USAQUEN
259.0,97,CHICO LAGO,02,CHAPINERO
149.0,16,SANTA BARBARA,01,USAQUEN
150.0,14,USAQUEN,01,USAQUEN
258.0,97,CHICO LAGO,02,CHAPINERO
257.0,97,CHICO LAGO,02,CHAPINERO
256.0,97,CHICO LAGO,02,CHAPINERO
242.0,97,CHICO LAGO,02,CHAPINERO
488.0,96,LOURDES,03,SANTA FE
473.0,96,LOURDES,03,SANTA FE
460.0,94,LA CANDELARIA,17,CANDELARIA
474.0,94,LA CANDELARIA,17,CANDELARIA
459.0,94,LA CANDELARIA,17,CANDELARIA
457.0,94,LA CANDELARIA,17,CANDELARIA
664.0,70,JERUSALEM,19,CIUDAD BOLIVAR
165.0,97,CHICO LAGO,02,CHAPINERO
164.0,97,CHICO LAGO,02,CHAPINERO
168.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
241.0,97,CHICO LAGO,02,CHAPINERO
224.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
246.0,97,CHICO LAGO,02,CHAPINERO
472.0,96,LOURDES,03,SANTA FE
491.0,96,LOURDES,03,SANTA FE
471.0,32,SAN BLAS,04,SAN CRISTOBAL
461.0,95,LAS CRUCES,03,SANTA FE
489.0,96,LOURDES,03,SANTA FE
490.0,96,LOURDES,03,SANTA FE
492.0,32,SAN BLAS,04,SAN CRISTOBAL
452.0,95,LAS CRUCES,03,SANTA FE
493.0,32,SAN BLAS,04,SAN CRISTOBAL
602.0,32,SAN BLAS,04,SAN CRISTOBAL
453.0,93,LAS NIEVES,03,SANTA FE
604.0,32,SAN BLAS,04,SAN CRISTOBAL
443.0,102,LA SABANA,14,LOS MARTIRES
454.0,93,LAS NIEVES,03,SANTA FE
465.0,33,SOSIEGO,04,SAN CRISTOBAL
470.0,33,SOSIEGO,04,SAN CRISTOBAL
469.0,33,SOSIEGO,04,SAN CRISTOBAL
462.0,95,LAS CRUCES,03,SANTA FE
494.0,33,SOSIEGO,04,SAN CRISTOBAL
621.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
963.0,70,JERUSALEM,19,CIUDAD BOLIVAR
662.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
661.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
663.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
670.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
672.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
712.0,67,LUCERO,19,CIUDAD BOLIVAR
622.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
442.0,102,LA SABANA,14,LOS MARTIRES
355.0,93,LAS NIEVES,03,SANTA FE
455.0,93,LAS NIEVES,03,SANTA FE
463.0,33,SOSIEGO,04,SAN CRISTOBAL
464.0,33,SOSIEGO,04,SAN CRISTOBAL
466.0,33,SOSIEGO,04,SAN CRISTOBAL
451.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO
468.0,33,SOSIEGO,04,SAN CRISTOBAL
446.0,37,SANTA ISABEL,14,LOS MARTIRES
969.0,33,SOSIEGO,04,SAN CRISTOBAL
445.0,37,SANTA ISABEL,14,LOS MARTIRES
444.0,102,LA SABANA,14,LOS MARTIRES
449.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO
448.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO
500.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO
499.0,33,SOSIEGO,04,SAN CRISTOBAL
467.0,33,SOSIEGO,04,SAN CRISTOBAL
498.0,33,SOSIEGO,04,SAN CRISTOBAL
497.0,33,SOSIEGO,04,SAN CRISTOBAL
968.0,33,SOSIEGO,04,SAN CRISTOBAL
620.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR
572.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR
627.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR
628.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR
629.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR
630.0,42,VENECIA,06,TUNJUELITO
659.0,62,TUNJUELITO,06,TUNJUELITO
660.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR
573.0,42,VENECIA,06,TUNJUELITO
450.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO
447.0,38,RESTREPO,15,ANTONIO NARIÑO
438.0,37,SANTA ISABEL,14,LOS MARTIRES
434.0,37,SANTA ISABEL,14,LOS MARTIRES
439.0,37,SANTA ISABEL,14,LOS MARTIRES
432.0,40,CIUDAD MONTES,16,PUENTE ARANDA
433.0,102,LA SABANA,14,LOS MARTIRES
440.0,102,LA SABANA,14,LOS MARTIRES
501.0,38,RESTREPO,15,ANTONIO NARIÑO
619.0,42,VENECIA,06,TUNJUELITO
618.0,42,VENECIA,06,TUNJUELITO
631.0,42,VENECIA,06,TUNJUELITO
632.0,42,VENECIA,06,TUNJUELITO
987.0,42,VENECIA,06,TUNJUELITO
657.0,62,TUNJUELITO,06,TUNJUELITO
658.0,62,TUNJUELITO,06,TUNJUELITO
675.0,67,LUCERO,19,CIUDAD BOLIVAR
674.0,67,LUCERO,19,CIUDAD BOLIVAR
634.0,39,QUIROGA,18,RAFAEL URIBE URIBE
979.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
677.0,62,TUNJUELITO,06,TUNJUELITO
676.0,62,TUNJUELITO,06,TUNJUELITO
708.0,67,LUCERO,19,CIUDAD BOLIVAR
