codigo_upz;poblacion_2005;codigo_localidad;nombre_localidad;nombre_upz;area_urbana_2009;poblacion_urbana_2009;densidad_urbana_2009;poblacion_por_localidad_2005;personas_por_localidad_2007;personas_por_hogar_2007_localidad;gasto_promedio_mensual_2007_localidad;ICV_2007_localidad
65.0;58199.0;19.0;CIUDAD BOLIVAR;ARBORIZADORA;306.264.190.866;60752.0;198.364.685.823;570.619;593.937;4,09;505.335;83,5
66.0;74646.0;19.0;CIUDAD BOLIVAR;SAN FRANCISCO;178.603.384.328;76213.0;426.716.438.139;570.619;593.937;4,09;505.335;83,5
67.0;153504.0;19.0;CIUDAD BOLIVAR;LUCERO;586.386.549.887;162669.0;277.409.159.592;570.619;593.937;4,09;505.335;83,5
68.0;43942.0;19.0;CIUDAD BOLIVAR;EL TESORO;210.862.210.964;47624.0;225.853.650.032;570.619;593.937;4,09;505.335;83,5
69.0;148268.0;19.0;CIUDAD BOLIVAR;ISMAEL PERDOMO;558.606.026.003;163692.0;293.036.581.025;570.619;593.937;4,09;505.335;83,5
70.0;87775.0;19.0;CIUDAD BOLIVAR;JERUSALEM;537.476.344.439;98693.0;183.622.965.031;570.619;593.937;4,09;505.335;83,5
71.0;193830.0;11.0;SUBA;TIBABUYES;726.380.148.869;222576.0;306.418.065.453;923.064;981.613;3,41;1.388.086;91,6
72.0;82839.0;10.0;ENGATIVA;BOLIVIA;474.504.159.406;86279.0;181.829.807.579;804.47;824.337;3,41;1.089.512;91,78
73.0;136527.0;10.0;ENGATIVA;GARCES NAVAS;555.040.743.711;149186.0;268.783.871.617;804.47;824.337;3,41;1.089.512;91,78
74.0;118752.0;10.0;ENGATIVA;ENGATIVA;58.763.454.342;130828.0;222.634.971.795;804.47;824.337;3,41;1.089.512;91,78
75.0;131655.0;9.0;FONTIBON;FONTIBON;496.457.437.428;137489.0;27.694.015.566;301.375;317.179;3,46;1.428.379;90,03
76.0;30005.0;9.0;FONTIBON;FONTIBON SAN PABLO;359.967.843.163;32134.0;892.690.850.317;301.375;317.179;3,46;1.428.379;90,03
77.0;31542.0;9.0;FONTIBON;ZONA FRANCA;490.212.344.089;39664.0;809.118.751.869;301.375;317.179;3,46;1.428.379;90,03
78.0;13302.0;8.0;KENNEDY;TINTAL NORTE;343.372.626.881;29348.0;854.698.298.655;951.073;979.914;3,72;999.300;88,94
79.0;55758.0;8.0;KENNEDY;CALANDAIMA;318.934.387.072;68328.0;214.238.422.602;951.073;979.914;3,72;999.300;88,94
80.0;61954.0;8.0;KENNEDY;CORABASTOS;184.525.478.991;69277.0;375.433.248.453;951.073;979.914;3,72;999.300;88,94
81.0;72551.0;8.0;KENNEDY;GRAN BRITALIA;179.902.103.852;70904.0;394.125.463.137;951.073;979.914;3,72;999.300;88,94
82.0;160502.0;8.0;KENNEDY;PATIO BONITO;317.321.661.524;174145.0;548.796.445.738;951.073;979.914;3,72;999.300;88,94
83.0;12216.0;8.0;KENNEDY;LAS MARGARITAS;147.241.546.489;14786.0;100.420.026.498;951.073;979.914;3,72;999.300;88,94
84.0;165037.0;7.0;BOSA;BOSA OCCIDENTAL;430.379.853.645;178960.0;415.818.720.334;508.828;546.809;3,98;703.807;85,4
