ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,num_est_transmi,acceso_transmi
731.0,56,DANUBIO,05,USME,1.0,1
704.0,56,DANUBIO,05,USME,1.0,1
703.0,56,DANUBIO,05,USME,1.0,1
649.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0,0
688.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0,0
689.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,0.0,0
318.0,114,MODELIA,09,FONTIBON,1.0,1
652.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,0.0,0
651.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,0.0,0
650.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0,0
644.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0,0
687.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0,0
642.0,34,20 DE JULIO,04,SAN CRISTOBAL,1.0,1
643.0,32,SAN BLAS,04,SAN CRISTOBAL,0.0,0
681.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,0.0,0
705.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,1.0,1
706.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,0.0,0
729.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0,0
639.0,34,20 DE JULIO,04,SAN CRISTOBAL,2.0,1
970.0,34,20 DE JULIO,04,SAN CRISTOBAL,2.0,1
971.0,34,20 DE JULIO,04,SAN CRISTOBAL,2.0,1
594.0,34,20 DE JULIO,04,SAN CRISTOBAL,3.0,1
606.0,34,20 DE JULIO,04,SAN CRISTOBAL,2.0,1
595.0,34,20 DE JULIO,04,SAN CRISTOBAL,3.0,1
723.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0,0
725.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0,0
726.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0,0
722.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0,0
