ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
97.0,24,NIZA,11,SUBA,5.96,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,3.0
837.0,23,CASA BLANCA SUBA,11,SUBA,2.67,29874.0,420.483.819.457,36521.0,868.547.095.276,923.064,981.613,"3,41",1.388.086,"91,6",2.0,1,6.0
99.0,28,EL RINCON,11,SUBA,2.84,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",2.0,1,4.0
98.0,24,NIZA,11,SUBA,5.69,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,1.0
31.0,27,SUBA,11,SUBA,3.83,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,1.0
30.0,23,CASA BLANCA SUBA,11,SUBA,4.38,29874.0,420.483.819.457,36521.0,868.547.095.276,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,9.0
107.0,28,EL RINCON,11,SUBA,2.84,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,5.0
112.0,28,EL RINCON,11,SUBA,2.01,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,6.0
41.0,27,SUBA,11,SUBA,3.25,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,7.0
104.0,28,EL RINCON,11,SUBA,2.0,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,1.0
40.0,27,SUBA,11,SUBA,3.0,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",2.0,1,4.0
39.0,27,SUBA,11,SUBA,2.2,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",1.0,1,3.0
88.0,15,COUNTRY CLUB,01,USAQUEN,5.0,87775.0,285.606.835.551,24678.0,864.054.949.959,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1,8.0
69.0,13,LOS CEDROS,01,USAQUEN,4.57,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",5.0,1,10.0
70.0,13,LOS CEDROS,01,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",4.0,1,5.0
71.0,13,LOS CEDROS,01,USAQUEN,5.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1,5.0
62.0,13,LOS CEDROS,01,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",4.0,1,8.0
51.0,12,TOBERIN,01,USAQUEN,3.8,51249.0,290.663.146.859,52018.0,178.963.176.316,425.192,430.156,"3,12",1.867.529,"93,6",4.0,1,12.0
122.0,29,MINUTO DE DIOS,10,ENGATIVA,1.92,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,4.0
123.0,29,MINUTO DE DIOS,10,ENGATIVA,2.99,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,3.0
185.0,30,BOYACA REAL,10,ENGATIVA,3.0,129771.0,453.781.819.192,121920.0,268.675.374.031,804.47,824.337,"3,41",1.089.512,"91,78",5.0,1,5.0
186.0,30,BOYACA REAL,10,ENGATIVA,3.0,129771.0,453.781.819.192,121920.0,268.675.374.031,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1,4.0
199.0,30,BOYACA REAL,10,ENGATIVA,3.0,129771.0,453.781.819.192,121920.0,268.675.374.031,804.47,824.337,"3,41",1.089.512,"91,78",2.0,1,4.0
121.0,29,MINUTO DE DIOS,10,ENGATIVA,1.96,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",2.0,1,2.0
103.0,28,EL RINCON,11,SUBA,2.0,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,3.0
102.0,24,NIZA,11,SUBA,3.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,1.0
101.0,28,EL RINCON,11,SUBA,1.84,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,3.0
100.0,28,EL RINCON,11,SUBA,2.01,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,1.0
105.0,28,EL RINCON,11,SUBA,2.0,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,3.0
96.0,24,NIZA,11,SUBA,5.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,5.0
132.0,24,NIZA,11,SUBA,6.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",1.0,1,3.0
95.0,24,NIZA,11,SUBA,4.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,5.0
839.0,24,NIZA,11,SUBA,4.92,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,6.0
89.0,19,EL PRADO,11,SUBA,3.26,86564.0,433.403.358.117,89013.0,205.381.426.639,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,6.0
