codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
66,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0
79,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,2015,3,1.0,1,0.0,0,2.0,1,0.0,0,0.0
51,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0
43,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,2015,3,1.0,1,0.0,0,1.0,1,0.0,0,0.0
56,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
102,2015,3,1.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
116,2015,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0
81,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,2015,3,1.0,1,0.0,0,2.0,1,0.0,0,0.0
41,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
107,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
73,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0
58,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,2015,3,4.0,1,0.0,0,1.0,1,0.0,0,0.0
63,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
87,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
77,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,2015,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0
108,2015,3,1.0,1,0.0,0,0.0,0,0.0,0,1.0
61,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
85,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,2015,3,0.0,0,0.0,0,3.0,1,0.0,0,1.0
72,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
57,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,2015,3,0.0,0,0.0,0,2.0,1,0.0,0,0.0
88,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,2.0
9,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
109,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
49,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
32,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0
11,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
36,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
10,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
42,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
103,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,0.0
55,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
113,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
90,2015,3,0.0,0,0.0,0,2.0,1,0.0,0,3.0
67,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
83,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101,2015,3,1.0,1,0.0,0,1.0,1,0.0,0,4.0
54,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100,2015,3,1.0,1,0.0,0,1.0,1,0.0,0,2.0
34,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
106,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
91,2015,3,2.0,1,0.0,0,0.0,0,0.0,0,1.0
95,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
117,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
98,2015,3,0.0,0,0.0,0,1.0,1,0.0,0,3.0
28,2015,3,0.0,0,0.0,0,3.0,1,0.0,0,1.0
17,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,2015,3,2.0,1,0.0,0,5.0,1,0.0,0,1.0
