codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
9.0,2018,1,167,3,13,12,4,79,119,119080,56578,62502,16.71145448438025,14.024185421565333,0.2519314746388982,1.091703056768559,1.0077258985555928,0.3359086328518643,21.032910318498356,12.639595532942945
9.0,2018,2,122,1,21,16,7,73,94,119080,56578,62502,14.024185421565333,10.245213301981861,0.08397715821296607,1.7635203224722877,1.3436345314074571,0.5878401074907625,16.614231680158365,11.679626251959938
9.0,2018,3,157,4,37,10,8,113,103,119080,56578,62502,18.13906617400067,13.184413839435674,0.3359086328518643,3.1071548538797447,0.8397715821296607,0.6718172657037286,18.204955989960762,18.079421458513327
9.0,2018,4,145,2,13,11,6,81,94,119080,56578,62502,14.863957003694996,12.17668794088008,0.16795431642593214,1.091703056768559,0.9237487403426269,0.5038629492777964,16.614231680158365,12.959585293270615
9.0,2019,1,96,2,4,4,4,45,65,122844,58302,64542,8.954446289603073,7.814789489108137,0.1628081143564195,0.325616228712839,0.325616228712839,0.325616228712839,11.148845665671846,6.972204146137399
10.0,2015,1,57,0,6,2,0,29,36,26931,12379,14552,24.1357543351528,21.165199955441683,0.0,2.227915784783335,0.7426385949277784,0.0,29.081509007189595,19.928532160527762
10.0,2015,2,42,2,2,2,0,22,26,26931,12379,14552,17.82332627826668,15.595410493483346,0.7426385949277784,0.7426385949277784,0.7426385949277784,0.0,21.00331206074804,15.118196811434853
10.0,2015,3,29,1,3,0,2,20,15,26931,12379,14552,12.996175411236122,10.768259626452785,0.3713192974638892,1.1139578923916675,0.0,0.7426385949277784,12.117295419662332,13.743815283122593
10.0,2015,4,39,1,3,3,0,27,19,26931,12379,14552,17.080687683338905,14.481452601091679,0.3713192974638892,1.1139578923916675,1.1139578923916675,0.0,15.348574198238953,18.554150632215503
10.0,2016,1,39,1,4,1,2,22,25,28276,12981,15295,16.621870137218846,13.792615645777339,0.3536568114301882,1.4146272457207527,0.3536568114301882,0.7073136228603764,19.258916878514754,14.383785550833604
10.0,2016,2,45,0,9,3,1,26,32,28276,12981,15295,20.512095062950912,15.914556514358468,0.0,3.1829113028716933,1.0609704342905646,0.3536568114301882,24.651413604498885,16.999019287348805
10.0,2016,3,75,0,6,2,1,38,46,28276,12981,15295,29.707172160135805,26.52426085726411,0.0,2.121940868581129,0.7073136228603764,0.3536568114301882,35.43640705646715,24.84472049689441
10.0,2016,4,68,1,8,2,0,40,39,28276,12981,15295,27.938888102984862,24.048663177252795,0.3536568114301882,2.8292544914415054,0.7073136228603764,0.0,30.043910330483016,26.15233736515201
10.0,2017,1,74,2,0,1,1,30,48,29655,13597,16058,26.302478502781995,24.953633451357277,0.6744225257123588,0.0,0.3372112628561794,0.3372112628561794,35.30190483194823,18.682276746792876
10.0,2017,2,80,0,1,1,1,30,53,29655,13597,16058,27.98853481706289,26.97690102849435,0.0,0.3372112628561794,0.3372112628561794,0.3372112628561794,38.97918658527616,18.682276746792876
10.0,2017,3,119,0,1,5,1,57,69,29655,13597,16058,42.48861911987861,40.12814027988535,0.0,0.3372112628561794,1.6860563142808969,0.3372112628561794,50.74648819592557,35.49632581890646
10.0,2017,4,157,0,0,1,1,68,91,29655,13597,16058,53.61659079413253,52.94216826842017,0.0,0.0,0.3372112628561794,0.3372112628561794,66.92652791056851,42.346493959397186
10.0,2018,1,169,1,8,4,1,87,95,31194,14327,16867,58.66512790921331,54.17708533692377,0.32057446944925305,2.5645957555940244,1.2822978777970122,0.32057446944925305,66.30836881412718,51.58000830023121
10.0,2018,2,164,0,3,2,0,79,90,31194,14327,16867,54.17708533692377,52.5742129896775,0.0,0.9617234083477592,0.6411489388985061,0.0,62.818454666015214,46.837019031244445
10.0,2018,3,187,0,9,3,1,100,100,31194,14327,16867,64.11489388985062,59.947425787010324,0.0,2.8851702250432774,0.9617234083477592,0.32057446944925305,69.79828296223913,59.28736586233474
10.0,2018,4,166,6,3,5,0,65,115,31194,14327,16867,57.70340450086555,53.21536192857601,1.9234468166955183,0.9617234083477592,1.6028723472462654,0.0,80.26802540657499,38.53678781051758
10.0,2019,1,153,0,0,1,2,63,93,32844,15072,17772,47.4972597734746,46.58385093167702,0.0,0.0,0.3044696139325295,0.608939227865059,61.70382165605096,35.449020931802835
11.0,2015,1,35,4,8,1,1,21,28,68665,32719,35946,7.1360955362994245,5.097211097356732,0.5825384111264836,1.1650768222529673,0.1456346027816209,0.1456346027816209,8.557718756685718,5.842096478050409
11.0,2015,2,61,1,8,0,2,33,39,68665,32719,35946,10.485691400276705,8.883710769678876,0.1456346027816209,1.1650768222529673,0.0,0.2912692055632418,11.919679696812251,9.180437322650642
11.0,2015,3,30,6,4,0,2,18,24,68665,32719,35946,6.116653316828078,4.369038083448627,0.8738076166897254,0.5825384111264836,0.0,0.2912692055632418,7.335187505730616,5.00751126690035
11.0,2015,4,40,2,6,2,1,17,34,68665,32719,35946,7.427364741862666,5.825384111264836,0.2912692055632418,0.8738076166897254,0.2912692055632418,0.1456346027816209,10.391515633118372,4.729316196516997
11.0,2016,1,47,1,11,2,1,29,31,68372,32535,35837,9.068039548353127,6.874159012461241,0.14625870239279237,1.608845726320716,0.29251740478558474,0.14625870239279237,9.528200399569695,8.092195217233586
