codigo_localidad,AÑO,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
4.0,2022,152,0,60,92,401452,193975,207477,3.786255891115252,3.786255891115252,4.742879237015079,2.891886811550196
5.0,2018,109,0,40,69,355461,172886,182575,3.066440481515553,3.066440481515553,3.9910692595120487,2.190880460084897
5.0,2019,147,0,64,83,366436,179231,187205,4.011614579353557,4.011614579353557,4.6308953250274785,3.4187121070484228
5.0,2020,128,0,52,76,374481,183191,191290,3.418063933817737,3.418063933817737,4.148675426194519,2.718385697109101
5.0,2021,158,0,54,104,379443,185383,194060,4.163998281691848,4.163998281691848,5.610007390105889,2.7826445429248685
5.0,2022,138,0,58,80,383238,187069,196169,3.6008955270615126,3.6008955270615126,4.276496907558174,2.9566343306026943
6.0,2018,133,0,60,73,171632,83369,88263,7.74913768994127,7.74913768994127,8.756252324005326,6.797865470242344
6.0,2019,164,0,73,91,175481,85805,89676,9.345741134367822,9.345741134367822,10.605442573276616,8.140416610910389
6.0,2020,124,0,39,85,178491,87302,91189,6.947128986895698,6.947128986895698,9.736317610134934,4.27683163539462
6.0,2021,154,0,60,94,179052,87522,91530,8.600853383374663,8.600853383374663,10.74015676058591,6.555227794165847
6.0,2022,108,0,43,65,178657,87071,91586,6.045103186553003,6.045103186553003,7.465172100929127,4.69504072674863
6.0,2023,1,0,0,1,178288,86711,91577,0.056089024499685905,0.056089024499685905,0.11532562189341607,0.0
7.0,2018,269,0,117,152,694397,334223,360174,3.8738646624337374,3.8738646624337374,4.547861756970645,3.2484299255359907
7.0,2019,290,0,124,166,707173,340010,367163,4.100835297727713,4.100835297727713,4.882209346783918,3.3772466179871063
7.0,2020,261,0,93,168,722905,347767,375138,3.6104329061218277,3.6104329061218277,4.830820635655482,2.4790876957279724
7.0,2021,380,0,148,232,735259,353585,381674,5.168246835468862,5.168246835468862,6.56136431126886,3.877654752485105
7.0,2022,290,0,122,168,745145,358572,386573,3.891859973562193,3.891859973562193,4.685251497607175,3.1559369123037566
8.0,2018,739,0,280,459,1019748,488032,531716,7.246888446949638,7.246888446949638,9.405120975673725,5.265969051147605
8.0,2019,760,0,298,462,1027373,493558,533815,7.397508013155884,7.397508013155884,9.360601996117984,5.582458342309602
8.0,2020,605,1,217,387,1046951,503223,543728,5.778684962333481,5.778684962333481,7.690427504307236,3.9909660712709294
8.0,2021,696,0,256,440,1061182,510068,551114,6.558724139685746,6.558724139685746,8.62630080695123,4.645136940814424
8.0,2022,564,0,210,354,1069465,513826,555639,5.273664869818086,5.273664869818086,6.8894917734797385,3.7794323292641443
8.0,2023,1,0,1,0,1075140,516520,558620,0.009301114273489964,0.009301114273489964,0.0,0.017901256668218107
9.0,2018,398,0,167,231,365884,173463,192421,10.877764537394366,10.877764537394366,13.31696096573909,8.678886400133042
9.0,2019,480,0,201,279,377118,178158,198960,12.728111625538958,12.728111625538958,15.660256626140843,10.102533172496985
9.0,2020,323,0,114,209,383577,181305,202272,8.42073429845898,8.42073429845898,11.52753647169135,5.635975320360703
9.0,2021,431,0,179,252,388044,183282,204762,11.10698786735525,11.10698786735525,13.749304350672734,8.741856399136559
9.0,2022,343,0,140,203,390261,184113,206148,8.788989932378588,8.788989932378588,11.02583739333996,6.79123736344762
9.0,2023,3,0,0,3,391507,184598,206909,0.0766269824038906,0.0766269824038906,0.16251530352441523,0.0
10.0,2018,610,0,262,348,792518,374253,418265,7.696986062146222,7.696986062146222,9.29852265713301,6.263971405687782
10.0,2019,746,0,316,430,802780,379603,423177,9.292707840255114,9.292707840255114,11.327623859663912,7.467324547411604
10.0,2020,616,0,216,400,816160,386180,429980,7.547539698098412,7.547539698098412,10.357864208400226,5.023489464626262
10.0,2021,701,0,289,412,824322,390085,434237,8.503958404604026,8.503958404604026,10.561800633195329,6.655351800975044
