codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
12.0,2017,554,7,12,20,8,0,240,361,58553,26936,31617,102.64205079159053,94.6151350058921,1.195498095742319,2.0494253069868322,3.415708844978054,1.3662835379912215,134.02138402138402,75.9085302210836
12.0,2018,956,6,68,50,21,0,492,609,58835,27123,31712,187.13350896575167,162.4883147786182,1.0198011387779382,11.5577462394833,8.498342823149486,3.569303985722784,224.5326844375622,155.14631685166498
12.0,2019,207,7,43,25,12,0,135,159,60120,27692,32428,48.902195608782435,34.4311377245509,1.164337990685296,7.152361942781105,4.1583499667332005,1.996007984031936,57.417304636718185,41.63068952756877
12.0,2020,38,2,26,16,12,0,46,48,60535,27886,32649,15.528206822499381,6.277360204840175,0.33038737920211453,4.295035929627488,2.6430990336169162,1.9823242752126868,17.21293839202467,14.089252350761125
12.0,2021,55,5,21,12,12,0,42,63,60994,28059,32935,17.214808013903006,9.017280388234909,0.8197527625668098,3.4429616027806014,1.9674066301603437,1.9674066301603437,22.452688976798886,12.752391073326248
12.0,2022,43,0,0,23,9,0,24,51,61040,28090,32950,12.287024901703802,7.0445609436435115,0.0,0.0,3.768020969855832,1.4744429882044563,18.155927376290496,7.283763277693475
12.0,2023,0,2,0,9,11,0,3,19,60763,27960,32803,3.6206243931339794,0.0,0.32914767210308904,0.0,1.4811645244639007,1.8103121965669897,6.795422031473533,0.9145504984300216
13.0,2015,487,1,39,10,5,0,227,315,119423,52795,66628,45.384892357418586,40.77941435066947,0.08373596375907488,3.26570258660392,0.8373596375907489,0.41867981879537447,59.6647409792594,34.06976046106742
13.0,2016,656,2,31,10,2,0,293,408,120487,53278,67209,58.180550598819785,54.44570783570012,0.16599301169420766,2.572891681260219,0.8299650584710383,0.16599301169420766,76.57945118059988,43.59535181300124
13.0,2017,1257,0,23,24,7,0,533,778,121615,53809,67806,107.79920240101961,103.35896065452454,0.0,1.8912140772108703,1.9734407762200386,0.5755868930641779,144.58547826571763,78.6066129841017
13.0,2018,2190,2,46,46,14,0,1067,1231,123293,54733,68560,186.38527734745688,177.62565595775916,0.162215210920328,3.7309498511675443,3.7309498511675443,1.135506476442296,224.91001772239784,155.6301050175029
