codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
60.0,2018,1,10,0,4,4,0,2,0,4,2,6,4,0,12,6,1014,517,497,177.5147928994083,98.61932938856016,0.0,39.447731755424066,39.447731755424066,0.0,116.0541586073501,241.4486921529175
60.0,2018,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1014,517,497,19.723865877712033,0.0,0.0,19.723865877712033,0.0,0.0,0.0,40.24144869215292
60.0,2019,1,8,0,2,0,0,4,0,0,0,0,2,4,8,2,1058,545,513,94.5179584120983,75.61436672967864,0.0,18.90359168241966,0.0,0.0,36.69724770642202,155.94541910331384
61.0,2015,1,17,4,8,1,0,4,3,2,4,6,4,7,17,13,18445,9007,9438,16.26457034426674,9.216589861751151,2.168609379235565,4.33721875847113,0.5421523448088913,0.0,14.433218607749529,18.012290739563465
61.0,2015,2,17,6,3,3,0,3,3,5,5,4,4,5,8,21,18445,9007,9438,15.722417999457848,9.216589861751151,3.252914068853348,1.626457034426674,1.626457034426674,0.0,23.315199289441544,8.47637211273575
61.0,2016,1,24,5,6,1,2,2,10,6,3,5,9,3,21,17,19753,9635,10118,19.237584164430718,12.15005315648256,2.5312610742671997,3.03751328912064,0.50625221485344,1.01250442970688,17.644006227296316,20.755089938723067
61.0,2016,2,20,6,9,2,3,4,4,8,9,5,8,2,10,30,19753,9635,10118,20.250088594137598,10.125044297068799,3.03751328912064,4.55626993368096,1.01250442970688,1.51875664456032,31.136481577581733,9.883376161296697
61.0,2017,1,38,6,17,4,6,10,16,10,6,8,11,10,28,43,21111,10292,10819,33.6317559566103,18.000094737340724,2.842120221685377,8.052673961441903,1.8947468144569182,2.842120221685377,41.78002331908278,25.880395600332747
61.0,2017,2,45,0,23,3,1,10,6,8,12,5,15,16,39,33,21111,10292,10819,34.105442660224526,21.31590166264033,0.0,10.89479418312728,1.4210601108426886,0.47368670361422954,32.06373882627283,36.047693871892044
61.0,2018,1,33,4,28,2,1,6,15,14,8,6,6,13,35,33,22637,10939,11698,30.039316163802624,14.577903432433626,1.7670185978707424,12.369130185095198,0.8835092989353712,0.4417546494676856,30.167291342901546,29.919644383655324
61.0,2018,2,54,4,22,2,1,8,16,11,12,14,8,14,45,38,22637,10939,11698,36.66563590581791,23.854751071255027,1.7670185978707424,9.718602288289084,0.8835092989353712,0.4417546494676856,34.738093061522996,38.468114207556845
61.0,2019,1,15,2,3,0,0,3,0,4,2,2,3,6,7,13,24119,11715,12404,8.29221775363821,6.219163315228658,0.8292217753638211,1.2438326630457317,0.0,0.0,11.096884336320956,5.64334085778781
62.0,2015,1,99,3,12,5,21,15,14,18,17,27,22,27,49,91,40278,20006,20272,34.758428919012864,24.579174735587664,0.7448234768359899,2.9792939073439597,1.2413724613933166,5.213764337851929,45.48635409377187,24.171270718232044
62.0,2015,2,49,12,11,3,17,13,13,9,19,18,10,10,20,72,40278,20006,20272,22.841253289637024,12.165450121654501,2.9792939073439597,2.731019415065296,0.7448234768359899,4.220666368737276,35.98920323902829,9.865824782951856
62.0,2016,1,116,12,17,1,8,14,25,27,26,25,21,16,59,95,39950,19871,20079,38.54818523153942,29.036295369211516,3.0037546933667083,4.25531914893617,0.2503128911138924,2.002503128911139,47.808363947461125,29.383933462821854
62.0,2016,2,88,6,18,9,13,12,17,15,27,27,13,23,53,81,39950,19871,20079,33.541927409261575,22.027534418022526,1.5018773466833542,4.505632040050062,2.252816020025031,3.254067584480601,40.76292083941422,26.395736839484037
62.0,2017,1,128,8,11,18,11,22,27,24,32,21,32,18,68,108,39702,19776,19926,44.330260440280085,32.240189411112794,2.0150118381945497,2.7706412775175053,4.533776635937736,2.7706412775175053,54.6116504854369,34.126267188597815
