ZAT,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
89.0,2019,81,0,0,3,0,47,37
90.0,2015,14,0,0,2,0,6,10
90.0,2016,17,0,3,0,1,9,12
90.0,2017,22,0,0,2,0,11,13
90.0,2018,31,0,3,2,0,16,20
90.0,2019,11,0,0,0,0,3,8
91.0,2015,21,1,2,0,0,11,13
91.0,2016,13,0,2,3,1,7,12
91.0,2017,54,0,3,2,1,22,38
91.0,2018,77,1,3,1,0,37,45
91.0,2019,17,0,0,1,0,8,10
92.0,2015,19,1,3,2,0,12,13
92.0,2016,26,0,3,0,0,12,17
92.0,2017,48,0,4,0,0,20,32
92.0,2018,67,0,6,0,4,33,44
92.0,2019,16,0,1,0,0,3,14
93.0,2015,49,2,7,4,2,27,37
93.0,2016,71,0,4,2,2,40,38
93.0,2017,145,0,3,1,0,62,87
93.0,2018,212,0,3,1,2,95,123
93.0,2019,36,0,0,1,0,8,29
94.0,2015,51,0,17,6,0,35,39
94.0,2016,60,0,13,7,2,32,50
94.0,2017,134,0,4,10,4,55,97
94.0,2018,202,2,8,5,3,104,116
94.0,2019,32,0,1,1,0,18,16
95.0,2015,35,1,4,0,4,17,27
95.0,2016,40,0,4,3,5,21,31
95.0,2017,81,0,4,3,1,47,42
95.0,2018,134,0,7,1,2,70,74
95.0,2019,18,0,0,0,0,12,6
96.0,2015,20,0,6,0,2,15,13
96.0,2016,41,0,2,0,1,16,28
96.0,2017,50,0,1,0,1,21,31
96.0,2018,96,0,0,1,3,49,51
96.0,2019,17,0,0,0,0,7,10
97.0,2015,8,0,4,4,0,7,9
97.0,2016,13,0,1,0,0,8,6
97.0,2017,17,0,1,2,1,7,14
97.0,2018,41,0,1,2,0,19,25
97.0,2019,4,0,0,0,0,4,0
98.0,2015,9,0,1,0,0,6,4
98.0,2016,10,0,1,1,1,4,9
98.0,2017,6,0,1,1,1,6,3
98.0,2018,6,0,0,0,0,3,3
98.0,2019,0,0,0,1,1,0,2
99.0,2015,37,0,7,3,2,24,25
99.0,2016,87,1,5,3,5,45,56
99.0,2017,137,2,8,3,7,71,86
99.0,2018,188,0,2,5,4,96,103
99.0,2019,22,0,1,0,1,13,11
100.0,2015,28,4,8,0,3,23,20
100.0,2016,41,6,11,0,2,30,30
100.0,2017,74,6,5,1,5,35,56
100.0,2018,81,0,10,2,3,43,53
100.0,2019,15,0,0,0,0,7,8
101.0,2015,36,5,8,4,2,24,31
101.0,2016,27,4,11,1,2,22,23
101.0,2017,69,2,7,1,4,39,44
101.0,2018,81,0,8,11,11,48,63
101.0,2019,16,0,1,0,1,7,11
102.0,2015,3,0,0,0,1,0,4
102.0,2016,10,1,0,0,0,5,6
102.0,2017,7,2,1,0,0,6,4
102.0,2018,13,0,1,0,0,4,10
102.0,2019,2,0,0,0,0,2,0
103.0,2015,58,9,22,0,3,41,51
103.0,2016,110,8,13,2,10,52,91
103.0,2017,206,11,9,2,9,77,160
103.0,2018,201,7,20,2,23,113,140
103.0,2019,42,0,5,0,3,27,23
104.0,2015,24,2,9,0,2,16,21
104.0,2016,29,4,6,0,6,20,25
104.0,2017,62,2,2,0,5,15,56
104.0,2018,57,1,8,1,7,25,49
104.0,2019,15,2,3,0,0,10,10
105.0,2015,54,6,19,0,7,41,45
105.0,2016,84,1,20,2,12,54,65
105.0,2017,151,5,14,5,18,73,120
105.0,2018,200,4,17,5,13,110,129
105.0,2019,21,0,0,0,3,9,15
106.0,2015,53,2,21,3,6,40,45
