codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
2.0,2018,3,4,0,1,2,2,0,4,5,4077,1982,2095,22.075055187637968,9.811135638950208,0.0,2.452783909737552,4.905567819475104,4.905567819475104,25.227043390514634,19.093078758949883
2.0,2018,4,5,0,2,0,0,0,3,4,4077,1982,2095,17.169487368162866,12.263919548687761,0.0,4.905567819475104,0.0,0.0,20.181634712411707,14.319809069212411
2.0,2019,1,1,0,2,0,1,0,2,2,4483,2177,2306,8.922596475574393,2.230649118893598,0.0,4.461298237787196,0.0,2.230649118893598,9.186954524575103,8.673026886383347
2.0,2019,2,1,0,1,0,0,0,1,1,4483,2177,2306,4.461298237787196,2.230649118893598,0.0,2.230649118893598,0.0,0.0,4.593477262287552,4.336513443191674
2.0,2019,3,0,0,1,0,0,0,0,1,4483,2177,2306,2.230649118893598,0.0,0.0,2.230649118893598,0.0,0.0,4.593477262287552,0.0
2.0,2019,4,1,0,2,0,0,0,2,1,4483,2177,2306,6.691947356680794,2.230649118893598,0.0,4.461298237787196,0.0,0.0,4.593477262287552,8.673026886383347
2.0,2020,1,0,0,0,1,0,0,0,1,5017,2430,2587,1.9932230416583616,0.0,0.0,0.0,1.9932230416583616,0.0,4.11522633744856,0.0
2.0,2020,3,0,1,0,0,0,0,1,0,5017,2430,2587,1.9932230416583616,0.0,1.9932230416583616,0.0,0.0,0.0,0.0,3.8654812524159254
2.0,2020,4,1,1,0,0,0,0,0,2,5017,2430,2587,3.9864460833167232,1.9932230416583616,1.9932230416583616,0.0,0.0,0.0,8.23045267489712,0.0
2.0,2021,1,3,0,3,1,0,0,5,2,5589,2700,2889,12.524601896582574,5.367686527106817,0.0,5.367686527106817,1.7892288423689389,0.0,7.407407407407407,17.307026652821044
2.0,2021,2,1,0,0,0,1,0,0,2,5589,2700,2889,3.5784576847378777,1.7892288423689389,0.0,0.0,0.0,1.7892288423689389,7.407407407407407,0.0
2.0,2021,3,0,0,1,0,2,0,1,2,5589,2700,2889,5.367686527106817,0.0,0.0,1.7892288423689389,0.0,3.5784576847378777,7.407407407407407,3.4614053305642094
2.0,2021,4,4,0,3,2,0,0,2,7,5589,2700,2889,16.10305958132045,7.1569153694757555,0.0,5.367686527106817,3.5784576847378777,0.0,25.925925925925924,6.922810661128419
2.0,2022,1,2,0,0,0,0,0,0,2,6160,2976,3184,3.2467532467532467,3.2467532467532467,0.0,0.0,0.0,0.0,6.720430107526882,0.0
2.0,2022,2,0,1,0,1,0,0,1,1,6160,2976,3184,3.2467532467532467,0.0,1.6233766233766234,0.0,1.6233766233766234,0.0,3.360215053763441,3.14070351758794
2.0,2022,3,1,0,0,2,0,0,1,2,6160,2976,3184,4.87012987012987,1.6233766233766234,0.0,0.0,3.2467532467532467,0.0,6.720430107526882,3.14070351758794
2.0,2022,4,1,0,0,1,1,0,0,3,6160,2976,3184,4.87012987012987,1.6233766233766234,0.0,0.0,1.6233766233766234,1.6233766233766234,10.080645161290322,0.0
2.0,2023,1,0,0,0,2,0,0,0,2,6720,3239,3481,2.9761904761904763,0.0,0.0,0.0,2.9761904761904763,0.0,6.174745291756715,0.0
2.0,2023,2,0,1,0,1,0,0,0,2,6720,3239,3481,2.9761904761904763,0.0,1.4880952380952381,0.0,1.4880952380952381,0.0,6.174745291756715,0.0
2.0,2023,3,0,0,0,3,0,0,0,3,6720,3239,3481,4.464285714285714,0.0,0.0,0.0,4.464285714285714,0.0,9.262117937635072,0.0
3.0,2018,1,1,0,0,0,0,0,1,0,2048,988,1060,4.8828125,4.8828125,0.0,0.0,0.0,0.0,0.0,9.433962264150944
3.0,2018,2,1,0,0,1,0,0,0,2,2048,988,1060,9.765625,4.8828125,0.0,0.0,4.8828125,0.0,20.242914979757085,0.0
3.0,2018,3,2,0,0,0,0,0,0,2,2048,988,1060,9.765625,9.765625,0.0,0.0,0.0,0.0,20.242914979757085,0.0
3.0,2018,4,0,0,0,1,0,0,0,1,2048,988,1060,4.8828125,0.0,0.0,0.0,4.8828125,0.0,10.121457489878543,0.0
3.0,2019,1,0,0,0,1,0,0,0,1,2323,1124,1199,4.304778303917348,0.0,0.0,0.0,4.304778303917348,0.0,8.896797153024911,0.0
3.0,2019,2,2,0,0,0,0,0,0,2,2323,1124,1199,8.609556607834696,8.609556607834696,0.0,0.0,0.0,0.0,17.793594306049823,0.0
3.0,2019,3,1,0,1,1,0,0,1,2,2323,1124,1199,12.914334911752045,4.304778303917348,0.0,4.304778303917348,4.304778303917348,0.0,17.793594306049823,8.340283569641368
3.0,2019,4,0,0,0,1,0,0,0,1,2323,1124,1199,4.304778303917348,0.0,0.0,0.0,4.304778303917348,0.0,8.896797153024911,0.0
3.0,2020,1,1,0,0,0,0,0,0,1,2367,1149,1218,4.224757076468103,4.224757076468103,0.0,0.0,0.0,0.0,8.703220191470844,0.0
3.0,2020,2,0,0,1,1,0,0,1,1,2367,1149,1218,8.449514152936207,0.0,0.0,4.224757076468103,4.224757076468103,0.0,8.703220191470844,8.210180623973727
3.0,2020,3,0,0,1,0,0,0,0,1,2367,1149,1218,4.224757076468103,0.0,0.0,4.224757076468103,0.0,0.0,8.703220191470844,0.0
