codigo_localidad,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index
3.0,2017,4,1651,8,41,30,16,133,271,212,289,275,236,330,821,925,102114,0.017098536929314297,0.016168204163973597,7.834381181816401e-05,0.00040151203556809055,0.00029378929431811505,0.00015668762363632802
3.0,2018,1,1588,5,39,14,14,130,259,215,261,255,204,336,768,891,103100,0.016100872938894277,0.015402521823472357,4.8496605237633365e-05,0.00037827352085354024,0.00013579049466537341,0.00013579049466537341
3.0,2018,2,1821,6,41,7,17,139,308,242,256,324,252,371,855,1036,103100,0.018351115421920465,0.01766246362754607,5.819592628516004e-05,0.0003976721629485936,6.789524733268671e-05,0.00016488845780795344
3.0,2018,3,1856,8,35,5,9,161,341,236,295,279,259,342,909,1004,103100,0.018554801163918527,0.018001939864209504,7.759456838021338e-05,0.00033947623666343355,4.8496605237633365e-05,8.729388942774006e-05
3.0,2018,4,1865,12,40,10,2,138,294,226,286,327,297,361,855,1073,103100,0.018709990300678953,0.018089233753637246,0.00011639185257032008,0.0003879728419010669,9.699321047526673e-05,1.9398642095053345e-05
3.0,2019,1,1088,5,12,3,8,78,166,154,206,189,126,197,476,639,105004,0.01062816654603634,0.01036151003771285,4.761723362919508e-05,0.00011428136071006819,2.8570340177517048e-05,7.618757380671213e-05
4.0,2015,1,250,14,39,33,35,57,63,44,70,56,38,43,140,231,382192,0.0009707162891949596,0.0006541214886758488,3.663080336584753e-05,0.00010204295223343241,8.634403650521205e-05,9.157700841461884e-05
4.0,2015,2,292,22,31,28,38,63,48,74,62,58,55,51,152,259,382192,0.0010753757273830953,0.0007640138987733913,5.756269100347469e-05,8.111106459580524e-05,7.326160673169507e-05,9.942646627872901e-05
4.0,2015,3,181,24,35,33,64,45,52,35,51,50,52,52,121,216,382192,0.0008817557667350442,0.0004735839578013145,6.279566291288149e-05,9.157700841461884e-05,8.634403650521205e-05,0.0001674551011010173
4.0,2015,4,174,27,25,29,38,47,47,34,36,45,36,48,104,189,382192,0.0007666303847280948,0.00045526855611839075,7.064512077699166e-05,6.541214886758487e-05,7.587809268639845e-05,9.942646627872901e-05
4.0,2016,1,303,19,44,23,33,59,62,65,69,52,40,75,167,255,382047,0.0011045761385379287,0.0007930961373862378,4.973210102421953e-05,0.00011516907605608734,6.020201702931838e-05,8.63768070420655e-05
4.0,2016,2,253,17,51,23,28,49,60,44,69,53,40,57,142,230,382047,0.000973702188474193,0.0006622221873225022,4.449714302167011e-05,0.00013349142906501031,6.020201702931838e-05,7.328941203569194e-05
4.0,2016,3,296,15,57,30,35,47,85,50,64,67,55,65,156,277,382047,0.0011333684075519504,0.0007747737843773148,3.926218501912068e-05,0.0001491963030726586,7.852437003824136e-05,9.161176504461493e-05
4.0,2016,4,301,25,47,39,36,57,70,60,59,72,63,67,159,288,382047,0.001172630592571071,0.0007878611793836884,6.54369750318678e-05,0.00012302151305991146,0.00010208168104971378,9.422924404588964e-05
4.0,2017,1,431,13,49,27,35,73,95,86,70,81,66,84,232,323,382640,0.0014504495086765628,0.0011263851139452228,3.39744929960276e-05,0.00012805770436964247,7.056240853021116e-05,9.146978883545892e-05
4.0,2017,2,422,10,50,31,37,55,85,56,74,103,91,86,244,306,382640,0.001437382395985783,0.0011028643111018188,2.613422538155969e-05,0.00013067112690779846,8.101609868283504e-05,9.669663391177085e-05
4.0,2017,3,505,19,33,23,45,59,99,78,109,100,80,100,257,368,382640,0.0016333890863474807,0.0013197783817687644,4.9655028224963414e-05,8.624294375914698e-05,6.010871837758729e-05,0.0001176040142170186
4.0,2017,4,561,17,28,29,31,84,107,78,105,112,93,87,266,400,382640,0.0017405394104118754,0.0014661300439054985,4.442818314865147e-05,7.317583106836714e-05,7.57892536065231e-05,8.101609868283504e-05
4.0,2018,1,516,10,87,37,54,69,110,99,109,113,90,114,305,399,385458,0.0018263987256717982,0.001338667247793534,2.5943163716928952e-05,0.00022570552433728188,9.598970575263712e-05,0.00014009308407141635
4.0,2018,2,590,8,78,32,51,84,109,94,121,111,121,119,326,432,385458,0.0019690861261149072,0.0015306466592988081,2.075453097354316e-05,0.00020235667699204584,8.301812389417264e-05,0.00013231013495633765
4.0,2018,3,601,14,85,29,44,97,138,97,118,128,92,103,367,406,385458,0.002005406555318608,0.0015591841393874301,3.632042920370053e-05,0.0002205168915938961,7.523517477909396e-05,0.00011414992035448739
4.0,2018,4,579,15,55,24,44,84,108,92,95,109,100,129,315,400,385458,0.0018601248385038058,0.0015021091792101864,3.891474557539343e-05,0.00014268740044310924,6.226359292062949e-05,0.00011414992035448739
4.0,2019,1,444,6,27,24,21,68,90,69,72,92,68,63,203,319,392261,0.0013307466202349967,0.001131899424107928,1.529593816362065e-05,6.883172173629293e-05,6.11837526544826e-05,5.353578357267228e-05
5.0,2015,1,177,37,38,29,24,56,47,35,37,37,42,51,89,216,346583,0.0008800200817697348,0.0005107001786007969,0.00010675653450977111,0.00010964184625327843,8.367404056171249e-05,6.924748184417586e-05
