codigo_localidad,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index
8.0,2017,4,2635,34,116,181,146,364,479,361,469,488,463,488,1202,1909,1009665,0.0030822104361347574,0.0026097765100305545,3.367453561329748e-05,0.0001148895920924267,0.00017926738076490717,0.00014460241763357152
8.0,2018,1,2372,39,140,166,203,289,442,381,422,449,474,463,1104,1814,1019748,0.0028634525392547965,0.0023260648709288964,3.824474281881406e-05,0.00013728882037522997,0.00016278531558777266,0.00019906878954408343
8.0,2018,2,2765,30,170,210,197,320,505,434,485,479,581,568,1320,2050,1019748,0.0033066993021805386,0.0027114542024107915,2.9419032937549278e-05,0.00016670785331277923,0.00020593323056284493,0.00019318498295657358
8.0,2018,3,2912,41,172,229,231,381,563,478,509,550,513,591,1336,2248,1019748,0.0035155744360371387,0.0028556074638047832,4.0206011681317346e-05,0.0001686691221752825,0.00022456528475662616,0.00022652655361912944
8.0,2018,4,2905,29,121,175,204,334,535,451,516,512,497,589,1302,2129,1019748,0.0033674986369181406,0.0028487430227860217,2.8438398506297634e-05,0.00011865676618144875,0.00017161102546903745,0.0002000494239753351
8.0,2019,1,1863,12,53,114,125,205,346,271,324,381,309,331,767,1400,1027373,0.0021092631400669473,0.001813362819540712,1.1680275810246132e-05,5.158788482858709e-05,0.00011096262019733825,0.00012166953969006388
9.0,2015,1,368,6,30,32,30,57,62,67,68,63,64,85,178,288,356388,0.0013075636665656532,0.0010325824663007734,1.683558368968652e-05,8.417791844843261e-05,8.978977967832812e-05,8.417791844843261e-05
9.0,2015,2,367,1,42,26,29,47,77,53,74,76,62,76,149,316,356388,0.0013047577359507055,0.0010297765356858256,2.8059306149477536e-06,0.00011784908582780565,7.29541959886416e-05,8.137198783348486e-05
9.0,2015,3,403,4,26,23,27,43,78,74,69,90,58,71,163,319,356388,0.001355264487019765,0.0011307900378239447,1.1223722459791014e-05,7.29541959886416e-05,6.453640414379834e-05,7.576012660358934e-05
9.0,2015,4,436,7,28,32,20,62,91,71,71,88,64,76,177,346,356388,0.0014675017116176751,0.0012233857481172205,1.9641514304634274e-05,7.85660572185371e-05,8.978977967832812e-05,5.611861229895507e-05
9.0,2016,1,676,5,34,23,29,76,141,102,120,105,114,109,262,505,358804,0.002137657328234914,0.00188403696725789,1.3935184669067235e-05,9.475925574965719e-05,6.410184947770927e-05,8.082407108058997e-05
9.0,2016,2,444,6,24,13,38,50,72,67,82,101,63,90,187,338,358804,0.0014631943902520595,0.0012374443986131703,1.6722221602880682e-05,6.688888641152273e-05,3.623148013957481e-05,0.00010590740348491098
9.0,2016,3,535,6,24,21,40,64,107,94,89,97,74,101,206,420,358804,0.0017446851205672178,0.0014910647595901942,1.6722221602880682e-05,6.688888641152273e-05,5.852777561008238e-05,0.00011148147735253788
9.0,2016,4,546,7,20,25,33,62,97,90,113,90,67,112,235,396,358804,0.001758620305236285,0.001521722165862142,1.9509258536694127e-05,5.574073867626894e-05,6.967592334533617e-05,9.197221881584375e-05
9.0,2017,1,817,8,43,34,33,71,159,117,128,165,129,166,368,567,361474,0.0025866314036417557,0.0022601902211500688,2.2131605592656733e-05,0.00011895738006052994,9.405932376879112e-05,9.129287306970902e-05
9.0,2017,2,841,2,55,44,44,83,174,119,141,160,138,171,396,590,361474,0.0027277203892949425,0.002326585037928039,5.532901398164183e-06,0.00015215478844951503,0.00012172383075961204,0.00012172383075961204
9.0,2017,3,1253,5,55,31,27,111,201,179,218,236,202,224,623,748,361474,0.0037928039084415477,0.0034663627259498607,1.3832253495410458e-05,0.00015215478844951503,8.575997167154484e-05,7.469416887521648e-05
9.0,2017,4,1567,5,63,43,34,170,255,223,288,293,203,280,810,900,361474,0.004736163596828541,0.0043350282454616374,1.3832253495410458e-05,0.00017428639404217178,0.00011895738006052994,9.405932376879112e-05
9.0,2018,1,1361,3,47,39,46,99,240,222,234,248,189,264,675,821,365884,0.004088727574859792,0.003719758174722043,8.19932000306108e-06,0.00012845601338129023,0.00010659116003979404,0.00012572290671360322
9.0,2018,2,1499,3,54,30,48,124,246,195,273,294,226,276,715,918,365884,0.004465896295000602,0.004096926894862853,8.19932000306108e-06,0.00014758776005509942,8.19932000306108e-05,0.00013118912004897728
9.0,2018,3,1599,5,61,41,46,163,276,239,247,298,228,301,777,975,365884,0.00478840288178767,0.004370237561631555,1.3665533338435133e-05,0.0001667195067289086,0.00011205737337516809,0.00012572290671360322
9.0,2018,4,1695,8,43,29,38,147,286,216,300,281,252,331,810,999,365884,0.004955122388516579,0.00463261580172951,2.1864853341496213e-05,0.00011752358671054214,7.926009336292377e-05,0.00010385805337210701
9.0,2019,1,1169,2,21,19,17,101,211,145,210,227,132,202,506,722,377118,0.003256275224200383,0.0030998255188031333,5.303379843974565e-06,5.568548836173293e-05,5.0382108517758364e-05,4.5078728673783806e-05
10.0,2015,1,429,13,76,75,92,67,96,94,122,126,93,87,240,443,783433,0.0008743568371513582,0.0005475899023911426,1.65936334057922e-05,9.700893375693902e-05,9.573250041803192e-05,0.00011743186717945248
10.0,2015,2,330,19,110,64,96,64,75,96,92,106,92,94,223,396,783433,0.0007901122367834901,0.00042122300183934045,2.4252233439234754e-05,0.00014040766727978015,8.16917336900539e-05,0.00012253760053508085
10.0,2015,3,386,14,87,71,83,63,110,97,104,100,82,85,250,391,783433,0.0008181937702394462,0.0004927032688181376,1.7870066744699292e-05,0.00011104970048491702,9.062676706240355e-05,0.00010594396712928865
10.0,2015,4,605,22,66,78,108,104,158,111,118,137,125,126,276,603,783433,0.001121984904899334,0.0007722421700387908,2.808153345595603e-05,8.424460036786809e-05,9.956180043475319e-05,0.00013785480060196596
10.0,2016,1,1063,12,70,99,93,119,228,222,202,185,180,201,490,847,784129,0.0017050765881634273,0.0013556442881209596,1.5303604381421936e-05,8.927102555829462e-05,0.00012625473614673096,0.00011860293395602
10.0,2016,2,700,16,46,76,61,84,148,105,138,169,129,126,323,576,784129,0.0011464950282415265,0.0008927102555829462,2.040480584189591e-05,5.866381679545075e-05,9.692282774900559e-05,7.779332227222817e-05
10.0,2016,3,823,14,46,78,92,79,189,135,149,155,149,197,383,670,784129,0.0013428912844697747,0.001049572200492521,1.7854205111658922e-05,5.866381679545075e-05,9.947342847924258e-05,0.0001173276335909015
10.0,2016,4,824,13,47,82,113,93,177,136,168,176,147,182,398,681,784129,0.0013760490939628556,0.0010508475008576396,1.657890474654043e-05,5.993911716056924e-05,0.00010457462993971655,0.00014410894125838988
10.0,2017,1,1535,16,88,74,120,188,303,236,297,292,234,283,690,1143,786139,0.0023316487287871482,0.0019525809049035859,2.035263483938591e-05,0.0001119394916166225,9.413093613215984e-05,0.00015264476129539433
10.0,2017,2,1295,13,84,100,114,170,230,194,272,267,222,251,605,1001,786139,0.0020428957220033606,0.001647291382312797,1.6536515807001053e-05,0.00010685133290677602,0.00012720396774616193,0.0001450125232306246
10.0,2017,3,1893,16,70,104,98,200,368,260,345,351,343,314,888,1292,786139,0.002774318536543792,0.0024079711094348454,2.035263483938591e-05,8.904277742231335e-05,0.00013229212645600842,0.0001246598883912387
10.0,2017,4,2226,24,89,105,99,273,410,320,410,391,328,411,1122,1421,786139,0.003234796899784898,0.002831560322029565,3.0528952259078865e-05,0.00011321153129408412,0.00013356416613347004,0.0001259319280687003
10.0,2018,1,2111,13,87,120,108,197,404,318,404,386,341,389,1008,1431,792518,0.0030775326238646947,0.002663661897900111,1.6403412919328015e-05,0.00010977668646011826,0.00015141611925533553,0.00013627450732980198
10.0,2018,2,2353,8,107,111,115,270,420,301,402,415,414,472,1084,1610,792518,0.0033992918772822824,0.0029690177383983707,1.0094407950355702e-05,0.0001350127063360075,0.00014005991031118537,0.0001451071142863632
10.0,2018,3,2610,9,115,119,123,301,458,386,437,541,426,427,1190,1785,792518,0.003755119757532321,0.003293300593803548,1.1356208944150164e-05,0.0001451071142863632,0.00015015431826154106,0.00015520152223671892
10.0,2018,4,2468,4,73,107,77,227,455,378,437,422,372,438,1144,1585,792518,0.0034434549120650887,0.003114124852684734,5.047203975177851e-06,9.211147254699578e-05,0.0001350127063360075,9.715867652217363e-05
10.0,2019,1,1687,5,43,80,80,153,318,253,316,345,225,285,787,1107,802780,0.0023605470988315603,0.0021014474700416052,6.228356461296993e-06,5.356386556715414e-05,9.96537033807519e-05,9.96537033807519e-05
11.0,2015,1,827,25,110,44,44,147,156,132,151,152,169,143,452,597,1117403,0.0009396788804039366,0.0007401089848514815,2.2373306676284205e-05,9.84425493756505e-05,3.93770197502602e-05,3.93770197502602e-05
11.0,2015,2,585,12,107,41,34,113,104,97,109,133,93,130,330,449,1117403,0.0006971522360330159,0.0005235353762250505,1.0739187204616419e-05,9.57577525744964e-05,3.66922229491061e-05,3.042769707974652e-05
11.0,2015,3,595,20,125,59,48,106,117,111,116,145,128,124,359,488,1117403,0.0007580076301925088,0.0005324846988955641,1.7898645341027365e-05,0.00011186653338142102,5.280100375603072e-05,4.2956748818465676e-05
11.0,2015,4,617,32,86,33,45,84,112,115,119,130,131,122,337,476,1117403,0.0007275799331127624,0.0005521732087706942,2.8637832545643784e-05,7.696417496641766e-05,2.953276481269515e-05,4.027195201731157e-05
11.0,2016,1,1064,22,111,40,52,150,195,169,217,180,179,199,545,743,1125695,0.0011450703787437982,0.0009451938580166031,1.9543482026659086e-05,9.86057502254163e-05,3.55336036848347e-05,4.6193684790285115e-05
11.0,2016,2,817,22,97,52,59,120,170,121,155,149,163,169,438,609,1125695,0.0009300920764505484,0.0007257738552627488,1.9543482026659086e-05,8.616898893572416e-05,4.6193684790285115e-05,5.241206543513118e-05
11.0,2016,3,980,25,80,47,67,121,176,169,175,180,165,213,493,706,1125695,0.0010651197704529202,0.0008705732902784502,2.2208502303021688e-05,7.10672073696694e-05,4.1751984329680774e-05,5.9518786172098127e-05
11.0,2016,4,999,24,74,61,64,138,227,138,193,177,162,187,474,748,1125695,0.0010855515925717002,0.0008874517520287467,2.132016221090082e-05,6.57371668169442e-05,5.418874561937292e-05,5.6853765895735524e-05
11.0,2017,1,1613,28,89,50,75,212,291,250,276,263,263,300,770,1085,1134676,0.0016348279156340666,0.0014215511740796492,2.467664778315572e-05,7.843648759645925e-05,4.406544246992093e-05,6.609816370488139e-05
11.0,2017,2,1558,27,119,56,83,222,280,247,281,264,255,294,750,1093,1134676,0.0016242522094412854,0.0013730791873627361,2.3795338933757303e-05,0.0001048757530784118,4.935329556631144e-05,7.314863450006874e-05
11.0,2017,3,2122,14,134,62,94,259,381,296,361,359,376,394,1037,1389,1134676,0.0021380552686405636,0.0018701373784234443,1.233832389157786e-05,0.00011809538581938809,5.4641148662701955e-05,8.284303184345134e-05
11.0,2017,4,2678,24,73,80,74,310,435,363,453,444,442,482,1272,1656,1134676,0.002581353619887968,0.002360145098688965,2.1151412385562047e-05,6.433554600608456e-05,7.050470795187349e-05,6.521685485548297e-05
11.0,2018,1,2474,20,136,68,64,259,415,353,448,426,423,438,1238,1522,1149040,0.0024037457355705633,0.0021531017196964423,1.7405834435702847e-05,0.00011835967416277936,5.917983708138968e-05,5.569867019424911e-05
11.0,2018,2,2764,26,121,71,96,301,444,391,475,473,466,528,1355,1723,1149040,0.0026787579196546683,0.0024054863190141333,2.2627584766413703e-05,0.00010530529833600223,6.17907122467451e-05,8.354800529137367e-05
11.0,2018,3,2772,20,173,98,75,323,479,381,473,505,414,563,1357,1781,1149040,0.0027309754229617768,0.0024124486527884147,1.7405834435702847e-05,0.00015056046786882964,8.528858873494395e-05,6.527187913388568e-05
11.0,2018,4,2759,21,95,86,84,274,474,408,468,458,426,537,1317,1724,1149040,0.0026500382928357586,0.0024011348604052077,1.827612615748799e-05,8.267771356958853e-05,7.484508807352225e-05,7.310450462995196e-05
11.0,2019,1,1897,6,59,47,52,199,382,258,325,321,269,307,922,1139,1189086,0.0017332640364111594,0.0015953429777156572,5.045892391298863e-06,4.961794184777215e-05,3.9526157065174425e-05,4.373106739125681e-05
12.0,2015,1,369,2,35,24,31,33,67,73,74,74,58,82,181,280,138250,0.0033345388788426763,0.0026690777576853526,1.4466546112115733e-05,0.00025316455696202533,0.00017359855334538878,0.00022423146473779385
12.0,2015,2,262,1,34,10,25,35,65,39,56,38,45,54,122,210,138250,0.0024014466546112114,0.001895117540687161,7.233273056057866e-06,0.00024593128390596743,7.233273056057866e-05,0.00018083182640144665
12.0,2015,3,323,2,33,11,19,22,67,44,73,73,48,61,165,223,138250,0.002806509945750452,0.0023363471971066907,1.4466546112115733e-05,0.0002386980108499096,7.956600361663652e-05,0.00013743218806509946
12.0,2015,4,304,5,20,7,17,37,64,56,61,45,34,56,128,225,138250,0.0025533453887884266,0.0021989150090415913,3.616636528028933e-05,0.00014466546112115733,5.0632911392405066e-05,0.00012296564195298372
12.0,2016,1,449,4,26,13,29,51,82,69,89,86,65,79,188,333,135739,0.003838248403185525,0.0033078186814401167,2.9468317874744914e-05,0.00019154406618584194,9.577203309292097e-05,0.00021364530459190063
12.0,2016,2,421,3,22,17,19,37,79,58,77,94,58,79,149,333,135739,0.0035509323039067623,0.003101540456316902,2.2101238406058686e-05,0.00016207574831109703,0.0001252403509676659,0.00013997450990503834
12.0,2016,3,417,3,14,17,28,23,91,73,82,64,58,88,181,298,135739,0.0035288310655007035,0.0030720721384421574,2.2101238406058686e-05,0.0001031391125616072,0.0001252403509676659,0.0002062782251232144
12.0,2016,4,395,1,17,14,15,40,72,56,60,78,64,72,179,263,135739,0.003256249125159313,0.0029099963901310605,7.367079468686229e-06,0.0001252403509676659,0.0001031391125616072,0.00011050619203029343
12.0,2017,1,684,3,27,23,17,58,122,82,137,128,115,112,273,481,133890,0.005631488535364852,0.005108671297333632,2.2406453058480843e-05,0.00020165807752632757,0.00017178280678168645,0.00012696990066472476
12.0,2017,2,669,4,33,19,25,53,118,95,134,124,100,126,294,456,133890,0.00560161326462021,0.004996639032041228,2.9875270744641124e-05,0.00024647098364328926,0.00014190753603704533,0.000186720442154007
12.0,2017,3,951,4,40,25,26,89,172,143,174,156,142,170,414,632,133890,0.007812383299723654,0.0071028456195384275,2.9875270744641124e-05,0.00029875270744641124,0.000186720442154007,0.0001941892598401673
12.0,2017,4,1146,1,57,16,16,95,225,149,199,195,164,209,520,716,133890,0.009231458660094108,0.008559265068339681,7.468817686160281e-06,0.000425722608111136,0.0001195010829785645,0.0001195010829785645
12.0,2018,1,982,4,25,32,11,63,166,148,182,188,115,192,448,606,133126,0.007917311419256945,0.007376470411489867,3.0046722653726546e-05,0.0001877920165857909,0.00024037378122981237,8.262848729774799e-05
12.0,2018,2,1105,1,26,13,18,73,195,143,182,199,142,229,484,679,133126,0.008736084611570993,0.008300407133091959,7.511680663431636e-06,0.00019530369724922255,9.765184862461127e-05,0.00013521025194176945
12.0,2018,3,1268,2,24,35,17,107,199,183,185,243,194,235,559,787,133126,0.010110722172978983,0.009524811081231314,1.5023361326863273e-05,0.00018028033592235927,0.0002629088232201073,0.00012769857127833782
12.0,2018,4,1193,5,25,22,15,87,208,171,206,189,169,230,520,740,133126,0.009464717635923861,0.008961435031473942,3.755840331715818e-05,0.0001877920165857909,0.00016525697459549599,0.00011267520995147454
12.0,2019,1,804,0,9,17,12,49,168,119,150,147,85,124,367,475,138316,0.006087509760259117,0.0058127765406749765,0.0,6.506839411203331e-05,0.00012290696665606294,8.675785881604443e-05
13.0,2015,1,460,5,22,16,32,33,75,79,96,88,71,93,205,330,142245,0.0037611163837041723,0.0032338570775774195,3.515062040845021e-05,0.00015466272979718093,0.00011248198530704067,0.00022496397061408133
13.0,2015,2,470,1,31,6,14,46,84,75,80,91,62,84,212,310,142245,0.003669724770642202,0.0033041583183943198,7.0301240816900416e-06,0.0002179338465323913,4.218074449014025e-05,9.842173714366059e-05
13.0,2015,3,452,1,27,12,26,49,87,68,60,105,61,88,231,287,142245,0.0036416042743154416,0.003177616084923899,7.0301240816900416e-06,0.00018981335020563112,8.43614889802805e-05,0.00018278322612394108
13.0,2015,4,426,2,13,36,22,36,94,84,84,79,58,64,202,297,142245,0.003508031916763331,0.002994832858799958,1.4060248163380083e-05,9.139161306197054e-05,0.0002530844669408415,0.00015466272979718093
13.0,2016,1,700,3,21,21,29,59,144,107,112,122,109,121,281,492,142633,0.005426514200781026,0.004907700181584907,2.1033000778221027e-05,0.0001472310054475472,0.0001472310054475472,0.00020331900752280327
13.0,2016,2,546,3,37,15,22,58,96,89,87,91,77,125,247,376,142633,0.004367853161610567,0.003828006141636227,2.1033000778221027e-05,0.00025940700959805935,0.00010516500389110514,0.00015424200570695421
13.0,2016,3,590,2,19,16,19,83,107,61,88,108,70,129,254,392,142633,0.004529106167576928,0.0041364901530501355,1.402200051881402e-05,0.0001332090049287332,0.00011217600415051216,0.0001332090049287332
13.0,2016,4,519,1,29,30,13,69,91,60,86,95,91,100,249,343,142633,0.0041505121535689495,0.003638709134632238,7.01100025940701e-06,0.00020331900752280327,0.0002103300077822103,9.114300337229113e-05
13.0,2017,1,902,1,32,33,19,82,154,138,148,171,117,177,408,579,143211,0.0068919286926283595,0.006298398866008896,6.982703842581925e-06,0.0002234465229626216,0.0002304292268052035,0.00013267137300905656
13.0,2017,2,1040,1,43,21,31,108,162,121,205,178,154,208,467,669,143211,0.007932351565173067,0.0072620119962852015,6.982703842581925e-06,0.00030025626523102274,0.0001466367806942204,0.00021646381912003966
13.0,2017,3,1424,2,84,21,21,123,287,192,221,235,228,266,703,849,143211,0.010837156363687147,0.00994337027183666,1.396540768516385e-05,0.0005865471227768816,0.0001466367806942204,0.0001466367806942204
13.0,2017,4,1806,4,76,29,16,204,318,221,310,296,253,329,863,1068,143211,0.013483601120025696,0.012610763139702956,2.79308153703277e-05,0.0005306854920362262,0.00020249841143487582,0.0001117232614813108
13.0,2018,1,1502,1,26,18,13,111,272,183,298,231,180,285,680,880,144526,0.010793905594841067,0.010392593720161079,6.9191702531032475e-06,0.00017989842658068444,0.00012454506455585846,8.994921329034222e-05
13.0,2018,2,1839,1,34,29,8,179,306,227,285,301,225,388,890,1021,144526,0.013222534353680307,0.012724354095456874,6.9191702531032475e-06,0.00023525178860551042,0.0002006559373399942,5.535336202482598e-05
13.0,2018,3,1706,2,30,23,17,165,312,241,267,302,190,301,748,1029,144526,0.012302284710017574,0.011804104451794141,1.3838340506206495e-05,0.00020757510759309743,0.0001591409158213747,0.00011762589430275521
13.0,2018,4,1919,2,23,28,13,183,307,242,310,297,300,346,846,1138,144526,0.013734552952409947,0.013277887715705133,1.3838340506206495e-05,0.0001591409158213747,0.00019373676708689093,8.994921329034222e-05
13.0,2019,1,1114,0,16,9,10,90,207,151,200,182,131,188,452,697,152414,0.007538677549306494,0.007309039851982101,0.0,0.00010497723306257955,5.9049693597701e-05,6.561077066411221e-05
14.0,2015,1,421,24,15,4,21,41,70,78,59,69,76,92,146,338,73987,0.006555205644234798,0.00569018881695433,0.0003243813102301756,0.00020273831889385972,5.4063551705029264e-05,0.00028383364645140363
14.0,2015,2,311,12,19,9,14,35,50,52,47,70,59,52,109,256,73987,0.00493329909308392,0.004203441145066025,0.0001621906551150878,0.000256801870598889,0.00012164299133631584,0.0001892224309676024
14.0,2015,3,209,21,31,11,16,20,39,36,45,52,45,51,88,200,73987,0.003892575722762107,0.002824820576587779,0.00028383364645140363,0.0004189925257139768,0.00014867476718883048,0.00021625420682011706
14.0,2015,4,193,19,18,11,13,21,35,25,42,43,43,45,80,174,73987,0.003433035533269358,0.002608566369767662,0.000256801870598889,0.00024328598267263167,0.00014867476718883048,0.0001757065430413451
14.0,2016,1,421,15,21,10,15,47,65,76,75,82,69,68,150,332,73440,0.006563180827886711,0.005732570806100218,0.0002042483660130719,0.00028594771241830067,0.00013616557734204794,0.0002042483660130719
14.0,2016,2,304,8,23,12,16,40,61,43,57,52,52,58,114,249,73440,0.00494281045751634,0.004139433551198257,0.00010893246187363834,0.00031318082788671023,0.0001633986928104575,0.00021786492374727668
14.0,2016,3,344,14,52,10,16,43,76,55,54,77,67,64,161,274,73440,0.00593681917211329,0.004684095860566449,0.0001906318082788671,0.0007080610021786493,0.00013616557734204794,0.00021786492374727668
14.0,2016,4,314,15,15,16,16,28,47,49,50,62,71,69,118,258,73440,0.005119825708061002,0.004275599128540305,0.0002042483660130719,0.0002042483660130719,0.00021786492374727668,0.00021786492374727668
14.0,2017,1,588,10,20,19,11,54,97,91,116,97,97,96,234,413,73112,0.00886311412627202,0.008042455410876463,0.00013677645256592624,0.0002735529051318525,0.0002598752598752599,0.00015045409782251886
14.0,2017,2,679,9,16,30,21,57,124,92,130,128,109,115,243,512,73112,0.010326622168727432,0.009287121129226392,0.00012309880730933362,0.000218842324105482,0.00041032935769777875,0.00028723055038844513
14.0,2017,3,830,17,30,23,28,66,131,110,151,149,169,152,341,586,73112,0.012692854798117955,0.011352445562971878,0.00023251996936207462,0.00041032935769777875,0.0003145858409016304,0.0003829740671845935
14.0,2017,4,1016,20,16,25,26,94,167,109,152,173,241,167,371,731,73112,0.015086442718021665,0.013896487580698107,0.0002735529051318525,0.000218842324105482,0.0003419411314148156,0.00035561877667140827
14.0,2018,1,897,12,31,19,24,84,143,119,149,148,190,150,338,644,73277,0.013414850498792255,0.012241221665734133,0.0001637621627522961,0.0004230522537767649,0.0002592900910244688,0.0003275243255045922
14.0,2018,2,1093,23,24,23,17,83,191,138,176,184,218,190,463,715,73277,0.016103279337309116,0.014916003657354968,0.0003138774786085675,0.0003275243255045922,0.0003138774786085675,0.00023199639723241945
14.0,2018,3,1135,11,32,22,14,107,209,136,171,177,217,197,438,776,73277,0.016567272131773954,0.015489171226988004,0.0001501153158562714,0.0004366991006727896,0.0003002306317125428,0.00019105585654434544
14.0,2018,4,1294,10,10,18,7,112,224,185,185,179,241,213,513,825,73277,0.018273127993777036,0.017659019883455928,0.00013646846896024674,0.00013646846896024674,0.0002456432441284441,9.552792827217272e-05
14.0,2019,1,753,8,7,13,4,44,127,103,118,131,136,126,281,504,82957,0.009462733705413649,0.009076991694492328,9.643550273033016e-05,8.43810648890389e-05,0.00015670769193678653,4.821775136516508e-05
15.0,2015,1,136,3,9,18,16,27,22,25,27,30,31,20,71,111,81014,0.0022465252919248524,0.001678722196163626,3.7030636680079985e-05,0.00011109191004023995,0.0002221838200804799,0.0001974967289604266
15.0,2015,2,150,5,7,10,22,25,33,31,27,34,19,25,63,131,81014,0.0023946478386451726,0.0018515318340039993,6.171772780013332e-05,8.640481892018664e-05,0.00012343545560026663,0.00027155800232058657
15.0,2015,3,112,4,10,21,16,17,21,18,21,28,29,29,58,105,81014,0.002011997926284346,0.0013824771027229862,4.937418224010665e-05,0.00012343545560026663,0.0002592144567605599,0.0001974967289604266
15.0,2015,4,125,5,9,19,17,16,34,24,23,20,22,36,58,117,81014,0.002160120473004666,0.0015429431950033327,6.171772780013332e-05,0.00011109191004023995,0.0002345273656405066,0.00020984027452045325
15.0,2016,1,241,7,12,26,16,34,54,26,46,55,53,34,97,205,80014,0.003774339490589147,0.0030119729047416704,8.748469017921863e-05,0.00014997375459294623,0.0003249431349513835,0.00019996500612392832
15.0,2016,2,210,7,9,17,7,25,41,26,39,35,42,42,101,149,80014,0.00312445322068638,0.002624540705376559,8.748469017921863e-05,0.00011248031594470968,0.00021246281900667383,8.748469017921863e-05
15.0,2016,3,225,1,12,16,16,29,38,40,41,38,46,38,105,165,80014,0.0033744094783412903,0.002812007898617742,1.249781288274552e-05,0.00014997375459294623,0.00019996500612392832,0.00019996500612392832
15.0,2016,4,247,8,9,21,17,32,43,34,47,50,46,50,108,194,80014,0.003774339490589147,0.0030869597820381432,9.998250306196416e-05,0.00011248031594470968,0.0002624540705376559,0.00021246281900667383
15.0,2017,1,364,3,9,32,23,71,57,56,54,64,47,82,172,259,79336,0.005432590501159625,0.004588081072905112,3.781385499647071e-05,0.00011344156498941212,0.0004033477866290209,0.0002899062216396088
15.0,2017,2,380,2,8,27,7,53,59,42,72,68,59,71,161,263,79336,0.005344358172834527,0.004789754966219623,2.5209236664313806e-05,0.00010083694665725522,0.00034032469496823636,8.823232832509831e-05
15.0,2017,3,391,5,19,33,8,43,60,69,76,57,76,75,202,254,79336,0.005747705959463547,0.0049284057678733485,6.302309166078451e-05,0.00023948774831098114,0.0004159524049611778,0.00010083694665725522
15.0,2017,4,519,3,10,34,11,69,90,63,72,93,109,81,259,318,79336,0.007272864777654532,0.006541796914389432,3.781385499647071e-05,0.00012604618332156902,0.0004285570232933347,0.00013865080165372591
15.0,2018,1,384,7,19,21,16,50,62,52,72,71,68,72,200,247,79229,0.005641873556399803,0.004846710169256207,8.83514874603996e-05,0.00023981118024965606,0.0002650544623811988,0.00020194625705234194
15.0,2018,2,457,3,23,33,10,45,86,65,64,85,100,81,223,302,79229,0.006638983200595742,0.005768089967057517,3.7864923197314116e-05,0.00029029774451274157,0.00041651415517045525,0.0001262164106577137
15.0,2018,3,516,2,17,36,15,47,103,72,75,86,103,100,246,339,79229,0.007396281664542024,0.006512766789938028,2.5243282131542743e-05,0.0002145678981181133,0.0004543790783677694,0.00018932461598657058
15.0,2018,4,544,2,8,26,19,50,87,86,98,102,72,104,263,336,79229,0.007560362998397052,0.006866172739779626,2.5243282131542743e-05,0.00010097312852617097,0.00032816266771005566,0.00023981118024965606
15.0,2019,1,329,2,2,23,14,25,55,56,57,65,54,58,156,214,80095,0.004619514326737,0.0041076221986391164,2.497034771209189e-05,2.497034771209189e-05,0.0002871589986890567,0.00017479243398464323
16.0,2015,1,374,6,34,57,53,50,87,71,77,80,67,92,177,347,240697,0.002177010930755265,0.0015538207788215058,2.4927606077350362e-05,0.0001412564344383187,0.00023681225773482844,0.00022019385368326152
16.0,2015,2,271,4,15,49,39,37,52,63,48,77,46,55,113,265,240697,0.0015704391828730729,0.001125896874493658,1.661840405156691e-05,6.23190151933759e-05,0.00020357544963169462,0.00016202943950277736
16.0,2015,3,200,4,44,57,37,36,66,44,64,47,36,49,117,225,240697,0.0014208735464089706,0.0008309202025783453,1.661840405156691e-05,0.00018280244456723597,0.00023681225773482844,0.0001537202374769939
16.0,2015,4,185,8,26,73,63,31,58,43,59,62,51,51,105,250,240697,0.0014748833595765632,0.0007686011873849695,3.323680810313382e-05,0.0001080196263351849,0.00030328587394109607,0.0002617398638121788
16.0,2016,1,551,8,25,74,46,66,145,112,110,101,74,96,235,469,240673,0.002925130779106921,0.0022894134364885134,3.324012248985138e-05,0.00010387538278078555,0.0003074711330311252,0.00019113070431664542
16.0,2016,2,318,5,42,72,57,35,88,68,87,80,61,75,155,339,240673,0.002052577563748322,0.0013212948689715921,2.0775076556157108e-05,0.00017451064307171972,0.0002991611024086624,0.00023683587274019106
16.0,2016,3,330,6,16,61,33,51,69,58,60,61,59,88,150,296,240673,0.0018531368288092142,0.0013711550527063692,2.493009186738853e-05,6.648024497970276e-05,0.0002534559339851167,0.00013711550527063693
16.0,2016,4,325,9,28,72,28,49,88,56,50,76,70,73,165,296,240673,0.001919617073788917,0.0013503799761502122,3.73951378010828e-05,0.00011634042871447981,0.0002991611024086624,0.00011634042871447981
16.0,2017,1,761,4,31,88,35,89,150,103,153,145,121,158,307,612,241114,0.0038114750698839553,0.003156183382134592,1.658966298099654e-05,0.0001285698881027232,0.0003649725855819239,0.00014515955108371974
16.0,2017,2,646,9,52,104,26,71,127,112,116,149,129,133,340,497,241114,0.003471386978773526,0.0026792305714309415,3.7326741707242216e-05,0.00021566561875295504,0.0004313312375059101,0.00010783280937647752
