codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2022,1,0,1,0,0,0,0,0,1,2505,1237,1268,3.992015968063872,0.0,3.992015968063872,0.0,0.0,0.0,8.084074373484235,0.0
1.0,2022,3,1,5,0,0,1,0,1,6,2505,1237,1268,27.944111776447105,3.992015968063872,19.96007984031936,0.0,0.0,3.992015968063872,48.50444624090542,7.886435331230284
1.0,2022,4,2,1,0,0,1,0,1,3,2505,1237,1268,15.968063872255488,7.984031936127744,3.992015968063872,0.0,0.0,3.992015968063872,24.25222312045271,7.886435331230284
1.0,2023,1,0,0,0,1,0,0,0,1,2449,1210,1239,4.083299305839118,0.0,0.0,0.0,4.083299305839118,0.0,8.264462809917354,0.0
1.0,2023,3,0,0,0,1,0,0,0,1,2449,1210,1239,4.083299305839118,0.0,0.0,0.0,4.083299305839118,0.0,8.264462809917354,0.0
2.0,2015,1,12,0,0,0,1,0,4,9,2791,1390,1401,46.57828735220351,42.99534217126478,0.0,0.0,0.0,3.582945180938731,64.74820143884892,28.551034975017846
2.0,2015,2,5,0,0,1,0,0,3,3,2791,1390,1401,21.49767108563239,17.914725904693658,0.0,0.0,3.582945180938731,0.0,21.58273381294964,21.413276231263385
2.0,2015,3,6,0,0,1,0,0,5,2,2791,1390,1401,25.080616266571123,21.49767108563239,0.0,0.0,3.582945180938731,0.0,14.388489208633095,35.6887937187723
2.0,2015,4,5,0,1,0,0,0,1,5,2791,1390,1401,21.49767108563239,17.914725904693658,0.0,3.582945180938731,0.0,0.0,35.97122302158274,7.137758743754461
2.0,2016,1,16,0,0,0,0,0,6,10,3173,1568,1605,50.42546485975417,50.42546485975417,0.0,0.0,0.0,0.0,63.775510204081634,37.38317757009346
2.0,2016,2,10,0,2,0,0,0,5,7,3173,1568,1605,37.81909864481563,31.51591553734636,0.0,6.3031831074692715,0.0,0.0,44.64285714285714,31.15264797507788
2.0,2016,3,8,0,1,0,0,0,3,6,3173,1568,1605,28.364323983611726,25.212732429877086,0.0,3.1515915537346357,0.0,0.0,38.265306122448976,18.69158878504673
2.0,2016,4,11,1,0,0,0,0,2,10,3173,1568,1605,37.81909864481563,34.667507091081,3.1515915537346357,0.0,0.0,0.0,63.775510204081634,12.461059190031154
2.0,2017,1,13,0,0,0,0,0,4,9,3598,1764,1834,36.13118399110617,36.13118399110617,0.0,0.0,0.0,0.0,51.0204081632653,21.810250817884405
2.0,2017,2,17,1,0,0,0,0,8,10,3598,1764,1834,50.02779321845469,47.24847137298499,2.7793218454697053,0.0,0.0,0.0,56.68934240362812,43.62050163576881
2.0,2017,3,22,0,0,1,0,0,10,13,3598,1764,1834,63.924402445803224,61.14508060033352,0.0,0.0,2.7793218454697053,0.0,73.69614512471655,54.525627044711015
2.0,2017,4,29,0,3,1,0,0,19,14,3598,1764,1834,91.71762090050028,80.60033351862147,0.0,8.337965536409115,2.7793218454697053,0.0,79.36507936507937,103.59869138495092
2.0,2018,1,62,0,0,0,0,0,30,32,4077,1982,2095,152.0726024037282,152.0726024037282,0.0,0.0,0.0,0.0,161.45307769929366,143.1980906921241
2.0,2018,2,42,0,6,2,0,0,21,29,4077,1982,2095,122.6391954868776,103.01692420897719,0.0,14.716703458425313,4.905567819475104,0.0,146.31685166498488,100.23866348448688
2.0,2018,3,40,0,2,4,4,0,20,30,4077,1982,2095,122.6391954868776,98.11135638950209,0.0,4.905567819475104,9.811135638950208,9.811135638950208,151.3622603430878,95.4653937947494
2.0,2018,4,41,0,4,0,0,0,20,25,4077,1982,2095,110.37527593818986,100.56414029923964,0.0,9.811135638950208,0.0,0.0,126.13521695257316,95.4653937947494
2.0,2019,1,21,0,4,0,2,0,11,16,4483,2177,2306,60.227526210127145,46.84363149676556,0.0,8.922596475574393,0.0,4.461298237787196,73.49563619660083,47.701647875108414
2.0,2019,2,1,0,1,0,0,0,1,1,4483,2177,2306,4.461298237787196,2.230649118893598,0.0,2.230649118893598,0.0,0.0,4.593477262287552,4.336513443191674
2.0,2019,3,0,0,1,0,0,0,0,1,4483,2177,2306,2.230649118893598,0.0,0.0,2.230649118893598,0.0,0.0,4.593477262287552,0.0
2.0,2019,4,1,0,2,0,0,0,2,1,4483,2177,2306,6.691947356680794,2.230649118893598,0.0,4.461298237787196,0.0,0.0,4.593477262287552,8.673026886383347
2.0,2020,1,0,0,0,1,0,0,0,1,5017,2430,2587,1.9932230416583616,0.0,0.0,0.0,1.9932230416583616,0.0,4.11522633744856,0.0
2.0,2020,3,0,1,0,0,0,0,1,0,5017,2430,2587,1.9932230416583616,0.0,1.9932230416583616,0.0,0.0,0.0,0.0,3.8654812524159254
2.0,2020,4,1,1,0,0,0,0,0,2,5017,2430,2587,3.9864460833167232,1.9932230416583616,1.9932230416583616,0.0,0.0,0.0,8.23045267489712,0.0
2.0,2021,1,3,0,3,1,0,0,5,2,5589,2700,2889,12.524601896582574,5.367686527106817,0.0,5.367686527106817,1.7892288423689389,0.0,7.407407407407407,17.307026652821044
2.0,2021,2,1,0,0,0,1,0,0,2,5589,2700,2889,3.5784576847378777,1.7892288423689389,0.0,0.0,0.0,1.7892288423689389,7.407407407407407,0.0
2.0,2021,3,0,0,1,0,2,0,1,2,5589,2700,2889,5.367686527106817,0.0,0.0,1.7892288423689389,0.0,3.5784576847378777,7.407407407407407,3.4614053305642094
2.0,2021,4,4,0,3,2,0,0,2,7,5589,2700,2889,16.10305958132045,7.1569153694757555,0.0,5.367686527106817,3.5784576847378777,0.0,25.925925925925924,6.922810661128419
