ZAT,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
13.0,2019,1,12,0,1,0,0,1,3,2,2,0,1,4,6,7
14.0,2015,1,3,0,0,0,0,1,1,1,0,0,0,0,0,3
14.0,2015,2,3,0,0,0,0,2,0,1,0,0,0,0,1,2
14.0,2015,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
14.0,2015,4,1,0,1,0,0,0,0,1,0,0,1,0,1,1
14.0,2016,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
14.0,2016,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2
14.0,2016,3,3,0,0,0,0,1,0,0,0,2,0,0,1,2
14.0,2016,4,2,0,0,0,0,1,0,1,0,0,0,0,0,2
14.0,2017,1,4,0,2,0,0,0,1,2,1,1,0,1,2,4
14.0,2017,2,4,0,1,0,0,0,0,2,2,1,0,0,3,2
14.0,2017,3,4,0,0,0,0,0,2,0,0,1,0,1,4,0
14.0,2017,4,3,0,0,0,0,0,0,0,0,1,1,1,1,2
14.0,2018,1,12,0,0,0,0,2,2,1,2,0,1,4,4,8
14.0,2018,2,5,0,0,3,0,0,1,1,4,0,1,1,3,5
14.0,2018,3,5,0,2,0,1,1,2,0,1,3,1,0,7,1
14.0,2018,4,5,0,1,1,2,0,1,1,1,2,4,0,5,4
14.0,2019,1,4,0,0,0,0,0,1,1,1,0,1,0,3,1
15.0,2015,1,7,1,2,0,0,1,2,1,2,1,1,2,2,8
15.0,2015,2,2,0,0,1,0,0,1,0,0,1,1,0,1,2
15.0,2015,3,4,0,0,0,0,0,1,0,1,0,2,0,0,4
15.0,2015,4,1,0,0,1,0,0,0,0,2,0,0,0,1,1
15.0,2016,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
15.0,2016,2,3,0,0,0,1,1,0,1,0,0,2,0,2,2
15.0,2016,3,2,0,0,1,0,0,1,0,0,0,2,0,2,1
15.0,2016,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
15.0,2017,1,3,0,0,0,0,0,1,2,0,0,0,0,2,1
15.0,2017,2,1,0,0,0,2,0,0,1,0,0,0,2,1,2
15.0,2017,3,9,0,0,1,1,1,2,1,3,1,1,2,8,3
15.0,2017,4,7,0,0,0,0,1,0,0,0,1,3,2,2,5
15.0,2018,1,3,0,0,1,0,1,0,0,1,0,2,0,2,2
15.0,2018,2,8,0,1,1,0,0,2,1,0,3,3,1,5,5
15.0,2018,3,6,0,0,0,0,0,1,3,0,1,1,0,2,4
15.0,2018,4,5,0,0,1,0,1,1,0,1,1,0,2,4,2
15.0,2019,1,3,0,0,0,0,0,1,1,1,0,0,0,2,1
16.0,2015,1,3,1,0,0,0,1,0,0,0,2,1,0,3,1
16.0,2015,2,6,0,0,0,0,1,0,1,1,0,1,2,0,6
16.0,2015,3,2,0,0,1,0,0,0,1,0,1,1,0,0,3
16.0,2015,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0
16.0,2016,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
16.0,2016,3,3,0,0,0,0,0,1,1,0,1,0,0,0,3
16.0,2016,4,4,0,0,0,0,0,2,0,0,0,1,1,0,4
16.0,2017,1,6,0,0,0,0,0,0,4,2,0,0,0,2,4
16.0,2017,2,4,0,1,0,0,0,0,3,1,0,0,1,3,2
16.0,2017,3,3,0,0,0,0,0,1,0,0,0,1,1,1,2
16.0,2017,4,8,0,0,0,0,1,1,0,2,0,1,3,1,7
16.0,2018,1,4,0,0,0,1,0,2,1,1,1,0,0,0,5
16.0,2018,2,7,0,3,2,2,0,2,2,1,3,2,4,3,11
16.0,2018,3,5,0,1,0,0,0,3,2,0,0,1,0,3,3
16.0,2018,4,9,0,0,2,1,2,4,0,2,0,1,3,3,9
16.0,2019,1,4,0,0,0,0,0,1,1,1,0,0,1,3,1
17.0,2015,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
17.0,2015,2,2,0,1,1,0,0,0,1,0,1,1,1,2,2
17.0,2015,4,2,0,1,0,0,0,1,0,1,0,1,0,3,0
17.0,2016,2,3,0,1,0,0,0,1,0,1,0,1,1,2,2
17.0,2016,3,4,0,0,0,0,0,1,0,0,2,0,1,2,2
17.0,2016,4,4,1,0,0,0,1,0,0,0,1,2,1,2,3
17.0,2017,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
17.0,2017,2,4,0,0,0,0,0,1,1,1,1,0,0,2,2
17.0,2017,3,5,0,0,1,0,0,1,1,0,1,0,3,3,3
17.0,2017,4,3,0,0,0,0,1,0,0,1,1,0,0,1,2
17.0,2018,1,2,0,1,0,0,0,1,0,0,0,1,1,2,1
17.0,2018,2,9,0,0,0,0,0,2,0,1,2,2,2,8,1
17.0,2018,3,5,0,1,0,0,3,1,1,1,0,0,0,2,4
17.0,2018,4,7,0,0,0,0,0,1,0,2,2,1,1,4,3
17.0,2019,1,7,0,0,0,0,0,2,2,0,1,2,0,3,4
18.0,2015,1,2,0,0,1,0,0,0,1,0,0,1,1,1,2
18.0,2015,2,1,0,1,0,0,0,1,0,1,0,0,0,1,1
18.0,2016,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2016,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
18.0,2017,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18.0,2017,3,2,0,0,0,0,0,0,2,0,0,0,0,1,1
18.0,2017,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0
18.0,2018,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
18.0,2018,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
18.0,2018,3,3,0,0,0,0,0,1,1,0,0,0,1,1,2
18.0,2019,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2
19.0,2015,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
19.0,2018,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
20.0,2015,1,2,0,0,0,0,1,1,0,0,0,0,0,0,2
20.0,2015,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1
20.0,2015,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1
20.0,2015,4,1,0,0,1,0,0,0,0,0,1,1,0,0,2
20.0,2016,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1
20.0,2016,2,1,0,1,0,0,0,0,0,0,1,0,1,2,0
20.0,2016,3,2,0,0,0,0,0,0,0,0,0,1,1,2,0
20.0,2017,1,4,0,0,0,0,1,0,1,1,0,0,1,2,2
20.0,2017,2,5,0,1,0,0,0,1,0,2,1,1,1,3,3
20.0,2017,3,4,0,0,1,0,0,0,1,2,1,0,1,4,1
20.0,2017,4,3,0,0,0,1,1,0,1,0,0,2,0,3,1
20.0,2018,1,2,0,0,0,0,0,0,1,0,0,1,0,2,0
20.0,2018,2,5,0,0,1,0,1,0,1,0,2,0,2,2,4
20.0,2018,3,4,0,3,0,0,0,2,0,0,0,3,2,5,2
20.0,2018,4,4,0,1,0,0,1,0,0,1,0,2,1,1,4
20.0,2019,1,5,0,0,0,0,0,2,0,0,3,0,0,1,4
21.0,2015,1,2,0,0,0,0,1,0,0,1,0,0,0,0,2
21.0,2015,2,3,0,0,0,0,0,1,0,0,2,0,0,2,1
21.0,2015,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0
21.0,2016,1,3,0,1,0,0,0,0,1,2,1,0,0,3,1
21.0,2016,2,3,0,0,0,0,0,1,0,0,0,2,0,0,3
21.0,2016,3,2,0,0,0,0,1,0,0,0,1,0,0,1,1
21.0,2016,4,1,0,3,0,0,3,0,1,0,0,0,0,3,1
21.0,2017,1,2,0,0,0,0,0,0,0,0,2,0,0,1,1
21.0,2017,2,7,0,0,0,1,0,2,0,3,0,1,2,3,5
21.0,2017,3,3,0,0,0,1,1,0,2,1,0,0,0,3,1
21.0,2017,4,3,0,0,0,0,0,2,0,1,0,0,0,1,2
21.0,2018,1,3,0,0,0,0,0,2,1,0,0,0,0,1,2
21.0,2018,2,6,0,0,0,0,0,0,1,1,0,1,3,4,2
21.0,2018,3,4,0,0,0,0,0,0,0,2,0,2,0,2,2
21.0,2018,4,5,0,0,0,0,0,1,1,0,0,0,3,1,4
21.0,2019,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1
22.0,2015,1,2,0,1,0,0,0,0,0,0,2,0,1,3,0
22.0,2015,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22.0,2015,4,2,0,0,0,0,0,1,0,0,0,0,1,1,1
22.0,2016,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22.0,2016,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0
22.0,2016,3,8,0,0,0,0,3,1,2,1,0,1,0,3,5
22.0,2016,4,6,0,1,0,0,0,1,3,1,0,1,1,5,2
22.0,2017,1,6,0,0,0,0,1,1,1,0,0,2,1,0,6
22.0,2017,2,3,0,0,0,0,0,0,1,1,1,0,0,3,0
22.0,2017,3,3,0,0,0,0,0,1,2,0,0,0,0,2,1
22.0,2017,4,2,0,0,0,0,0,1,1,0,0,0,0,1,1
22.0,2018,1,4,1,0,0,0,2,1,0,1,0,1,0,0,5
22.0,2018,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2
22.0,2018,3,5,0,0,0,1,0,0,3,1,0,0,2,3,3
22.0,2018,4,4,2,0,0,0,2,2,0,1,0,0,1,2,4
22.0,2019,1,7,0,0,0,0,1,1,1,2,2,0,0,2,5
23.0,2015,1,8,0,2,1,0,0,3,3,0,1,3,1,4,7
23.0,2015,2,5,0,1,3,1,1,1,3,1,1,2,1,4,6
23.0,2015,3,1,0,0,2,0,0,0,1,1,0,1,0,2,1
23.0,2015,4,4,0,0,1,0,1,0,0,2,1,1,0,0,5
23.0,2016,1,4,0,0,1,1,2,0,2,0,1,1,0,2,4
23.0,2016,2,3,0,2,1,1,1,1,1,2,1,1,0,2,5
23.0,2016,3,6,0,0,2,0,1,0,1,0,0,3,3,2,6
23.0,2016,4,4,0,0,0,0,0,0,1,0,1,1,1,3,1
23.0,2017,1,6,0,1,1,1,1,3,1,1,1,0,2,3,6
23.0,2017,2,3,1,1,1,0,1,1,0,1,1,1,1,4,2
23.0,2017,3,6,0,0,1,0,1,1,1,2,0,2,0,3,4
23.0,2017,4,7,0,0,3,0,2,2,2,0,1,2,1,4,6
23.0,2018,1,4,0,1,1,1,0,1,2,2,1,1,0,3,4
23.0,2018,2,9,0,0,1,0,0,1,0,0,4,1,4,3,7
23.0,2018,3,12,0,0,1,0,0,2,5,1,1,3,1,7,6
23.0,2018,4,10,0,0,2,0,2,4,2,0,1,2,1,4,8
23.0,2019,1,3,0,0,1,1,0,0,1,0,1,1,2,0,5
24.0,2015,2,1,0,0,1,0,1,0,0,1,0,0,0,0,2
24.0,2015,3,3,0,0,0,0,0,0,0,0,2,0,1,2,1
24.0,2015,4,4,0,1,0,0,2,1,0,0,1,1,0,3,2
24.0,2016,1,6,1,0,0,1,3,1,0,0,0,1,3,4,4
24.0,2016,2,2,0,0,0,0,1,0,0,0,0,1,0,0,2
24.0,2016,3,3,0,0,1,0,1,1,0,0,1,0,1,2,2
24.0,2016,4,5,0,1,0,0,0,2,3,0,1,0,0,3,3
24.0,2017,1,4,0,1,0,0,0,2,2,1,0,0,0,2,3
24.0,2017,2,8,0,1,0,0,1,3,2,3,0,0,0,5,4
24.0,2017,3,9,0,1,0,0,0,1,3,1,1,1,3,7,3
24.0,2017,4,5,1,0,1,0,1,0,0,1,1,1,3,2,5
24.0,2018,1,1,0,1,2,0,0,0,3,0,1,0,0,2,1
24.0,2018,2,7,0,1,0,0,1,3,2,1,0,1,0,3,5
24.0,2018,3,4,0,4,2,0,0,1,1,1,2,1,4,4,6
24.0,2018,4,4,0,1,0,0,0,1,2,0,1,0,1,4,1
24.0,2019,1,6,0,1,0,1,1,1,0,2,3,0,1,4,4
25.0,2015,1,6,0,1,1,0,0,2,0,1,2,0,3,4,4
25.0,2015,2,6,0,0,0,0,0,1,0,0,1,2,2,3,3
