codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
3.0,2017,2,3063,16,77,54,37,236,500,409,517,550,438,597,1512,1733,102114,50672,51442,317.9779462169732,299.9588694987955,1.5668762363632802,7.5405918874982865,5.288207297726071,3.6234012965900857,342.003473318598,293.92325337273047
3.0,2018,1,3409,11,80,21,31,269,567,457,517,579,456,707,1623,1927,103100,51178,51922,344.51988360814744,330.6498545101843,1.066925315227934,7.759456838021339,2.0368574199806013,3.0067895247332683,376.52897729493145,312.58426100689496
3.0,2018,2,3721,20,75,15,11,299,635,462,581,606,556,703,1764,2077,103100,51178,51922,372.64791464597477,360.9117361784675,1.9398642095053347,7.274490785645005,1.454898157129001,1.066925315227934,405.8384462073547,339.74037980046995
3.0,2019,1,1088,5,12,3,8,78,166,154,206,189,126,197,476,639,105004,52279,52725,106.28166546036341,103.6151003771285,0.47617233629195077,1.1428136071006818,0.28570340177517045,0.7618757380671213,122.22881080357314,90.27975343764818
4.0,2015,1,542,36,70,61,73,120,111,118,132,114,93,94,292,490,382192,185147,197045,20.46092016578055,14.1813538744924,0.9419349436932223,1.8315401682923766,1.596056432369071,1.9100347469334784,26.46545717726995,14.818949986043796
4.0,2015,2,355,51,60,62,102,92,99,69,87,95,88,100,225,405,382192,185147,197045,16.48386151463139,9.288525139197052,1.3344078368987315,1.569891572822037,1.6222212919161048,2.668815673797463,21.87451052407006,11.418711461848817
4.0,2016,1,556,36,95,46,61,108,122,109,138,105,80,132,309,485,382047,184870,197177,20.782783270121215,14.5531832470874,0.9422924404588964,2.4866050512109767,1.2040403405863676,1.5966621907775744,26.234651376643047,15.67119897351111
4.0,2016,2,597,40,104,69,71,104,155,110,123,139,118,132,315,565,382047,184870,197177,23.059990001230215,15.626349637610033,1.046991600509885,2.7221781613257003,1.8060605108795513,1.8584100909050456,30.562016552171798,15.975494099210355
4.0,2017,1,853,23,99,58,72,128,180,142,144,184,157,170,476,629,382640,185012,197628,28.87831904662346,22.29249425047042,0.6010871837758729,2.5872883127744095,1.515785072130462,1.8816642274722977,33.99779473763864,24.08565587872164
4.0,2017,2,1066,36,61,52,76,143,206,156,214,212,173,187,523,768,382640,185012,197628,33.73928496759356,27.85908425674263,0.9408321137361488,1.5941877482751412,1.358979719841104,1.9862011289985366,41.510820919724125,26.46386139615844
4.0,2018,1,1106,18,165,69,105,153,219,193,230,224,211,233,631,831,385458,186876,198582,37.954848517867056,28.693139070923422,0.46697694690472114,4.280622013293277,1.7900782964680977,2.72403219027754,44.46798946895267,31.775286783293552
4.0,2018,2,1180,29,140,53,88,181,246,189,213,237,192,232,682,806,385458,186876,198582,38.65531393822414,30.612933185976164,0.7523517477909396,3.6320429203700533,1.3749876769972347,2.2829984070897478,43.130203985530514,34.34349538226022
4.0,2019,1,444,6,27,24,21,68,90,69,72,92,68,63,203,319,392261,189882,202379,13.307466202349966,11.318994241079281,0.1529593816362065,0.6883172173629293,0.611837526544826,0.5353578357267228,16.799907310856216,10.03068500190237
5.0,2015,1,337,69,75,52,47,96,81,72,72,83,83,93,198,381,346583,170099,176484,16.7348081123425,9.723500575619692,1.9908651030200557,2.1639838076304954,1.5003621066238102,1.3560965194484438,22.398720744977926,11.219147344801796
5.0,2015,2,273,62,76,48,53,64,83,59,88,76,62,80,175,337,346583,170099,176484,14.772796126757514,7.876901059775004,1.7888932809745428,2.192836925065569,1.384949636883517,1.5292152240588832,19.81199184004609,9.915913057274315
5.0,2016,1,434,54,110,26,49,66,116,91,80,123,93,104,256,414,348770,171073,177697,19.29638443673481,12.443730825472375,1.5482983054735213,3.1539409926312474,0.7454769618946584,1.4049373512630101,24.200195238290085,14.406545974327086
5.0,2016,2,373,64,93,53,72,86,106,101,100,94,76,92,226,429,348770,171073,177697,18.78028500157697,10.694727184104137,1.8350202138945435,2.6665137483155084,1.519626114631419,2.0643977406313616,25.077013906344074,12.71827886796063
5.0,2017,1,592,60,115,39,82,111,117,134,127,162,120,117,343,545,351225,172242,178983,25.282938287422592,16.85529219161506,1.708306641042067,3.2742543953306282,1.1103993166773436,2.3346857427574914,31.64152761811869,19.163831201845987
5.0,2017,2,760,41,87,35,59,104,135,135,154,148,154,152,412,570,351225,172242,178983,27.9592853583885,21.63855078653285,1.1673428713787457,2.4770446295109974,0.996512207274539,1.6798348636913658,33.092973839133315,23.018945933412674
5.0,2018,1,867,47,161,42,98,108,211,157,171,195,181,192,505,708,355461,172886,182575,34.180965000379786,24.390861444715455,1.322226629644321,4.5293295185688445,1.1815642222353508,2.756983185215818,40.951841097601886,27.65986580857182
5.0,2018,2,1030,44,195,42,81,151,226,186,231,183,189,226,616,770,355461,172886,182575,39.16041422265734,28.976455926247887,1.237829185198939,5.485833888949843,1.1815642222353508,2.2787310000253194,44.53801927281561,33.739559085307405
5.0,2019,1,370,14,37,11,26,38,71,52,64,86,71,76,185,273,366436,179231,187205,12.498771954720606,10.097261186128,0.38205853136700546,1.0097261186128001,0.3001888460740757,0.7095372725387243,15.2317400449699,9.882214684436848
6.0,2015,1,408,18,34,38,58,59,83,61,81,95,82,95,194,362,170388,83364,87024,32.6314059675564,23.945348263962252,1.0564124234100993,1.995445688663521,2.2302040049768763,3.4039955865436538,43.42401996065448,22.292700864129433
6.0,2015,2,297,28,29,44,65,64,68,60,74,73,59,65,145,318,170388,83364,87024,27.173275113270886,17.430804986266637,1.6433082141934878,1.7019977932718269,2.5823414794469093,3.814822640092025,38.145962285878795,16.662070233498806
