codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb
52240,2006,0.0,0,0.0,0,0.0,0,0.0,0
52254,2006,0.0,0,0.0,0,0.0,0,0.0,0
52258,2006,0.0,0,0.0,0,0.0,0,0.0,0
52838,2006,0.0,0,0.0,0,0.0,0,0.0,0
52411,2006,0.0,0,0.0,0,0.0,0,0.0,0
52885,2006,0.0,0,0.0,0,0.0,0,0.0,0
52435,2006,0.0,0,0.0,0,0.0,0,0.0,0
52378,2006,0.0,0,0.0,0,0.0,0,0.0,0
52381,2006,0.0,0,0.0,0,0.0,0,0.0,0
52260,2006,0.0,0,0.0,0,0.0,0,0.0,0
52287,2006,0.0,0,0.0,0,0.0,0,0.0,0
52317,2006,0.0,0,0.0,0,0.0,0,0.0,0
52399,2006,0.0,0,0.0,0,0.0,0,0.0,0
52320,2006,0.0,0,0.0,0,0.0,0,0.0,0
52405,2006,0.0,0,0.0,0,0.0,0,0.0,0
52323,2006,0.0,0,0.0,0,0.0,0,0.0,0
52352,2006,0.0,0,0.0,0,0.0,0,0.0,0
52354,2006,0.0,0,0.0,0,0.0,0,0.0,0
52356,2006,0.0,0,0.0,0,0.0,0,0.0,0
52227,2006,0.0,0,0.0,0,0.0,0,0.0,0
52233,2006,0.0,0,0.0,0,0.0,0,0.0,0
52256,2006,0.0,0,0.0,0,0.0,0,0.0,0
52385,2006,0.0,0,0.0,0,0.0,0,0.0,0
52418,2006,0.0,0,0.0,0,0.0,0,0.0,0
52540,2006,0.0,0,0.0,0,0.0,0,0.0,0
52612,2006,0.0,0,0.0,0,0.0,0,0.0,0
52079,2006,0.0,0,0.0,0,0.0,0,0.0,0
52250,2006,0.0,0,0.0,0,0.0,0,0.0,0
52390,2006,0.0,0,0.0,0,0.0,0,0.0,0
52427,2006,0.0,0,0.0,0,0.0,0,0.0,0
52473,2006,0.0,0,0.0,0,0.0,0,0.0,0
52490,2006,0.0,0,0.0,0,0.0,0,0.0,0
52520,2006,0.0,0,0.0,0,0.0,0,0.0,0
52621,2006,0.0,0,0.0,0,0.0,0,0.0,0
52696,2006,0.0,0,0.0,0,0.0,0,0.0,0
94001,2006,0.0,0,0.0,0,0.0,0,0.0,0
94343,2006,0.0,0,0.0,0,0.0,0,0.0,0
94663,2006,0.0,0,0.0,0,0.0,0,0.0,0
94883,2006,0.0,0,0.0,0,0.0,0,0.0,0
94884,2006,0.0,0,0.0,0,0.0,0,0.0,0
94885,2006,0.0,0,0.0,0,0.0,0,0.0,0
94886,2006,0.0,0,0.0,0,0.0,0,0.0,0
94887,2006,0.0,0,0.0,0,0.0,0,0.0,0
94888,2006,0.0,0,0.0,0,0.0,0,0.0,0
99624,2006,0.0,0,0.0,0,0.0,0,0.0,0
99001,2006,0.0,0,0.0,0,0.0,0,0.0,0
99524,2006,0.0,0,0.0,0,0.0,0,0.0,0
99773,2006,0.0,0,0.0,0,0.0,0,0.0,0
85001,2006,0.0,0,0.0,0,0.0,0,0.0,0
85010,2006,0.0,0,0.0,0,0.0,0,0.0,0
85015,2006,0.0,0,0.0,0,0.0,0,0.0,0
85136,2006,0.0,0,0.0,0,0.0,0,0.0,0
85139,2006,0.0,0,0.0,0,0.0,0,0.0,0
85162,2006,0.0,0,0.0,0,0.0,0,0.0,0
85225,2006,0.0,0,0.0,0,0.0,0,0.0,0
85230,2006,0.0,0,0.0,0,0.0,0,0.0,0
85263,2006,0.0,0,0.0,0,0.0,0,0.0,0
85279,2006,0.0,0,0.0,0,0.0,0,0.0,0
85300,2006,0.0,0,0.0,0,0.0,0,0.0,0
85315,2006,0.0,0,0.0,0,0.0,0,0.0,0
85325,2006,0.0,0,0.0,0,0.0,0,0.0,0
85400,2006,0.0,0,0.0,0,0.0,0,0.0,0
85410,2006,0.0,0,0.0,0,0.0,0,0.0,0
85430,2006,0.0,0,0.0,0,0.0,0,0.0,0
85440,2006,0.0,0,0.0,0,0.0,0,0.0,0
85125,2006,0.0,0,0.0,0,0.0,0,0.0,0
85250,2006,0.0,0,0.0,0,0.0,0,0.0,0
91001,2006,0.0,0,0.0,0,0.0,0,0.0,0
91263,2006,0.0,0,0.0,0,0.0,0,0.0,0
91405,2006,0.0,0,0.0,0,0.0,0,0.0,0
91407,2006,0.0,0,0.0,0,0.0,0,0.0,0
91430,2006,0.0,0,0.0,0,0.0,0,0.0,0
91460,2006,0.0,0,0.0,0,0.0,0,0.0,0
91530,2006,0.0,0,0.0,0,0.0,0,0.0,0
91536,2006,0.0,0,0.0,0,0.0,0,0.0,0
91540,2006,0.0,0,0.0,0,0.0,0,0.0,0
91669,2006,0.0,0,0.0,0,0.0,0,0.0,0
91798,2006,0.0,0,0.0,0,0.0,0,0.0,0
97001,2006,0.0,0,0.0,0,0.0,0,0.0,0
97161,2006,0.0,0,0.0,0,0.0,0,0.0,0
97511,2006,0.0,0,0.0,0,0.0,0,0.0,0
97666,2006,0.0,0,0.0,0,0.0,0,0.0,0
97777,2006,0.0,0,0.0,0,0.0,0,0.0,0
97889,2006,0.0,0,0.0,0,0.0,0,0.0,0
95001,2006,0.0,0,0.0,0,0.0,0,0.0,0
95015,2006,0.0,0,0.0,0,0.0,0,0.0,0
95025,2006,0.0,0,0.0,0,0.0,0,0.0,0
95200,2006,0.0,0,0.0,0,0.0,0,0.0,0
17001,2006,0.0,0,0.0,0,0.0,0,0.0,0
17013,2006,0.0,0,0.0,0,0.0,0,0.0,0
17486,2006,0.0,0,0.0,0,0.0,0,0.0,0
17446,2006,0.0,0,0.0,0,0.0,0,0.0,0
17444,2006,0.0,0,0.0,0,0.0,0,0.0,0
17442,2006,0.0,0,0.0,0,0.0,0,0.0,0
17433,2006,0.0,0,0.0,0,0.0,0,0.0,0
17388,2006,0.0,0,0.0,0,0.0,0,0.0,0
17380,2006,0.0,0,0.0,0,0.0,0,0.0,0
17272,2006,0.0,0,0.0,0,0.0,0,0.0,0
17174,2006,0.0,0,0.0,0,0.0,0,0.0,0
17088,2006,0.0,0,0.0,0,0.0,0,0.0,0
17050,2006,0.0,0,0.0,0,0.0,0,0.0,0
17042,2006,0.0,0,0.0,0,0.0,0,0.0,0
17495,2006,0.0,0,0.0,0,0.0,0,0.0,0
17877,2006,0.0,0,0.0,0,0.0,0,0.0,0
17873,2006,0.0,0,0.0,0,0.0,0,0.0,0
17867,2006,0.0,0,0.0,0,0.0,0,0.0,0
17777,2006,0.0,0,0.0,0,0.0,0,0.0,0
17665,2006,0.0,0,0.0,0,0.0,0,0.0,0
17662,2006,0.0,0,0.0,0,0.0,0,0.0,0
17653,2006,0.0,0,0.0,0,0.0,0,0.0,0
17616,2006,0.0,0,0.0,0,0.0,0,0.0,0
17541,2006,0.0,0,0.0,0,0.0,0,0.0,0
17524,2006,0.0,0,0.0,0,0.0,0,0.0,0
17513,2006,0.0,0,0.0,0,0.0,0,0.0,0
17614,2006,0.0,0,0.0,0,0.0,0,0.0,0
63001,2006,0.0,0,0.0,0,0.0,0,0.0,0
63111,2006,0.0,0,0.0,0,0.0,0,0.0,0
63130,2006,0.0,0,0.0,0,0.0,0,0.0,0
63190,2006,0.0,0,0.0,0,0.0,0,0.0,0
63212,2006,0.0,0,0.0,0,0.0,0,0.0,0
63272,2006,0.0,0,0.0,0,0.0,0,0.0,0
63302,2006,0.0,0,0.0,0,0.0,0,0.0,0
63401,2006,0.0,0,0.0,0,0.0,0,0.0,0
63470,2006,0.0,0,0.0,0,0.0,0,0.0,0
63548,2006,0.0,0,0.0,0,0.0,0,0.0,0
63594,2006,0.0,0,0.0,0,0.0,0,0.0,0
63690,2006,0.0,0,0.0,0,0.0,0,0.0,0
66001,2006,0.0,0,0.0,0,0.0,0,0.0,0
66045,2006,0.0,0,0.0,0,0.0,0,0.0,0
66075,2006,0.0,0,0.0,0,0.0,0,0.0,0
66088,2006,0.0,0,0.0,0,0.0,0,0.0,0
66170,2006,0.0,0,0.0,0,0.0,0,0.0,0
66318,2006,0.0,0,0.0,0,0.0,0,0.0,0
66383,2006,0.0,0,0.0,0,0.0,0,0.0,0
66400,2006,0.0,0,0.0,0,0.0,0,0.0,0
66440,2006,0.0,0,0.0,0,0.0,0,0.0,0
66456,2006,0.0,0,0.0,0,0.0,0,0.0,0
66572,2006,0.0,0,0.0,0,0.0,0,0.0,0
66594,2006,0.0,0,0.0,0,0.0,0,0.0,0
66682,2006,0.0,0,0.0,0,0.0,0,0.0,0
66687,2006,0.0,0,0.0,0,0.0,0,0.0,0
05001,2006,0.0,0,0.0,0,0.0,0,0.0,0
05101,2006,0.0,0,0.0,0,0.0,0,0.0,0
05107,2006,0.0,0,0.0,0,0.0,0,0.0,0
05113,2006,0.0,0,0.0,0,0.0,0,0.0,0
05120,2006,0.0,0,0.0,0,0.0,0,0.0,0
05093,2006,0.0,0,0.0,0,0.0,0,0.0,0
05091,2006,0.0,0,0.0,0,0.0,0,0.0,0
05088,2006,0.0,0,0.0,0,0.0,0,0.0,0
05086,2006,0.0,0,0.0,0,0.0,0,0.0,0
05079,2006,0.0,0,0.0,0,0.0,0,0.0,0
05059,2006,0.0,0,0.0,0,0.0,0,0.0,0
05055,2006,0.0,0,0.0,0,0.0,0,0.0,0
05051,2006,0.0,0,0.0,0,0.0,0,0.0,0
05044,2006,0.0,0,0.0,0,0.0,0,0.0,0
05042,2006,0.0,0,0.0,0,0.0,0,0.0,0
05040,2006,0.0,0,0.0,0,0.0,0,0.0,0
05038,2006,0.0,0,0.0,0,0.0,0,0.0,0
05036,2006,0.0,0,0.0,0,0.0,0,0.0,0
05034,2006,0.0,0,0.0,0,0.0,0,0.0,0
05031,2006,0.0,0,0.0,0,0.0,0,0.0,0
05030,2006,0.0,0,0.0,0,0.0,0,0.0,0
05021,2006,0.0,0,0.0,0,0.0,0,0.0,0
05004,2006,0.0,0,0.0,0,0.0,0,0.0,0
05002,2006,0.0,0,0.0,0,0.0,0,0.0,0
05895,2006,0.0,0,0.0,0,0.0,0,0.0,0
05893,2006,0.0,0,0.0,0,0.0,0,0.0,0
05890,2006,0.0,0,0.0,0,0.0,0,0.0,0
05887,2006,0.0,0,0.0,0,0.0,0,0.0,0
05885,2006,0.0,0,0.0,0,0.0,0,0.0,0
05861,2006,0.0,0,0.0,0,0.0,0,0.0,0
05858,2006,0.0,0,0.0,0,0.0,0,0.0,0
05856,2006,0.0,0,0.0,0,0.0,0,0.0,0
05854,2006,0.0,0,0.0,0,0.0,0,0.0,0
05842,2006,0.0,0,0.0,0,0.0,0,0.0,0
05837,2006,0.0,0,0.0,0,0.0,0,0.0,0
05819,2006,0.0,0,0.0,0,0.0,0,0.0,0
05809,2006,0.0,0,0.0,0,0.0,0,0.0,0
05792,2006,0.0,0,0.0,0,0.0,0,0.0,0
05790,2006,0.0,0,0.0,0,0.0,0,0.0,0
05789,2006,0.0,0,0.0,0,0.0,0,0.0,0
05761,2006,0.0,0,0.0,0,0.0,0,0.0,0
05756,2006,0.0,0,0.0,0,0.0,0,0.0,0
05736,2006,0.0,0,0.0,0,0.0,0,0.0,0
05697,2006,0.0,0,0.0,0,0.0,0,0.0,0
05690,2006,0.0,0,0.0,0,0.0,0,0.0,0
05686,2006,0.0,0,0.0,0,0.0,0,0.0,0
05679,2006,0.0,0,0.0,0,0.0,0,0.0,0
05306,2006,0.0,0,0.0,0,0.0,0,0.0,0
05282,2006,0.0,0,0.0,0,0.0,0,0.0,0
05266,2006,0.0,0,0.0,0,0.0,0,0.0,0
05264,2006,0.0,0,0.0,0,0.0,0,0.0,0
05250,2006,0.0,0,0.0,0,0.0,0,0.0,0
05240,2006,0.0,0,0.0,0,0.0,0,0.0,0
05237,2006,0.0,0,0.0,0,0.0,0,0.0,0
05212,2006,0.0,0,0.0,0,0.0,0,0.0,0
05209,2006,0.0,0,0.0,0,0.0,0,0.0,0
05206,2006,0.0,0,0.0,0,0.0,0,0.0,0
05197,2006,0.0,0,0.0,0,0.0,0,0.0,0
05190,2006,0.0,0,0.0,0,0.0,0,0.0,0
05172,2006,0.0,0,0.0,0,0.0,0,0.0,0
05154,2006,0.0,0,0.0,0,0.0,0,0.0,0
05150,2006,0.0,0,0.0,0,0.0,0,0.0,0
05148,2006,0.0,0,0.0,0,0.0,0,0.0,0
05147,2006,0.0,0,0.0,0,0.0,0,0.0,0
05145,2006,0.0,0,0.0,0,0.0,0,0.0,0
05142,2006,0.0,0,0.0,0,0.0,0,0.0,0
05138,2006,0.0,0,0.0,0,0.0,0,0.0,0
05134,2006,0.0,0,0.0,0,0.0,0,0.0,0
05129,2006,0.0,0,0.0,0,0.0,0,0.0,0
05125,2006,0.0,0,0.0,0,0.0,0,0.0,0
05674,2006,0.0,0,0.0,0,0.0,0,0.0,0
05670,2006,0.0,0,0.0,0,0.0,0,0.0,0
05667,2006,0.0,0,0.0,0,0.0,0,0.0,0
05665,2006,0.0,0,0.0,0,0.0,0,0.0,0
05664,2006,0.0,0,0.0,0,0.0,0,0.0,0
05660,2006,0.0,0,0.0,0,0.0,0,0.0,0
05659,2006,0.0,0,0.0,0,0.0,0,0.0,0
05658,2006,0.0,0,0.0,0,0.0,0,0.0,0
05656,2006,0.0,0,0.0,0,0.0,0,0.0,0
05652,2006,0.0,0,0.0,0,0.0,0,0.0,0
05649,2006,0.0,0,0.0,0,0.0,0,0.0,0
05647,2006,0.0,0,0.0,0,0.0,0,0.0,0
05642,2006,0.0,0,0.0,0,0.0,0,0.0,0
05628,2006,0.0,0,0.0,0,0.0,0,0.0,0
05615,2006,0.0,0,0.0,0,0.0,0,0.0,0
05607,2006,0.0,0,0.0,0,0.0,0,0.0,0
05604,2006,0.0,0,0.0,0,0.0,0,0.0,0
05591,2006,0.0,0,0.0,0,0.0,0,0.0,0
05585,2006,0.0,0,0.0,0,0.0,0,0.0,0
05579,2006,0.0,0,0.0,0,0.0,0,0.0,0
05576,2006,0.0,0,0.0,0,0.0,0,0.0,0
05543,2006,0.0,0,0.0,0,0.0,0,0.0,0
05541,2006,0.0,0,0.0,0,0.0,0,0.0,0
05501,2006,0.0,0,0.0,0,0.0,0,0.0,0
05495,2006,0.0,0,0.0,0,0.0,0,0.0,0
05490,2006,0.0,0,0.0,0,0.0,0,0.0,0
05483,2006,0.0,0,0.0,0,0.0,0,0.0,0
05480,2006,0.0,0,0.0,0,0.0,0,0.0,0
05467,2006,0.0,0,0.0,0,0.0,0,0.0,0
05440,2006,0.0,0,0.0,0,0.0,0,0.0,0
05425,2006,0.0,0,0.0,0,0.0,0,0.0,0
05411,2006,0.0,0,0.0,0,0.0,0,0.0,0
05400,2006,0.0,0,0.0,0,0.0,0,0.0,0
05390,2006,0.0,0,0.0,0,0.0,0,0.0,0
05376,2006,0.0,0,0.0,0,0.0,0,0.0,0
05368,2006,0.0,0,0.0,0,0.0,0,0.0,0
05364,2006,0.0,0,0.0,0,0.0,0,0.0,0
05360,2006,0.0,0,0.0,0,0.0,0,0.0,0
05353,2006,0.0,0,0.0,0,0.0,0,0.0,0
05347,2006,0.0,0,0.0,0,0.0,0,0.0,0
05321,2006,0.0,0,0.0,0,0.0,0,0.0,0
05318,2006,0.0,0,0.0,0,0.0,0,0.0,0
05315,2006,0.0,0,0.0,0,0.0,0,0.0,0
05313,2006,0.0,0,0.0,0,0.0,0,0.0,0
05310,2006,0.0,0,0.0,0,0.0,0,0.0,0
05308,2006,0.0,0,0.0,0,0.0,0,0.0,0
05234,2006,0.0,0,0.0,0,0.0,0,0.0,0
05284,2006,0.0,0,0.0,0,0.0,0,0.0,0
05361,2006,0.0,0,0.0,0,0.0,0,0.0,0
05847,2006,0.0,0,0.0,0,0.0,0,0.0,0
05475,2006,0.0,0,0.0,0,0.0,0,0.0,0
05873,2006,0.0,0,0.0,0,0.0,0,0.0,0
05045,2006,0.0,0,0.0,0,0.0,0,0.0,0
27615,2006,0.0,0,0.0,0,0.0,0,0.0,0
27001,2006,0.0,0,0.0,0,0.0,0,0.0,0
27006,2006,0.0,0,0.0,0,0.0,0,0.0,0
27025,2006,0.0,0,0.0,0,0.0,0,0.0,0
27050,2006,0.0,0,0.0,0,0.0,0,0.0,0
