codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,crime_count,population,crime_rate_per_100k_inhabitants
5628,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8565.0,11.675423234092236
5631,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,59931.0,23.36019756052794
5642,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19726.0,15.208354456047857
5647,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7670.0,13.03780964797914
5649,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20050.0,0.0
5652,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5962.0,0.0
5656,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13616.0,7.344300822561692
5658,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,0.0
5659,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16609.0,12.041664157986634
5660,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13448.0,7.436049970255801
5664,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19115.0,0.0
5665,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27833.0,28.742859195918513
5667,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16600.0,6.024096385542168
5670,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20903.0,9.568004592642204
5674,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21729.0,4.602144599383313
5679,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28103.0,10.675016902110096
5686,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32006.0,12.497656689370743
5690,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13810.0,0.0
5697,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31141.0,12.844802671718956
5736,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31926.0,18.793459875963165
5756,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37948.0,5.270369979972594
5761,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14351.0,0.0
5789,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18082.0,16.591085056962726
5790,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22465.0,13.354106387714223
5792,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6456.0,0.0
5809,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12006.0,8.329168748958855
5819,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5573.0,17.943656917279743
5837,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105057.0,99.94574373911306
5842,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7601.0,0.0
5847,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29125.0,13.73390557939914
5854,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13617.0,36.71880737313652
5856,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7849.0,12.740476493820868
5858,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11975.0,16.701461377870565
5861,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12088.0,16.545334215751158
5873,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8169.0,24.48280083241523
5885,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7648.0,13.07531380753138
5887,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38731.0,28.401022436807725
5890,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22241.0,13.488602131199137
5893,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14810.0,6.7521944632005395
5895,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23728.0,8.428860418071476
8001,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.0,1098936.0,197.00874300232223
8078,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,52286.0,32.51348353287687
8137,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23682.0,42.226163330799764
8141,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13460.0,14.858841010401187
8296,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,44168.0,43.01756928092737
8372,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16873.0,5.926628341136728
8421,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24280.0,8.237232289950576
8433,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,101521.0,42.355768757202945
8436,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18271.0,0.0
8520,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23715.0,33.733923676997684
8549,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5478.0,0.0
8558,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15256.0,52.43838489774515
8560,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20070.0,54.80817140009965
8573,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38587.0,15.549278254334363
8606,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22791.0,13.163090693694878
8634,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25726.0,62.1938894503615
8638,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,78391.0,11.480909798318685
8675,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12921.0,0.0
8685,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24997.0,24.00288034564148
8758,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,448906.0,61.037277291905205
8770,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11083.0,18.045655508436344
8832,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13442.0,44.636214848980806
8849,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9959.0,30.12350637614218
11001,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12817.0,6801343.0,188.44807562271157
13001,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,850452.0,229.28983646343355
13006,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19890.0,5.027652086475616
13030,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9206.0,21.724961981316532
13042,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7706.0,0.0
