Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
TIENDA D1 VCIO MILENIO,VILLAVICENCIO,481821,2025/07/16,ACTIVA,2025/07/16,2025,4.1372956,-73.5883795,"el milagro, Cl. 35 #16-07, Villavicencio, Meta, Colombia"
TIENDA D1 VCIO PORFIA,VILLAVICENCIO,383820,2020/12/18,ACTIVA,2025/03/19,2025,4.1259666,-73.6206618,"Cra. 22 #5-111 a 5-1, Villavicencio, Meta, Colombia"
TIENDA D1 VILLAVICENCIO SAN IGNACIO,VILLAVICENCIO,343025,2018/12/10,ACTIVA,2025/03/19,2025,4.1372956,-73.5883795,"el milagro, Cl. 35 #16-07, Villavicencio, Meta, Colombia"
TIENDA D1 CALARCA CENTRO,ARMENIA,236989,2019/09/03,ACTIVA,2025/03/20,2025,4.5348328,-75.6394942,"Cra. 25 #45-53, Calarcá, Quindío, Colombia"
TIENDA D1 CALARCA NORTE,ARMENIA,277821,2024/03/11,ACTIVA,2025/03/20,2025,4.5348328,-75.6394942,"Cra. 25 #45-53, Calarcá, Quindío, Colombia"
TIENDA D1 PALMIRA GALERIA,PALMIRA,143075,2022/10/07,ACTIVA,2025/03/10,2025,3.5262051,-76.3007325,"Cl. 29 #29-77, Palmira, Valle del Cauca, Colombia"
TIENDA D1 MANIZALES EL BOSQUE,MANIZALES,212020,2021/02/03,ACTIVA,2025/03/21,2025,5.06488,-75.5237373,"Cra. 26 #12-19, Manizales, Caldas, Colombia"
TIENDA D1 SOLEDAD CENTRO,BARRANQUILLA,755993,2020/02/07,ACTIVA,2025/03/20,2025,10.9236921,-74.7715925,"Cra. 26 #25b-71, Soledad, Atlántico, Colombia"
TIENDA D1 SOLEDAD MARIA DOLORES,BARRANQUILLA,752681,2020/01/07,ACTIVA,2025/03/20,2025,10.9202117,-74.7637611,"Cl. 18 #N° 24 - 02, Soledad, Atlántico, Colombia"
TIENDA D1 SOLEDAD RENACER,BARRANQUILLA,781528,2021/02/09,CANCELADA,2021/02/09,2021,10.9236921,-74.7715925,"Cra. 26 #25b-71, Soledad, Atlántico, Colombia"
TIENDA D1 MANIZALES CR 26,MANIZALES,220475,2022/02/23,ACTIVA,2025/03/21,2025,5.065246399999999,-75.51462169999999,"Cra. 26 #2628, Manizales, Caldas, Colombia"
TIENDA D1 GIRON PARAISO,BUCARAMANGA,9000426108,2019/03/07,INACTIVA POR CIERRE DEL ESTABLECIMIENTO,2020/05/18,2020,7.0814784,-73.12456449999999,"Girón, Bucaramanga, Girón, Santander, Colombia"
TIENDA D1 GIRON POBLADO,BUCARAMANGA,9000425867,2019/03/06,ACTIVA,2025/03/21,2025,7.073047099999999,-73.16944079999999,"Cra. 26 #40-39, Girón, Santander, Colombia"
TIENDA D1 RINCON DE GIRON,BUCARAMANGA,9000455287,2020/03/09,ACTIVA,2025/03/21,2025,7.0744339,-73.1718635,"Cl. 43, Girón, Santander, Colombia"
TIENDA D1 VAL CALI PUERTAS DEL SOL,CALI,1228595,2024/08/08,ACTIVA,2025/03/07,2025,3.4294733,-76.4726206,"Cra. 26c #90-69, Cali, Valle del Cauca, Colombia"
TIENDA D1 BARRANQUILLA EL SILENCIO,BARRANQUILLA,838519,2022/05/11,ACTIVA,2025/03/20,2025,10.9792098,-74.8139471,"Cra. 27 #73c23, Suroccidente, Barranquilla, Atlántico, Colombia"
TIENDA D1 BARRANQUILLA LAS MERCEDES,BARRANQUILLA,750642,2019/11/26,ACTIVA,2025/03/20,2025,10.987158,-74.8218512,"Dirección:, Cl. 80b #No. 39-39, Barranquilla, Atlántico, Colombia"
TIENDA D1 BARRANQUILLA POR FIN,BARRANQUILLA,748987,2019/11/06,ACTIVA,2025/03/20,2025,10.9768995,-74.8292319,"Cra. 27 #85-1, Suroccidente, Barranquilla, Atlántico, Colombia"
TIENDA D1 CALI MANUELA BELTRAN,CALI,971520,2016/12/02,ACTIVA,2025/03/07,2025,3.4163343,-76.4754258,"Cra. 27, Manuela Beltran, Cali, Valle del Cauca, Colombia"
TIENDA D1 BENJAMIN HERRERA,BOGOTA,2957303,2018/05/10,ACTIVA,2025/03/07,2025,4.654069799999999,-74.07585689999999,"Cra. 28 # 63 B - 51, Bogotá, D.C, Bogotá, Colombia"
