LONGITUD,LATITUD,nombre_localidad,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_people,theft_to_vehicle,theft_to_motorbike,sexual,homicide
-74.14949999999999,4.605529999848809,KENNEDY,TIMIZA,2023-01-31,00:00:00,31,1,2023,Martes,SANTA CATALINA,MASCULINO,0,1,0,0,0
-74.07759999999996,4.571779999849915,SAN CRISTÓBAL,SAN BLAS,2023-02-23,00:00:00,23,2,2023,Jueves,SAN CRISTOBAL SUR,MASCULINO,0,1,0,0,0
-74.12409999999994,4.612099999848611,PUENTE ARANDA,SAN RAFAEL,2023-01-27,00:00:00,27,1,2023,Viernes,PROVIVIENDA NORTE,MASCULINO,0,1,0,0,0
-74.12199999999996,4.610519999848667,PUENTE ARANDA,CIUDAD MONTES,2023-03-22,00:00:00,22,3,2023,Miércoles,SAN EUSEBIO,FEMENINO,0,1,0,0,0
-74.13059999999996,4.568749999849983,TUNJUELITO,TUNJUELITO,2023-09-06,00:00:00,6,9,2023,Miércoles,SAN CARLOS,MASCULINO,0,1,0,0,0
-74.12949999999995,4.618869999848402,KENNEDY,AMERICAS,2023-01-24,00:00:00,24,1,2023,Martes,HIPOTECHO SUR,MASCULINO,0,1,0,0,0
-74.04689999999994,4.758419999843848,SUBA,SAN JOSE DE BAVARIA,2023-09-08,00:00:00,8,9,2023,Viernes,NUEVA ZELANDIA,MASCULINO,0,1,0,0,0
-74.09959999999995,4.588009999849386,ANTONIO NARIÑO,RESTREPO,2023-05-21,00:00:00,21,5,2023,Domingo,RESTREPO,MASCULINO,0,1,0,0,0
-74.16219999999998,4.573509999849867,CIUDAD BOLÍVAR,JERUSALEM,2023-03-27,00:00:00,27,3,2023,Lunes,LA PRADERA,MASCULINO,0,1,0,0,0
-74.18279999999999,4.624159999848233,BOSA,BOSA OCCIDENTAL,2023-05-11,00:00:00,11,5,2023,Jueves,CHICALA,MASCULINO,0,1,0,0,0
-74.14519999999999,4.544489999850802,CIUDAD BOLÍVAR,LUCERO,2023-03-06,00:00:00,6,3,2023,Lunes,ESTRELLA DEL SUR,MASCULINO,0,1,0,0,0
-74.20959999999997,4.625519999848167,BOSA,TINTAL SUR,2023-05-21,00:00:00,21,5,2023,Domingo,CAMPO VERDE,MASCULINO,0,1,0,0,0
-74.10459999999995,4.669239999846753,ENGATIVÁ,SANTA CECILIA,2023-08-13,00:00:00,13,8,2023,Domingo,NORMANDIA,MASCULINO,0,1,0,0,0
-74.13519999999994,4.645209999847499,KENNEDY,CASTILLA,2023-06-11,00:00:00,11,6,2023,Domingo,NUEVO TECHO,MASCULINO,0,1,0,0,0
-74.12439999999998,4.695989999845875,ENGATIVÁ,ENGATIVA,2023-03-23,00:00:00,23,3,2023,Jueves,VILLA DEL MAR,FEMENINO,0,1,0,0,0
