LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.16489664099998,4.608564927848686,08,KENNEDY,48,TIMIZA,2018-01-23,00:00:00,MASCULINO,2018,1
-74.06224373299995,4.632094338847944,02,CHAPINERO,90,PARDO RUBIO,2019-09-26,00:00:00,MASCULINO,2019,1
-74.13869290299994,4.655043294847196,08,KENNEDY,46,CASTILLA,2020-08-19,00:00:00,MASCULINO,2020,1
-74.17072116099996,4.58231643084956,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-12-23,00:00:00,FEMENINO,2020,1
-74.02806483799998,4.737190856844516,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2020-10-10,00:00:00,FEMENINO,2020,1
-74.14067837799996,4.5880888778493985,06,TUNJUELITO,42,VENECIA,2018-11-09,00:00:00,MASCULINO,2018,1
-74.11657822099994,4.642376030847589,09,FONTIBÓN,112,GRANJAS DE TECHO,2018-10-05,00:00:00,MASCULINO,2018,1
-74.14137312599996,4.623372460848217,08,KENNEDY,44,AMERICAS,2019-06-27,00:00:00,MASCULINO,2019,1
-74.16950291099994,4.608658497848729,08,KENNEDY,48,TIMIZA,2018-09-23,00:00:00,MASCULINO,2018,1
-74.16881343999995,4.637622486847763,08,KENNEDY,82,PATIO BONITO,2018-02-14,00:00:00,MASCULINO,2018,1
-74.13481550799997,4.553569719850498,19,CIUDAD BOLÍVAR,67,LUCERO,2019-05-28,00:00:00,MASCULINO,2019,1
-74.19462920999996,4.612753491848559,07,BOSA,85,BOSA CENTRAL,2021-06-21,00:00:00,MASCULINO,2021,1
-74.14344473999995,4.607020827848752,08,KENNEDY,45,CARVAJAL,2018-11-26,00:00:00,MASCULINO,2018,1
-74.03781635599995,4.761107153843765,01,USAQUÉN,9,VERBENAL,2019-07-13,00:00:00,MASCULINO,2019,1
-74.19182467799999,4.636000903847845,07,BOSA,86,EL PORVENIR,2018-05-10,00:00:00,MASCULINO,2018,1
-74.11763354199996,4.57635404184976,18,RAFAEL URIBE URIBE,39,QUIROGA,2019-10-29,00:00:00,MASCULINO,2019,1
-74.08544501899996,4.56655401085008,04,SAN CRISTÓBAL,32,SAN BLAS,2020-07-01,00:00:00,MASCULINO,2020,1
-74.10823876699999,4.735787700844573,11,SUBA,71,TIBABUYES,2020-09-03,00:00:00,MASCULINO,2020,1
-74.07407249999994,4.69280281084596,11,SUBA,25,LA FLORESTA,2019-04-29,00:00:00,MASCULINO,2019,1
-74.07660484699994,4.67642459484653,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2019-07-15,00:00:00,FEMENINO,2019,1
-74.16059671899995,4.585318667849491,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2018-04-16,00:00:00,MASCULINO,2018,1
-74.13882634299995,4.716404105845188,10,ENGATIVÁ,74,ENGATIVA,2021-01-05,00:00:00,MASCULINO,2021,1
-74.11159475699998,4.5892828688493355,15,ANTONIO NARIÑO,38,RESTREPO,2020-01-28,00:00:00,MASCULINO,2020,1
-74.11889927099998,4.688125345846126,10,ENGATIVÁ,116,ALAMOS,2019-03-15,00:00:00,MASCULINO,2019,1
-74.14959272999994,4.637470231847782,08,KENNEDY,46,CASTILLA,2020-12-29,00:00:00,MASCULINO,2020,1
-74.03484552399993,4.68817083284615,01,USAQUÉN,14,USAQUEN,2021-07-16,00:00:00,MASCULINO,2021,1
-74.12311656299994,4.745174590844242,11,SUBA,71,TIBABUYES,2019-08-14,00:00:00,MASCULINO,2019,1
-74.16485538399996,4.6793779688463895,09,FONTIBÓN,77,ZONA FRANCA,2019-12-04,00:00:00,MASCULINO,2019,1
-74.07149326199993,4.713962422845296,11,SUBA,24,NIZA,2019-10-25,00:00:00,FEMENINO,2019,1
-74.16977949999995,4.638138595847735,08,KENNEDY,82,PATIO BONITO,2018-04-25,00:00:00,MASCULINO,2018,1
-74.10652452299996,4.735518295844605,11,SUBA,71,TIBABUYES,2019-01-02,00:00:00,MASCULINO,2019,1
-74.18845946099998,4.632301583847953,07,BOSA,86,EL PORVENIR,2018-11-29,00:00:00,MASCULINO,2018,1
-74.10260598299999,4.49970023385226,05,USME,59,ALFONSO LOPEZ,2019-05-23,00:00:00,MASCULINO,2019,1
-74.13775287799996,4.595194087849127,08,KENNEDY,45,CARVAJAL,2020-09-04,00:00:00,MASCULINO,2020,1
-74.15215149799997,4.57319300284985,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2019-11-25,00:00:00,MASCULINO,2019,1
-74.11209997399999,4.754174575843953,11,SUBA,71,TIBABUYES,2020-09-03,00:00:00,MASCULINO,2020,1
-74.16268905099997,4.576131619849791,19,CIUDAD BOLÍVAR,70,JERUSALEM,2019-09-03,00:00:00,MASCULINO,2019,1
-74.09066841999999,4.679052539846413,10,ENGATIVÁ,26,LAS FERIAS,2019-06-17,00:00:00,MASCULINO,2019,1
