LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_vehicle
-74.13258366899998,4.622647792848261,08,KENNEDY,44,AMERICAS,2020-10-05,00:00:00,5,10,2020,Lunes,HIPOTECHO OCCIDENTAL,MASCULINO,1
-74.13232722499998,4.62523493384817,08,KENNEDY,44,AMERICAS,2020-11-04,00:00:00,4,11,2020,Miércoles,HIPOTECHO,FEMENINO,1
-74.10783073599998,4.702936631845648,10,ENGATIVÁ,30,BOYACA REAL,2018-06-26,00:00:00,26,6,2018,Martes,PARIS,MASCULINO,1
-74.12291271199996,4.592136386849235,15,ANTONIO NARIÑO,38,RESTREPO,2021-02-14,00:00:00,14,2,2021,Domingo,VILLA MAYOR ORIENTAL,MASCULINO,1
-74.14189706099995,4.637909503847763,08,KENNEDY,46,CASTILLA,2019-11-17,00:00:00,17,11,2019,Domingo,CASTILLA,FEMENINO,1
-74.13606903199997,4.6450172788475435,08,KENNEDY,46,CASTILLA,2021-04-05,00:00:00,5,4,2021,Lunes,NUEVO TECHO,MASCULINO,1
-74.14404918399998,4.622346810848276,08,KENNEDY,44,AMERICAS,2019-04-16,00:00:00,16,4,2019,Martes,CIUDAD KENNEDY,FEMENINO,1
-74.08181437299999,4.6085550328487415,14,LOS MÁRTIRES,102,LA SABANA,2020-07-09,00:00:00,9,7,2020,Jueves,SAN VICTORINO,MASCULINO,1
-74.12565242199997,4.577038640849754,18,RAFAEL URIBE URIBE,996,SIN UPZ RAFAEL URIBE URIBE,2019-05-29,00:00:00,29,5,2019,Miércoles,SANTA LUCIA,MASCULINO,1
-74.15783706699995,4.689301135846081,09,FONTIBÓN,76,FONTIBON SAN PABLO,2018-05-05,00:00:00,5,5,2018,Sábado,SAN PABLO JERICO,MASCULINO,1
-74.08905138799997,4.648291346847422,13,TEUSAQUILLO,106,LA ESMERALDA,2019-04-16,00:00:00,16,4,2019,Martes,LA ESMERALDA,MASCULINO,1
-74.11021998299998,4.676536782846528,10,ENGATIVÁ,31,SANTA CECILIA,2019-01-16,00:00:00,16,1,2019,Miércoles,SANTA CECILIA,MASCULINO,1
-74.12881272099997,4.5966674598491055,16,PUENTE ARANDA,41,MUZU,2018-10-25,00:00:00,25,10,2018,Jueves,AUTOPISTA SUR,MASCULINO,1
-74.12567080099996,4.614883138848488,16,PUENTE ARANDA,43,SAN RAFAEL,2019-10-24,00:00:00,24,10,2019,Jueves,PROVIVIENDA NORTE,MASCULINO,1
-74.18814142899998,4.635153354847861,07,BOSA,86,EL PORVENIR,2018-01-17,00:00:00,17,1,2018,Miércoles,EL CORZO,MASCULINO,1
-74.12546740899995,4.706099461845544,10,ENGATIVÁ,73,GARCES NAVAS,2019-12-31,00:00:00,31,12,2019,Martes,BOLIVIA,FEMENINO,1
-74.13710541299997,4.586116861849433,06,TUNJUELITO,42,VENECIA,2018-12-07,00:00:00,7,12,2018,Viernes,FATIMA,MASCULINO,1
-74.13029614499999,4.662395130846953,09,FONTIBÓN,112,GRANJAS DE TECHO,2018-06-21,00:00:00,21,6,2018,Jueves,CIUDAD HAYUELOS,MASCULINO,1
-74.10519957099996,4.6522035628473075,09,FONTIBÓN,110,CIUDAD SALITRE OCCIDENTAL,2020-10-16,00:00:00,16,10,2020,Viernes,SALITRE OCCIDENTAL,MASCULINO,1
-74.10309075299995,4.714471773845281,10,ENGATIVÁ,29,MINUTO DE DIOS,2019-06-02,00:00:00,2,6,2019,Domingo,CIUDAD BACHUE I ETAPA,MASCULINO,1
-74.16129252599995,4.653882215847244,08,KENNEDY,78,TINTAL NORTE,2021-09-10,00:00:00,10,9,2021,Viernes,LA MAGDALENA I,MASCULINO,1
-74.13516739099998,4.61742570184842,08,KENNEDY,44,AMERICAS,2019-06-12,00:00:00,12,6,2019,Miércoles,PROVIVIENDA ORIENTAL,MASCULINO,1
-74.11195223699997,4.583007953849533,18,RAFAEL URIBE URIBE,39,QUIROGA,2019-05-18,00:00:00,18,5,2019,Sábado,QUIROGA I,MASCULINO,1
-74.18099729099998,4.597082101849102,07,BOSA,85,BOSA CENTRAL,2020-02-25,00:00:00,25,2,2020,Martes,CORREDOR FERREO DEL SUR,MASCULINO,1
-74.05261348199997,4.716777424845182,11,SUBA,19,EL PRADO,2020-10-31,00:00:00,31,10,2020,Sábado,PRADO VERANIEGO,MASCULINO,1
-74.08440272999997,4.689361870846114,10,ENGATIVÁ,26,LAS FERIAS,2021-01-20,00:00:00,20,1,2021,Miércoles,LAS FERIAS OCCIDENTAL,MASCULINO,1
-74.10331657799998,4.607635937848741,16,PUENTE ARANDA,40,CIUDAD MONTES,2021-03-29,00:00:00,29,3,2021,Lunes,COMUNEROS,MASCULINO,1
-74.10663715299995,4.581708219849591,18,RAFAEL URIBE URIBE,39,QUIROGA,2018-01-14,00:00:00,14,1,2018,Domingo,OLAYA,MASCULINO,1
-74.08863077599995,4.546105042850771,04,SAN CRISTÓBAL,50,LA GLORIA,2018-11-12,00:00:00,12,11,2018,Lunes,LA GLORIA ORIENTAL,MASCULINO,1
-74.12135252399997,4.596513357849103,16,PUENTE ARANDA,41,MUZU,2018-06-10,00:00:00,10,6,2018,Domingo,AUTOPISTA MUZU ORIENTAL,MASCULINO,1
-74.09386840699995,4.589054212849361,15,ANTONIO NARIÑO,38,RESTREPO,2018-04-21,00:00:00,21,4,2018,Sábado,SAN ANTONIO,MASCULINO,1
-74.11787043599998,4.515278326851739,05,USME,57,GRAN YOMASA,2018-09-09,00:00:00,9,9,2018,Domingo,SANTA LIBRADA,MASCULINO,1
-74.09915110699995,4.552656012850533,04,SAN CRISTÓBAL,50,LA GLORIA,2019-06-22,00:00:00,22,6,2019,Sábado,GUACAMAYAS IV,FEMENINO,1
-74.09616455199995,4.600313594848979,14,LOS MÁRTIRES,37,SANTA ISABEL,2020-12-10,00:00:00,10,12,2020,Jueves,VERAGUAS,MASCULINO,1
-74.07970968299998,4.58820297784936,03,SANTA FE,95,LAS CRUCES,2018-06-10,00:00:00,10,6,2018,Domingo,LAS CRUCES,MASCULINO,1
-74.13233753299994,4.607249615848758,08,KENNEDY,45,CARVAJAL,2019-11-14,00:00:00,14,11,2019,Jueves,ALQUERIA LA FRAGUA NORTE,MASCULINO,1
-74.14608121999999,4.64517114684752,08,KENNEDY,46,CASTILLA,2019-02-20,00:00:00,20,2,2019,Miércoles,VALLADOLID,MASCULINO,1
-74.14762072899998,4.627316040848089,08,KENNEDY,47,KENNEDY CENTRAL,2021-03-26,00:00:00,26,3,2021,Viernes,TECHO,FEMENINO,1
-74.02740623399995,4.763285309843709,01,USAQUÉN,9,VERBENAL,2018-01-04,00:00:00,4,1,2018,Jueves,HORIZONTES NORTE,MASCULINO,1
-74.07592632399997,4.641939305847623,13,TEUSAQUILLO,100,GALERIAS,2018-06-29,00:00:00,29,6,2018,Viernes,GALERIAS,MASCULINO,1
-74.12602999999996,4.579452226849665,18,RAFAEL URIBE URIBE,39,QUIROGA,2021-08-29,00:00:00,29,8,2021,Domingo,SANTA LUCIA,MASCULINO,1
-74.14251144699995,4.613033310848563,08,KENNEDY,45,CARVAJAL,2020-10-31,00:00:00,31,10,2020,Sábado,PROVIVIENDA OCCIDENTAL,MASCULINO,1
-74.16997215399994,4.633885155847915,08,KENNEDY,82,PATIO BONITO,2020-08-07,00:00:00,7,8,2020,Viernes,DINTALITO,MASCULINO,1
-74.11967394999994,4.707026160845511,10,ENGATIVÁ,73,GARCES NAVAS,2018-12-09,00:00:00,9,12,2018,Domingo,GARCES NAVAS ORIENTAL,MASCULINO,1
-74.15999330199998,4.6719017058466354,09,FONTIBÓN,77,ZONA FRANCA,2020-10-29,00:00:00,29,10,2020,Jueves,ZONA FRANCA,MASCULINO,1
-74.06075796799996,4.712201937845315,11,SUBA,19,EL PRADO,2020-02-08,00:00:00,8,2,2020,Sábado,PRADO VERANIEGO SUR,MASCULINO,1
-74.16801018099994,4.684259626846276,09,FONTIBÓN,77,ZONA FRANCA,2020-01-09,00:00:00,9,1,2020,Jueves,EL CHANCO II,MASCULINO,1
-74.11612848499993,4.713550505845298,10,ENGATIVÁ,73,GARCES NAVAS,2021-02-06,00:00:00,6,2,2021,Sábado,GARCES NAVAS ORIENTAL,MASCULINO,1
-74.13551702199999,4.647185496847478,08,KENNEDY,46,CASTILLA,2019-09-22,00:00:00,22,9,2019,Domingo,NUEVO TECHO,MASCULINO,1
-74.03762474999996,4.758691534843811,01,USAQUÉN,9,VERBENAL,2018-07-30,00:00:00,30,7,2018,Lunes,SAN ANTONIO NOROCCIDENTAL,MASCULINO,1
