"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.07717799999995","4.595089999849136","17","CANDELARIA","94","LA CANDELARIA","2019-09-05","00:00:00","5","9","2019","Jueves","CENTRO ADMINISTRATIVO","FEMENINO","1"
"-74.19722786699998","4.64178364584761","7","BOSA","86","EL PORVENIR","2019-01-27","00:00:00","27","1","2019","Domingo","CANAVERALEJO RURAL","FEMENINO","1"
"-74.09311099999996","4.557150999850374","4","SAN CRISTÓBAL","34","20 DE JULIO","2021-07-28","00:00:00","28","7","2021","Miércoles","ATENAS","FEMENINO","1"
"-74.09191799999996","4.747535999844172","11","SUBA","27","SUBA","2020-08-22","00:00:00","22","8","2020","Sábado","EL PINO","MASCULINO","1"
"-74.11096999999995","4.569619999849979","18","RAFAEL URIBE URIBE","53","MARCO FIDEL SUAREZ","2021-07-15","00:00:00","15","7","2021","Jueves","GRANJAS DE SANTA SOFIA","FEMENINO","1"
"-74.18645399999997","4.613010999848549","7","BOSA","85","BOSA CENTRAL","2021-03-10","00:00:00","10","3","2021","Miércoles","ARGELIA II","MASCULINO","1"
"-74.18642291499998","4.600980725848955","7","BOSA","85","BOSA CENTRAL","2020-12-23","00:00:00","23","12","2020","Miércoles","LA ESTACION BOSA","FEMENINO","1"
"-74.09898399999997","4.655922999847153","13","TEUSAQUILLO","104","PARQUE SIMON BOLIVAR - CAN","2019-08-14","00:00:00","14","8","2019","Miércoles","EL SALITRE","FEMENINO","1"
"-74.11605199999997","4.519815999851602","5","USME","57","GRAN YOMASA","2018-08-08","00:00:00","8","8","2018","Miércoles","SANTA LIBRADA NORTE","MASCULINO","1"
"-74.18999599999995","4.639516999847731","7","BOSA","86","EL PORVENIR","2020-03-27","00:00:00","27","3","2020","Viernes","EL CORZO I","FEMENINO","1"
"-74.20718699999998","4.607356999848745","7","BOSA","85","BOSA CENTRAL","2018-12-12","00:00:00","12","12","2018","Miércoles","SAN BERNARDINO I","FEMENINO","1"
"-74.20595267899995","4.622449281848265","7","BOSA","84","BOSA OCCIDENTAL","2018-02-16","00:00:00","16","2","2018","Viernes","SAN BERNARDINO POTRERITOS","FEMENINO","1"
"-74.09281699999997","4.562870999850181","4","SAN CRISTÓBAL","34","20 DE JULIO","2019-07-18","00:00:00","18","7","2019","Jueves","BELLO HORIZONTE","FEMENINO","1"
"-74.18435603499995","4.631061515847978","7","BOSA","84","BOSA OCCIDENTAL","2019-04-22","00:00:00","22","4","2019","Lunes","BRASIL","FEMENINO","1"
"-74.01472699999994","4.733540999844659","1","USAQUÉN","11","SAN CRISTOBAL NORTE","2019-08-29","00:00:00","29","8","2019","Jueves","SANTA CECILIA PUENTE NORTE","FEMENINO","1"
"-74.19191468199995","4.604360683848833","7","BOSA","85","BOSA CENTRAL","2019-02-10","00:00:00","10","2","2019","Domingo","EL RETAZO","FEMENINO","1"
"-74.16081211699998","4.569056652850027","19","CIUDAD BOLÍVAR","70","JERUSALEM","2019-03-25","00:00:00","25","3","2019","Lunes","LA PRADERA","FEMENINO","1"
"-74.07239999999996","4.569000999850024","4","SAN CRISTÓBAL","32","SAN BLAS","2020-02-18","00:00:00","18","2","2020","Martes","SAN CRISTOBAL SUR","MASCULINO","1"
"-74.10275799999994","4.487282999852662","5","USME","59","ALFONSO LOPEZ","2020-04-27","00:00:00","27","4","2020","Lunes","PUERTA AL LLANO DE USME","FEMENINO","1"
"-74.09470999999996","4.571139999849956","4","SAN CRISTÓBAL","34","20 DE JULIO","2019-06-01","00:00:00","1","6","2019","Sábado","VEINTE DE JULIO","FEMENINO","1"
"-74.10346502499993","4.646825133847462","13","TEUSAQUILLO","109","CIUDAD SALITRE ORIENTAL","2018-02-22","00:00:00","22","2","2018","Jueves","CIUDAD SALITRE NOR-ORIENTAL","FEMENINO","1"
"-74.10904399999998","4.742446999844338","11","SUBA","71","TIBABUYES","2018-09-01","00:00:00","1","9","2018","Sábado","LA GAITANA ORIENTAL","FEMENINO","1"
