LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.15976006999995,4.569890612849968,19,CIUDAD BOLÍVAR,70,JERUSALEM,2021-03-12,00:00:00,MASCULINO,2021,1
-74.11614320399997,4.537952083851006,05,USME,56,DANUBIO,2021-03-03,00:00:00,MASCULINO,2021,1
-74.09831240299997,4.606543187848781,16,PUENTE ARANDA,40,CIUDAD MONTES,2018-01-11,00:00:00,MASCULINO,2018,1
-74.16999999999996,4.693169999845976,09,FONTIBÓN,77,ZONA FRANCA,2022-10-22,00:00:00,MASCULINO,2022,1
-74.11309999999997,4.7495599998441085,11,SUBA,71,TIBABUYES,2022-08-03,00:00:00,MASCULINO,2022,1
-74.16149999999999,4.5693399998500155,19,CIUDAD BOLÍVAR,70,JERUSALEM,2022-12-25,00:00:00,MASCULINO,2022,1
-74.14009999999996,4.591589999849272,06,TUNJUELITO,42,VENECIA,2022-11-04,00:00:00,MASCULINO,2022,1
-74.11589999999995,4.550339999850619,18,RAFAEL URIBE URIBE,54,MARRUECOS,2023-01-16,00:00:00,MASCULINO,2023,1
-74.16659999999996,4.628929999848028,08,KENNEDY,80,CORABASTOS,2022-08-24,00:00:00,MASCULINO,2022,1
-74.17209999999994,4.591739999849288,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2022-07-16,00:00:00,MASCULINO,2022,1
-74.12382808099994,4.47202806785316,05,USME,61,CIUDAD USME,2018-09-09,00:00:00,MASCULINO,2018,1
-74.19099999999997,4.638159999847733,07,BOSA,86,EL PORVENIR,2022-02-28,00:00:00,MASCULINO,2022,1
-74.17240532299996,4.572310729849873,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-03-21,00:00:00,MASCULINO,2020,1
-74.07839999999999,4.608659999848709,14,LOS MÁRTIRES,102,LA SABANA,2022-07-31,00:00:00,MASCULINO,2022,1
-74.20598416899998,4.611493633848627,07,BOSA,85,BOSA CENTRAL,2021-11-26,00:00:00,FEMENINO,2021,1
-74.10733492299994,4.550132949850597,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2020-01-26,00:00:00,MASCULINO,2020,1
-74.06499999999994,4.652669999847292,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2022-09-05,00:00:00,MASCULINO,2022,1
