LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,sexual_crimes
-74.10275799999994,4.487282999852662,05,USME,59,ALFONSO LOPEZ,2020-04-27,00:00:00,FEMENINO,2020,1
-74.09470999999996,4.571139999849956,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-06-01,00:00:00,FEMENINO,2019,1
-74.10346502499993,4.646825133847462,13,TEUSAQUILLO,109,CIUDAD SALITRE ORIENTAL,2018-02-22,00:00:00,FEMENINO,2018,1
-74.10904399999998,4.742446999844338,11,SUBA,71,TIBABUYES,2018-09-01,00:00:00,FEMENINO,2018,1
-74.09067532699999,4.566532490850072,04,SAN CRISTÓBAL,34,20 DE JULIO,2018-07-11,00:00:00,FEMENINO,2018,1
-74.08731722399995,4.7204031008450675,11,SUBA,28,EL RINCON,2018-03-25,00:00:00,FEMENINO,2018,1
-74.10701436399995,4.6580186628471205,09,FONTIBÓN,110,CIUDAD SALITRE OCCIDENTAL,2019-01-30,00:00:00,MASCULINO,2019,1
-74.11633299999994,4.494084999852435,05,USME,58,COMUNEROS,2019-08-10,00:00:00,FEMENINO,2019,1
-74.09929999999997,4.694799999845905,10,ENGATIVÁ,30,BOYACA REAL,2021-03-21,00:00:00,MASCULINO,2021,1
-74.17438499999997,4.594070999849176,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2021-06-12,00:00:00,FEMENINO,2021,1
-74.19887322599999,4.610048011848664,07,BOSA,85,BOSA CENTRAL,2018-05-03,00:00:00,FEMENINO,2018,1
-74.13693987199997,4.574216938849832,06,TUNJUELITO,42,VENECIA,2018-03-28,00:00:00,FEMENINO,2018,1
-74.10668599999997,4.740922999844426,11,SUBA,71,TIBABUYES,2019-11-25,00:00:00,FEMENINO,2019,1
-74.06592675199994,4.63309780384791,02,CHAPINERO,99,CHAPINERO,2021-07-08,00:00:00,MASCULINO,2021,1
-74.15895999999998,4.549559999850627,19,CIUDAD BOLÍVAR,67,LUCERO,2021-02-15,00:00:00,FEMENINO,2021,1
-74.08980999999994,4.6750456828465685,10,ENGATIVÁ,26,LAS FERIAS,2019-05-28,00:00:00,FEMENINO,2019,1
-74.14958999999999,4.555184999850453,19,CIUDAD BOLÍVAR,67,LUCERO,2019-05-01,00:00:00,FEMENINO,2019,1
