ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
569.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0,BOSA CENTRAL,7.0,BOSA,2.0,211484.0,714.656.412.136,221236.0,309.569.740.428,508.828,546.809,"3,98",703.807,"85,4",2.0,1,6.0,69.0,12.0,13.0,8.0,18.0,43.0,77.0
570.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0,BOSA CENTRAL,7.0,BOSA,2.0,211484.0,714.656.412.136,221236.0,309.569.740.428,508.828,546.809,"3,98",703.807,"85,4",0.0,0,2.0,16.0,3.0,7.0,2.0,0.0,7.0,21.0
804.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,13.0,LOS CEDROS,1.0,USAQUEN,4.6,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,5.0,15.0,1.0,0.0,2.0,0.0,8.0,10.0
85.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.0,USAQUEN,1.0,USAQUEN,5.71,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
81.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,13.0,0.0,0.0,0.0,0.0,7.0,6.0
80.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,13.0,LOS CEDROS,1.0,USAQUEN,5.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
79.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,3.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,12.0,0.0,1.0,1.0,0.0,6.0,8.0
78.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,5.0,9.0,0.0,2.0,0.0,0.0,5.0,6.0
193.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,ENGATIVA,10.0,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,7.0
793.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,117.0,AEROPUERTO EL DORADO,9.0,FONTIBON,3.0,412.0,743.536.979.514,835.0,112.301.072.173,301.375,317.179,"3,46",1.428.379,"90,03",1.0,1,16.0,63.0,0.0,4.0,1.0,1.0,29.0,40.0
1841.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
