codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
114.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,207,2,13,26,9,87,170,41956,19382,22574,61.25464772618934,49.3374010868529,0.4766898655734579,3.0984841262274765,6.196968252454953,2.1451043950805606,87.71024662057579,38.53991317444848
89.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,14,2,5,0,0,9,12,14537,7178,7359,14.445896677443763,9.630597784962509,1.3757996835660729,3.4394992089151817,0.0,0.0,16.71774867651156,12.22992254382389
38.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,421,15,25,59,54,192,382,55945,26632,29313,102.60076861202967,75.25248011439807,2.681204754669765,4.468674591116275,10.546072035034408,9.652337116811154,143.43646740762992,65.49994882816497
52.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,32,14,14,0,2,20,42,17505,8720,8785,35.41845187089403,18.28049128820337,7.997714938588975,7.997714938588975,0.0,1.1425307055127105,48.165137614678905,22.766078542970973
96.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,3.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,95,12,14,1,8,43,87,44546,21724,22822,29.183316122659726,21.326269474251333,2.69384456516859,3.1428186593633547,0.22448704709738249,1.7958963767790599,40.0478733198306,18.841468758215758
84.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,288,36,64,30,135,163,390,196849,96671,100178,28.092598895600183,14.630503583965375,1.8288129479956718,3.251223018658972,1.5240107899963933,6.858048554983769,40.343019106040074,16.271037553155384
111.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,155,1,26,4,34,74,146,9493,6848,2645,231.74971031286213,163.27820499315283,1.0534077741493733,27.388602127883704,4.213631096597493,35.81586432107869,213.20093457943923,279.77315689981094
112.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,264,1,13,16,19,108,205,37231,17208,20023,84.0697268405361,70.90865139265667,0.26859337648733583,3.491713894335366,4.297494023797373,5.10327415325938,119.1306369130637,53.93797133296708
75.0,2015,0.0,0,0.0,0,3.0,1,0.0,0,0.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,443,10,62,28,41,200,383,133192,63502,69690,43.84647726590186,33.2602558712235,0.7507958435942099,4.654934230284101,2.1022283620637876,3.07826295873626,60.31306100595257,28.698522026115654
12.0,2015,1.0,1,0.0,0,2.0,1,0.0,0,5.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,225,4,16,8,7,100,160,58543,26971,31572,44.41179987359718,38.43328835215141,0.6832584595938028,2.7330338383752113,1.3665169191876056,1.195702304289155,59.32297653034741,31.673634866337263
16.0,2015,0.0,0,0.0,0,4.0,1,0.0,0,8.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,477,3,34,7,11,242,289,65473,29173,36300,81.25486841904296,72.85445909000657,0.45820414522016706,5.1929803124952265,1.0691430055137232,1.6800818658072794,99.06420320159052,66.66666666666667
82.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,321,42,48,26,93,163,367,144804,72234,72570,36.60119886190989,22.1678959144775,2.9004723626419158,3.3148255573050465,1.7955305102069004,6.422474517278528,50.80709914998477,22.4610720683478
35.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,102,2,10,9,17,58,82,25069,11890,13179,55.84586541146436,40.68770194263832,0.7977980773066337,3.9889903865331684,3.5900913478798517,6.781283657106386,68.9655172413793,44.00940890811139
68.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,43,27,16,3,16,31,74,48247,24089,24158,21.763011171679068,8.912471241735238,5.596202872717474,3.316268369017763,0.6218003191908305,3.316268369017763,30.71941550085101,12.832188095040982
27.0,2015,1.0,1,0.0,0,4.0,1,0.0,0,2.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,444,7,51,42,26,237,333,163366,76565,86801,34.89098098747597,27.17823782182339,0.4284857314251435,3.121824614668903,2.5709143885508614,1.591518431007676,43.49245738914648,27.303832905150863
22.0,2015,1.0,1,0.0,0,2.0,1,0.0,0,1.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,381,5,47,34,32,176,323,65712,31865,33847,75.93742391039689,57.98027757487217,0.7608960311663014,7.152422692963234,5.174093011930849,4.869734599464329,101.36513415973639,51.998700032499194
105.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,39,0,2,1,7,22,27,1908,1049,859,256.8134171907757,204.40251572327043,0.0,10.482180293501049,5.241090146750524,36.68763102725367,257.38798856053387,256.1117578579744
104.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,152,3,13,4,9,72,109,2932,1459,1473,617.3260572987722,518.4174624829468,10.231923601637106,44.33833560709414,13.642564802182811,30.695770804911323,747.0870459218643,488.79837067209775
74.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,96,22,44,7,50,64,155,130807,63588,67219,16.742223275512778,7.339056778306971,1.681867178362014,3.363734356724028,0.53513955675155,3.8224254053682145,24.375668365100335,9.521117541171394
47.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,334,16,33,47,83,154,358,97797,46364,51433,52.455596797447775,34.15237686227594,1.636042005378488,3.3743366360931315,4.8058733907993085,8.486967902900906,77.215080666034,29.941866117084363
70.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,118,37,34,24,67,85,195,92919,45751,47168,30.13377242544582,12.69923266500931,3.9819627847910546,3.6591009373755634,2.5828947793239276,7.210581258945964,42.62201919083736,18.02069199457259
66.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,130,36,35,18,62,99,182,69284,34028,35256,40.55770452052422,18.763350845794122,5.196004849604526,5.051671381559956,2.598002424802263,8.948675018763351,53.48536499353474,28.080326752893125
65.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,97,13,12,36,28,60,126,72468,34778,37690,25.66650107633714,13.38521830325109,1.7938952365181873,1.6559032952475576,4.967709885742672,3.8637743555776343,36.22980044855943,15.919342000530646
79.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,123,11,24,67,61,66,220,103435,49223,54212,27.650215110939236,11.891526079180162,1.0634698119592014,2.3202977715473483,6.477497945569682,5.897423502682844,44.694553359202004,12.174426326274626
59.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,84,24,39,4,12,63,99,47422,23541,23881,34.37223229724601,17.71329762557463,5.0609421787356075,8.224031040445363,0.8434903631226013,2.5304710893678037,42.05428826303046,26.380804823918595
45.0,2015,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,292,10,22,57,70,119,332,93912,45444,48468,48.02368174461198,31.09293806968226,1.064826646221995,2.342618621688389,6.069511883465371,7.4537865235539655,73.05694921221723,24.552281917966493
20.0,2015,1.0,1,0.0,0,4.0,1,0.0,0,10.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,202,1,21,4,4,96,136,40161,18050,22111,57.76748586937577,50.29755235178406,0.2489977839197231,5.228953462314186,0.9959911356788924,0.9959911356788924,75.34626038781163,43.41730360454072
51.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,50,17,12,10,17,40,66,72249,35162,37087,14.671483342329998,6.920511010533017,2.352973743581226,1.6609226425279242,1.3841022021066036,2.352973743581226,18.770263352482793,10.785450427373473
115.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,127,0,6,8,7,52,96,17116,8093,9023,86.46880112175742,74.19957934096752,0.0,3.505491937368544,4.673989249824726,4.089740593596635,118.62103052020264,57.63049983375817
43.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,191,11,24,44,41,96,215,71524,33993,37531,43.481908170683965,26.704323024439347,1.5379453050724232,3.3555170292489236,6.151781220289693,5.732341591633578,63.248315829729655,25.57885481335429
25.0,2015,1.0,1,0.0,0,3.0,1,0.0,0,6.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,147,0,11,7,6,70,100,37653,17113,20540,45.41470799139511,39.040713887339656,0.0,2.9214139643587496,1.8590816136828405,1.5934985260138634,58.435107812773914,34.079844206426486
56.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,92,15,7,33,9,51,105,45568,22258,23310,34.234550561797754,20.189606741573034,3.2917837078651684,1.5361657303370786,7.241924157303371,1.975070224719101,47.174049779854435,21.87902187902188
26.0,2015,0.0,0,0.0,0,1.0,1,0.0,0,4.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,358,10,36,52,66,168,353,100458,47763,52695,51.96201397598996,35.63678353142607,0.9954408807660913,3.5835871707579288,5.1762925799836745,6.569909813056203,73.90658040742834,31.88158269285511
102.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,9.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,979,68,70,18,41,354,821,36187,17240,18947,324.9785834692016,270.53914389145274,18.791278635974244,19.343963301738192,4.974161991875536,11.33003564816094,476.2180974477958,186.83696627434423
2.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,28,0,1,2,1,13,19,2791,1390,1401,114.6542457900394,100.3224650662845,0.0,3.582945180938731,7.165890361877462,3.582945180938731,136.69064748201438,92.79086366880799
116.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,1.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,76,0,23,16,7,40,82,11648,5508,6140,104.73901098901098,65.24725274725274,0.0,19.74587912087912,13.736263736263737,6.009615384615385,148.87436456063907,65.14657980456026
81.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,111,12,30,14,38,61,144,65203,31845,33358,31.440271153167796,17.023756575617686,1.840406116282993,4.601015290707483,2.147140468996825,5.827952701562811,45.21902967498823,18.286468013669882
52.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,32,14,14,0,2,20,42,17505,8720,8785,35.41845187089403,18.28049128820337,7.997714938588975,7.997714938588975,0.0,1.1425307055127105,48.165137614678905,22.766078542970973
33.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,225,6,32,22,24,112,197,41555,20046,21509,74.35928287811335,54.145108891830105,1.443869570448803,7.700637709060281,5.294188424978944,5.775478281795212,98.2739698693006,52.071225998419266
19.0,2015,1.0,1,0.0,0,4.0,1,0.0,0,8.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,272,3,27,12,6,138,182,96569,44374,52195,33.13692799966863,28.166388799718334,0.31065869999689344,2.7959282999720405,1.2426347999875738,0.6213173999937869,41.01500878893045,26.439314110546988
41.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,156,3,26,84,52,86,235,56517,26747,29770,56.79706990816922,27.602314347895323,0.5308137374595254,4.600385724649221,14.862784648866713,9.200771449298442,87.8603207836393,28.88814242526033
37.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,4.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,155,8,13,17,23,69,147,37800,17330,20470,57.142857142857146,41.005291005291,2.1164021164021163,3.4391534391534395,4.497354497354497,6.084656084656085,84.82400461627236,33.70786516853933
107.0,2015,0.0,0,0.0,0,1.0,1,0.0,0,4.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,234,0,7,11,7,105,154,25472,11346,14126,101.68027638190955,91.86557788944724,0.0,2.7481155778894473,4.318467336683417,2.7481155778894473,135.73065397496916,74.33102081268582
73.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,227,10,55,46,95,149,284,153681,72628,81053,28.17524612671703,14.770856514468282,0.6506985248664441,3.5788418867654426,2.993213214385643,6.181635986231219,39.10337610838795,18.3830333238745
31.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,218,0,33,29,20,107,193,65135,30471,34664,46.058186842711294,33.46894910570354,0.0,5.0664005526982425,4.452291394795425,3.0705457895140857,63.338912408519576,30.867759058389108
58.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.5654545454545454,857659.0,954745.0,0.0,0,29.0,314.431,"4,07",569.872,"82,91",USME,COMUNEROS,139,16,35,17,16,82,141,90939,44593,46346,24.52193228427847,15.284971244460571,1.7594211504415047,3.848733766590792,1.869384972344099,1.7594211504415047,31.619312448142086,17.693004790057394
13.0,2015,4.0,1,0.0,0,3.0,1,0.0,0,2.0,4.381666666666667,1717632.0,1842552.0,20.0,5,88.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,LOS CEDROS,487,1,39,10,5,227,315,119423,52795,66628,45.384892357418586,40.77941435066947,0.08373596375907488,3.26570258660392,0.8373596375907489,0.41867981879537447,59.6647409792594,34.06976046106742
63.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1596.0,5864.0,2.0,2,6.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL MOCHUELO,3,0,1,1,0,3,2,83,46,37,602.4096385542168,361.4457831325301,0.0,120.48192771084338,120.48192771084338,0.0,434.7826086956522,810.8108108108108
87.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.765,212992.0,339512.0,0.0,0,47.0,546.809,"3,98",703.807,"85,4",BOSA,TINTAL SUR,64,10,16,3,19,41,71,77392,36620,40772,14.47178002894356,8.269588587967748,1.2921232168699608,2.067397146991937,0.3876369650609882,2.455034112052925,19.38831239759694,10.055920729912684
77.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.045,283878.0,356976.0,0.0,0,13.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,ZONA FRANCA,143,1,8,16,12,48,132,51491,24131,27360,34.9575653997786,27.771843623157444,0.19420869666543666,1.5536695733234933,3.1073391466469866,2.33050435998524,54.7014214081472,17.54385964912281
39.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,0.0,3.0,1410480.0,1306815.0,45.0,15,69.0,378.78,"3,72",591.317,"87,06",RAFAEL URIBE URIBE,QUIROGA,498,15,42,57,85,247,450,87659,42280,45379,79.5126570004221,56.8110519170878,1.7111762625628857,4.79129353517608,6.502469797738966,9.696665487856352,106.4333017975402,54.43046343022103
108.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,2.0,2.685714285714286,33520.0,33976.0,48.0,8,66.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,ZONA INDUSTRIAL,272,4,14,22,19,102,229,5506,2769,2737,601.1623683254631,494.00653832183076,7.26480203414457,25.426807119505995,39.95641118779513,34.50780966218671,827.0133622246298,372.67080745341616
61.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.2366666666666666,79500.0,134960.0,0.0,0,65.0,314.431,"4,07",569.872,"82,91",USME,CIUDAD USME,34,10,11,4,0,25,34,18445,9007,9438,31.986988343724587,18.433179723502302,5.421523448088912,5.963675792897805,2.168609379235565,0.0,37.748417897191075,26.488662852299214
1.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,52488.0,63828.0,3.0,3,83.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,PASEO DE LOS LIBERTADORES,45,0,3,0,1,19,30,2693,1346,1347,181.95321203119198,167.09988860007428,0.0,11.139992573338283,0.0,3.713330857779428,222.88261515601783,141.05419450631032
46.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.72,884656.0,1003288.0,18.0,6,40.0,979.914,"3,72",999.300,"88,94",KENNEDY,CASTILLA,321,7,15,103,50,159,337,132836,63546,69290,37.33927549760607,24.165135957120057,0.5269655816194405,1.1292119606130868,7.753922129543196,3.7640398687102894,53.03244893463003,22.94703420406985
85.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.9988888888888892,2537808.0,2654832.0,17.0,6,39.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA CENTRAL,468,56,102,33,108,263,503,239097,115658,123439,32.0790306862905,19.57364584248234,2.342145656365408,4.2660510169512795,1.3801929760724727,4.516995194419001,43.49029033875737,21.3060702047165
60.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.11,10544.0,15584.0,0.0,0,0.0,314.431,"4,07",569.872,"82,91",USME,PARQUE ENTRENUBES,6,4,0,2,0,6,6,1317,675,642,91.11617312072893,45.558086560364465,30.372057706909644,0.0,15.186028853454822,0.0,88.88888888888889,93.45794392523364
30.0,2015,1.0,1,0.0,0,3.0,1,0.0,0,3.0,3.001818181818182,1427481.0,1341120.0,25.0,7,42.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOYACA REAL,347,12,82,43,62,222,323,124317,59133,65184,43.91997876396631,27.912513976366867,0.9652742585487101,6.596040766749519,3.4588994264662114,4.987250335835002,54.62263034177193,34.057437407952875
72.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,3.0,331356.0,345116.0,4.0,2,21.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOLIVIA,157,2,17,59,26,82,179,80539,36818,43721,32.406660127391696,19.4936614559406,0.24832689752790574,2.1107786289871986,7.3256434770732195,3.2282496678627743,48.61752403715573,18.75528922028316
57.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.7740000000000002,1391324.0,1519562.0,3.0,3,23.0,314.431,"4,07",569.872,"82,91",USME,GRAN YOMASA,223,48,45,40,61,126,291,125387,61305,64082,33.25703621587565,17.78493783247067,3.828148053625974,3.5888888002743506,3.1901233780216454,4.864938151483009,47.46758013212626,19.66230766829999
23.0,2015,0.0,0,0.0,0,2.0,1,0.0,0,4.0,3.5728571428571425,209118.0,255647.0,7.0,5,41.0,981.613,"3,41",1.388.086,"91,6",SUBA,CASA BLANCA SUBA,83,0,20,9,3,46,69,48068,22299,25769,23.924440376133813,17.26720479320962,0.0,4.16077223932762,1.8723475076974285,0.6241158358991429,30.943091618458226,17.85090612751756
