codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
74.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,35.0,0.0,13.0,22.0,135897.0,65701.0,70196.0,2.5754799590866613,2.5754799590866613,3.3485030669244,1.8519573764886887
47.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,64.0,0.0,33.0,31.0,94686.0,44596.0,50090.0,6.759182983756838,6.759182983756838,6.951296080365952,6.588141345577959
70.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,17.0,0.0,8.0,9.0,95007.0,46315.0,48692.0,1.7893418379698338,1.7893418379698338,1.9432149411637698,1.6429803663846219
66.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,32.0,0.0,17.0,15.0,68147.0,33151.0,34996.0,4.695731286777114,4.695731286777114,4.524750384603783,4.857698022631158
65.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,35.0,0.0,14.0,21.0,77129.0,36651.0,40478.0,4.537852169741601,4.537852169741601,5.729720880739953,3.4586689065665297
79.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,34.0,0.0,14.0,20.0,120204.0,56697.0,63507.0,2.8285248411034574,2.8285248411034574,3.527523502125333,2.2044813957516496
59.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,14.0,0.0,7.0,7.0,48496.0,23875.0,24621.0,2.886836027713626,2.886836027713626,2.9319371727748686,2.843101417489135
45.0,2018,0.0,0,0.0,0,1.0,1,1.0,1,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,78.0,0.0,24.0,54.0,90556.0,43525.0,47031.0,8.61345465789125,8.61345465789125,12.406662837449742,5.103017158895197
20.0,2018,1.0,1,0.0,0,7.0,1,40.0,1,16.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,67.0,0.0,34.0,33.0,39506.0,17788.0,21718.0,16.95944919759024,16.95944919759024,18.551832696199686,15.655216870798416
51.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,11.0,0.0,4.0,7.0,73845.0,35930.0,37915.0,1.4896066084365902,1.4896066084365902,1.9482326746451433,1.054991428194646
115.0,2018,1.0,1,2.0,1,0.0,0,0.0,0,3.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,62.0,0.0,27.0,35.0,17190.0,8131.0,9059.0,36.067481093659104,36.067481093659104,43.045135899643334,29.804614195827355
43.0,2018,0.0,0,0.0,0,2.0,1,1.0,1,0.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,56.0,0.0,19.0,37.0,71167.0,33640.0,37527.0,7.868815602737224,7.868815602737224,10.998810939357908,5.063021291336904
25.0,2018,2.0,1,2.0,1,4.0,1,0.0,0,6.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,37.0,0.0,12.0,25.0,40557.0,18384.0,22173.0,9.122962743792687,9.122962743792687,13.598781549173193,5.411987552428629
56.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,24.0,0.0,7.0,17.0,50027.0,24123.0,25904.0,4.7974093989245805,4.7974093989245805,7.047216349541931,2.7022853613341566
