codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
56.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,11.0,0.0,4.0,7.0,50027.0,24123.0,25904.0,2.1988126411737663,2.1988126411737663,2.901794967458442,1.5441630636195183
26.0,2018,1,0.0,0,2.0,1,5.0,1,1.0,1,5.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,72.0,0.0,28.0,44.0,99530.0,47242.0,52288.0,7.233999799055561,7.233999799055561,9.313746242750096,5.354957160342717
102.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,9.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,93.0,0.0,40.0,53.0,35073.0,17460.0,17613.0,26.516123513814048,26.516123513814048,30.355097365406646,22.710497927667063
2.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,6.0,0.0,4.0,2.0,4077.0,1982.0,2095.0,14.716703458425313,14.716703458425313,10.090817356205854,19.093078758949883
116.0,2018,1,1.0,1,0.0,0,0.0,0,1.0,1,2.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,20.0,0.0,7.0,13.0,11820.0,5550.0,6270.0,16.920473773265652,16.920473773265652,23.423423423423422,11.164274322169058
81.0,2018,1,0.0,0,0.0,0,1.0,1,3.0,1,0.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,14.0,0.0,5.0,9.0,63264.0,30735.0,32529.0,2.2129489124936774,2.2129489124936774,2.9282576866764276,1.5370899812475023
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,4.0,0.0,0.0,4.0,18178.0,8980.0,9198.0,2.2004620970403783,2.2004620970403783,4.4543429844097995,0.0
33.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,12.0,0.0,4.0,8.0,42167.0,20418.0,21749.0,2.8458273057129984,2.8458273057129984,3.918111470271329,1.8391650190813371
19.0,2018,1,1.0,1,2.0,1,5.0,1,2.0,1,8.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,45.0,0.0,15.0,30.0,96752.0,44278.0,52474.0,4.651066644617166,4.651066644617166,6.775373774786575,2.858558524221519
41.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,31.0,0.0,16.0,15.0,56895.0,26833.0,30062.0,5.448633447578873,5.448633447578873,5.590131554429247,5.322333843390326
37.0,2018,1,0.0,0,1.0,1,1.0,1,0.0,0,4.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,18.0,0.0,7.0,11.0,38204.0,18413.0,19791.0,4.711548528949848,4.711548528949848,5.9740400803779945,3.536961245010358
107.0,2018,1,0.0,0,0.0,0,3.0,1,1.0,1,3.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,38.0,0.0,22.0,16.0,25448.0,11749.0,13699.0,14.93241119144923,14.93241119144923,13.618180270661332,16.059566391707424
73.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,29.0,0.0,12.0,17.0,160612.0,75640.0,84972.0,1.8055936044629293,1.8055936044629293,2.24748810153358,1.4122299110295156
31.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,29.0,0.0,13.0,16.0,65800.0,30709.0,35091.0,4.407294832826748,4.407294832826748,5.210198964472956,3.704653614887008
58.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,1.5654545454545454,857659.0,954745.0,0.0,0,29.0,314.431,"4,07",569.872,"82,91",USME,COMUNEROS,12.0,0.0,4.0,8.0,91633.0,44615.0,47018.0,1.3095718791265154,1.3095718791265154,1.793118906197467,0.8507380152282105
13.0,2018,1,4.0,1,1.0,1,5.0,1,2.0,1,2.0,4.381666666666667,1717632.0,1842552.0,20.0,5,88.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,LOS CEDROS,55.0,0.0,23.0,32.0,123293.0,54733.0,68560.0,4.46091830030902,4.46091830030902,5.84656422998922,3.354725787631272
63.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1596.0,5864.0,2.0,2,6.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL MOCHUELO,1.0,0.0,0.0,1.0,36.0,18.0,18.0,277.77777777777777,277.77777777777777,555.5555555555555,0.0
87.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.765,212992.0,339512.0,0.0,0,47.0,546.809,"3,98",703.807,"85,4",BOSA,TINTAL SUR,11.0,0.0,8.0,3.0,97019.0,45633.0,51386.0,1.133798534307713,1.133798534307713,0.657418973111564,1.556844276651228
