codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
16.0,2018,1,0.0,0,2.0,1,7.0,1,1.0,1,2.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,36.0,0.0,7.0,2.0,2.0,0.0,22.0,25.0,67760.0,30437.0,37323.0,6.917100152437112,5.215398153821462,0.09036159090323258,1.0561798963588538,0.39504667140277605,0.5555199796329735,6.9362455726092085,5.312868949232586,0.0,1.0330578512396693,0.29515938606847697,0.29515938606847697,8.213687288497553,5.894488653109343
82.0,2018,1,0.0,0,0.0,0,2.0,1,2.0,1,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,20.0,10.0,26.0,22.0,31.0,0.0,30.0,79.0,140235.0,69384.0,70851.0,7.752093006146058,1.431970786024297,0.6630944366829624,1.8504958734762906,1.540326097057755,2.065302376494933,7.772667308446537,1.4261774877883553,0.7130887438941776,1.8540307341248619,1.5687952365671907,2.2105751060719507,11.385910296321919,4.234238048863108
35.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,7.0,1.0,5.0,6.0,5.0,0.0,11.0,13.0,24983.0,11921.0,13062.0,9.368036281682782,2.7323817390627316,0.37973707551535735,1.9691835760208656,2.0501083120941206,1.6273233731963757,9.606532442060601,2.801905295601009,0.4002721850858584,2.001360925429292,2.4016331105151503,2.001360925429292,10.905125408942203,8.421374980860511
68.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,4.0,5.0,6.0,2.0,3.0,0.0,10.0,10.0,49741.0,24609.0,25132.0,4.102362633684666,0.8436843251703362,0.8007808064141901,1.228738794102845,0.515417655645647,0.8226048056644775,4.020827888462234,0.8041655776924469,1.0052069721155585,1.2062483665386703,0.40208278884622345,0.6031241832693351,4.063553984314682,3.9789909279006843
27.0,2018,1,1.0,1,2.0,1,7.0,1,2.0,1,0.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,23.0,0.0,17.0,14.0,7.0,0.0,26.0,35.0,166333.0,77901.0,88432.0,3.696366451834798,1.3881688697274714,0.04329944128906119,1.0318453643464232,0.8563205113763911,0.530668907863087,3.6673420187214805,1.382768302140886,0.0,1.0220461363650026,0.841685053477061,0.4208425267385305,4.492881991245299,2.9401121765876606
22.0,2018,1,1.0,1,0.0,0,5.0,1,0.0,0,0.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,17.0,1.0,6.0,12.0,3.0,0.0,11.0,28.0,64814.0,30527.0,34287.0,6.0234247117404935,2.6000930687811445,0.20736084783317282,0.9539926775520262,1.758261606754999,0.684825602372804,6.0172185021754565,2.622890116332891,0.15428765390193477,0.9257259234116085,1.851451846823217,0.46286296170580427,9.172208209126348,3.208213025344883
105.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2482.0,1423.0,1059.0,9.548289546091125,7.5678996030667065,0.3224638513622026,0.8485036887336034,0.8823332428448596,1.1434745285932457,12.087026591458502,12.087026591458502,0.0,0.0,0.0,0.0,7.027406886858749,18.885741265344667
104.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,9.0,0.0,2.0,1.0,1.0,0.0,8.0,5.0,2937.0,1546.0,1391.0,29.316953783185884,19.116183426410625,0.31679213570409936,4.393067471104672,1.6606314063123266,1.4806427213047249,44.262853251617294,30.643513789581203,0.0,6.809669731018045,3.4048348655090224,3.4048348655090224,32.34152652005175,57.51258087706686
74.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,11.0,4.0,17.0,5.0,20.0,0.0,22.0,35.0,135897.0,65701.0,70196.0,4.222514997292134,0.8241825309176581,0.30344014279657505,1.258608641575973,0.4162638721890017,1.438015209464523,4.194353076226848,0.8094365585700936,0.29434056675276127,1.2509474086992354,0.3679257084409516,1.4717028337638065,5.327163970107,3.1340817140577815
47.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,6.0,2.0,11.0,14.0,25.0,1.0,20.0,37.0,94686.0,44596.0,50090.0,6.127664198799123,0.65827243869766,0.23971745947608955,1.1750224136592373,1.4457880168650574,2.3495600312400864,6.125509579029634,0.6336734047272036,0.21122446824240118,1.1617345753332067,1.4785712776968083,2.6403058530300147,8.29670822495291,3.9928129367139147
70.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,1.0,8.0,16.0,6.0,12.0,0.0,17.0,26.0,95007.0,46315.0,48692.0,4.559519033282361,0.14045610416107593,0.7478030025169113,1.6834345639152495,0.6750792369147803,1.2616251860791607,4.525982296041344,0.10525540223351963,0.8420432178681571,1.6840864357363141,0.6315324134011178,1.2630648268022355,5.6137320522508904,3.4913332785673212
66.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,5.0,10.0,14.0,8.0,15.0,0.0,17.0,35.0,68147.0,33151.0,34996.0,7.592673742480908,0.7648217027849531,1.18792676433541,2.0398919575187238,1.1668420370076504,1.946187464754288,7.63056334101281,0.7337080135589241,1.4674160271178482,2.0543824379649878,1.1739328216942786,2.2011240406767723,10.557750897408827,4.857698022631158
65.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,5.0,1.0,9.0,12.0,13.0,0.0,12.0,28.0,77129.0,36651.0,40478.0,5.2113549887368755,0.6779626770505601,0.18183990200169178,1.1829228761512554,1.5080095393217452,1.579835210403677,5.186116765418974,0.6482645956773717,0.12965291913547433,1.1668762722192692,1.555835029625692,1.6854879487611665,7.639627840986603,2.964573348485597
79.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,4.0,1.0,16.0,18.0,17.0,0.0,22.0,34.0,120204.0,56697.0,63507.0,4.683295346177869,0.3570570679780938,0.12711740604205005,1.3380166526203683,1.4697570596236158,1.3868865165807327,4.6587467971115775,0.33276762836511264,0.08319190709127816,1.3310705134604506,1.497454327643007,1.4142624205517287,5.9967899536130655,3.464185050466878
59.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,4.0,3.0,9.0,2.0,9.0,0.0,11.0,16.0,48496.0,23875.0,24621.0,5.592656321449329,0.864502039312796,0.534735919764422,1.8458502024099017,0.526502054405725,1.6508965343035131,5.567469482019136,0.8248102936324645,0.6186077202243484,1.855823160673045,0.41240514681623225,1.855823160673045,6.701570680628272,4.467730798911498
