zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
511,2023,0,0,0,0,0,0,0,0,2,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,3
512,2023,0,0,0,0,0,0,0,0,3,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,1
512,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,1
512,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,1
512,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,1
513,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,3
513,2023,0,0,0,0,1,1,0,0,4,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,3
513,2019,0,0,0,0,1,1,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,3
513,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,3
514,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,0
514,2023,0,0,0,0,0,0,0,0,2,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,0
514,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,0
514,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",3,1,0
515,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,1
515,2023,2,1,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,1
515,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,1
515,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,1
516,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",0,0,3
516,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",0,0,3
516,2023,0,0,0,0,1,1,0,0,4,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",0,0,3
516,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",0,0,3
517,2011,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,2.1099999,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",2,1,6
517,2015,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,2.1099999,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",2,1,6
517,2023,0,0,0,0,0,0,0,0,8,45,CARVAJAL,8,KENNEDY,2.1099999,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",2,1,6
517,2019,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,2.1099999,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",2,1,6
518,2015,0,0,0,0,0,0,0,0,1,38,RESTREPO,15,ANTONIO NARIÃO,3,83087,354.715.513.318,77022,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3,1,5
518,2023,0,0,0,0,0,0,0,0,2,38,RESTREPO,15,ANTONIO NARIÃO,3,83087,354.715.513.318,77022,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3,1,5
518,2011,0,0,0,0,0,0,0,0,1,38,RESTREPO,15,ANTONIO NARIÃO,3,83087,354.715.513.318,77022,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3,1,5
518,2019,0,0,0,0,0,0,0,0,1,38,RESTREPO,15,ANTONIO NARIÃO,3,83087,354.715.513.318,77022,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3,1,5
519,2023,0,0,1,1,1,1,0,0,8,45,CARVAJAL,8,KENNEDY,2.79,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,7
519,2015,0,0,0,0,1,1,0,0,1,45,CARVAJAL,8,KENNEDY,2.79,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,7
519,2019,0,0,0,0,1,1,0,0,1,45,CARVAJAL,8,KENNEDY,2.79,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,7
519,2011,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,2.79,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,7
520,2019,0,0,0,0,0,0,1,1,2,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,5
520,2023,1,1,1,1,0,0,0,0,8,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,5
520,2015,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,5
