codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index,total_atraco,total_VEHICULO,total_violacion_domicilio,total_alteracion_orden,total_violacion_maltrato,total_homicidio,total_pandillas_drogas,total_armas,total_rapto_secuestro,total_alcohol_menores,total_sospechoso,total_auxilio,total_tendida,tasa_total_atraco,tasa_total_VEHICULO,tasa_total_violacion_domicilio,tasa_total_alteracion_orden,tasa_total_violacion_maltrato,tasa_total_homicidio,tasa_total_pandillas_drogas,tasa_total_armas,tasa_total_rapto_secuestro,tasa_total_alcohol_menores,tasa_total_sospechoso,tasa_total_auxilio,tasa_total_tendida
52,2018,4,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,24,16,10,0,12,0,22,40,18178,8980,9198,34.188540067896405,13.33532249494775,7.649804974837422,5.061054610068152,0.5767582491969393,5.084172220077136,34.10716250412587,13.20277258224227,8.801848388161513,5.501155242600946,0,6.601386291121135,44.54342984409799,23.918243096325288,3,3,2,10,6,1,3,3,2,3,3,2,2,1.6503465727802837,1.6503465727802837,1.1002310485201892,5.501155242600946,3.3006931455605675,0.5501155242600946,1.6503465727802837,1.6503465727802837,1.1002310485201892,1.6503465727802837,1.6503465727802837,1.1002310485201892,1.1002310485201892
52,2019,1,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,28,16,14,4,10,0,32,40,18698,9295,9403,38.46067657841879,15.071787473626651,6.14645423879077,7.031902848751804,2.0833687844077224,4.032149665950883,38.50679217028559,14.974863621777727,8.557064926730131,7.487431810888864,2.139266231682533,5.3481655792063325,43.03388918773534,34.03169201318728,3,2,2,9,8,0,3,3,2,3,3,3,2,1.6044496737618996,1.0696331158412664,1.0696331158412664,4.813349021285699,4.278532463365066,0,1.6044496737618996,1.6044496737618996,1.0696331158412664,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.0696331158412664
52,2019,2,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,4,4,24,4,6,0,24,18,18698,9295,9403,21.48129216484079,2.164498686668596,1.9626166737997128,11.605644460398928,2.010908860473638,2.021737909863848,22.462295432666597,2.139266231682533,2.139266231682533,12.835597390095195,2.139266231682533,3.2088993475237992,19.365250134480902,25.52376900989046,3,3,2,8,9,0,3,3,3,3,3,3,3,1.6044496737618996,1.6044496737618996,1.0696331158412664,4.278532463365066,4.813349021285699,0,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.6044496737618996
52,2019,3,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,0,10,18,6,4,0,20,18,18698,9295,9403,19.363637209537607,0.18139109613569712,2.835065746377632,8.669170063151983,2.3949108644642383,1.7558998104859798,20.32302920098406,0,5.3481655792063325,9.626698042571398,3.2088993475237992,2.139266231682533,19.365250134480902,21.26980750824205,3,2,1,10,6,0,4,2,2,3,3,3,0,1.6044496737618996,1.0696331158412664,0.5348165579206332,5.3481655792063325,3.2088993475237992,0,2.139266231682533,1.0696331158412664,1.0696331158412664,1.6044496737618996,1.6044496737618996,1.6044496737618996,0
52,2019,4,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,0,2,12,2,0,0,12,4,18698,9295,9403,8.505327223620387,0.14969439933898288,0.7535383924366933,6.1329392222440715,1.1166379400952506,0.8687634974245803,8.557064926730131,0,1.0696331158412664,6.4177986950475985,1.0696331158412664,0,4.303388918773535,12.76188450494523,2,1,2,12,9,0,3,3,3,2,4,3,1,1.0696331158412664,0.5348165579206332,1.0696331158412664,6.4177986950475985,4.813349021285699,0,1.6044496737618996,1.6044496737618996,1.6044496737618996,1.0696331158412664,2.139266231682533,1.6044496737618996,0.5348165579206332
52,2020,1,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,4,0,20,0,0,0,18,6,19176,9534,9642,11.904629633521552,2.095043693097873,0.11094455584112024,9.137798834393909,0.5277889908811497,0.6697160858736676,12.51564455569462,2.0859407592824364,0,10.429703796412182,0,0,6.293266205160479,18.668326073428748,0,0,2,7,5,0,3,1,1,0,2,2,2,0,0,1.0429703796412182,3.6503963287442636,2.6074259491030456,0,1.5644555694618274,0.5214851898206091,0.5214851898206091,0,1.0429703796412182,1.0429703796412182,1.0429703796412182
52,2020,2,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,0,0,8,4,4,0,8,8,19176,9534,9642,6.879406139054986,0.4184461784085024,0.20581446053411803,3.2912373492999016,1.040884582209167,1.1566092006354336,8.343763037129746,0,0,4.171881518564873,2.0859407592824364,2.0859407592824364,8.391021606880637,8.297033810412778,0,0,3,8,6,0,4,2,2,0,3,3,3,0,0,1.5644555694618274,4.171881518564873,3.128911138923655,0,2.0859407592824364,1.0429703796412182,1.0429703796412182,0,1.5644555694618274,1.5644555694618274,1.5644555694618274
52,2020,3,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,0,2,14,4,4,0,14,10,19176,9534,9642,11.40042037051964,0.3790909200371818,0.6026838231916963,6.181572472610936,1.7228063764714792,1.5616140952910176,12.51564455569462,0,1.0429703796412182,7.300792657488527,2.0859407592824364,2.0859407592824364,10.488777008600795,14.51980916822236,0,0,3,8,5,0,5,2,2,0,3,2,1,0,0,1.5644555694618274,4.171881518564873,2.6074259491030456,0,2.6074259491030456,1.0429703796412182,1.0429703796412182,0,1.5644555694618274,1.0429703796412182,0.5214851898206091
52,2020,4,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,0,6,20,0,10,0,22,14,19176,9534,9642,17.279901184728125,0.29352390097564945,1.724114513439739,9.319531699401193,0.608304048689999,4.291034069195086,18.773466833541928,0,3.128911138923655,10.429703796412182,0,5.214851898206091,14.684287812041116,22.816842978635137,0,0,2,7,5,0,3,3,2,0,3,3,1,0,0,1.0429703796412182,3.6503963287442636,2.6074259491030456,0,1.5644555694618274,1.5644555694618274,1.0429703796412182,0,1.5644555694618274,1.5644555694618274,0.5214851898206091
52,2021,1,0,0,0,0,0,0,0,0,0,1,614920,740280,0,0,176,314.431,407,569.872,8291,USME,LA FLORA,4,0,10,0,2,0,10,6,19494,9683,9811,7.943171199536749,2.003844032494748,0.06195150166806283,4.500481994627234,0.4519418411915532,1.2233732319661057,8.207653637016518,2.0519134092541296,0,5.129783523135324,0,1.0259567046270648,6.19642672725395,10.192640913260623,0,0,3,6,5,1,3,2,4,0,3,3,0,0,0,1.538935056940597,3.077870113881194,2.564891761567662,0.5129783523135324,1.538935056940597,1.0259567046270648,2.0519134092541296,0,1.538935056940597,1.538935056940597,0
