codigo_localidad,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
17.0,2019,4.0,1,0.0,0,0.0,0,2.0,1,8.0,LA CANDELARIA,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0,123.0,0.0,46.0,77.0,17345.0,9085.0,8260.0,70.91380801383684,70.91380801383684,84.75509080902586,55.690072639225185
6.0,2019,0.0,0,1.0,1,3.0,1,6.0,1,7.0,VENECIA,TUNJUELITO,2.3194736842105264,109452.43478260867,659.377.024.137,118026.65217391304,219.024.920.058,184.528,182.532,"3,63",829.895,"87,19",2.652173913043478,0.8695652173913043,4.0,164.0,0.0,73.0,91.0,175481.0,85805.0,89676.0,9.345741134367822,9.345741134367822,10.605442573276616,8.140416610910389
16.0,2019,1.0,1,0.0,0,6.0,1,2.0,1,16.0,CIUDAD MONTES,PUENTE ARANDA,2.9430232558139533,59670.51111111111,445.578.698.505,60731.48888888889,237.134.316.238,253.63800000000003,250.71499999999995,"3,55",1.116.511,"90,43",2.8,0.8222222222222222,5.4222222222222225,338.0,0.0,149.0,189.0,247237.0,120652.0,126585.0,13.671092918940127,13.671092918940127,15.664887444882803,11.770746928941028
18.0,2019,2.0,1,4.0,1,6.0,1,0.0,0,2.0,QUIROGA,RAFAEL URIBE URIBE,2.476363636363636,80121.6888888889,384.046.822.311,79297.2,226.849.943.649,378.164,378.78,"3,72",591.317,"87,06",2.511111111111111,0.8,3.0444444444444443,272.0,0.0,106.0,166.0,372981.0,184454.0,188527.0,7.292596673825208,7.292596673825208,8.999533759094408,5.6225368249640635
8.0,2019,2.0,1,4.0,1,13.0,1,7.0,1,10.0,TIMIZA,KENNEDY,2.611194029850746,90693.52857142856,430.438.314.853,93878.0,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",1.3428571428571427,0.5571428571428572,4.314285714285714,760.0,0.0,298.0,462.0,1027373.0,493558.0,533815.0,7.397508013155884,7.397508013155884,9.360601996117984,5.582458342309602
5.0,2019,0.0,0,2.0,1,0.0,0,5.0,1,3.0,CIUDAD USME,USME,1.2341975308641977,33564.545454545456,925.470.476.509,42141.34065934066,145.828.530.921,305.3897373737374,319.6309191919192,"4,07",569.872,"82,91",0.0909090909090909,0.0909090909090909,3.101010101010101,147.0,0.0,64.0,83.0,366436.0,179231.0,187205.0,4.011614579353557,4.011614579353557,4.6308953250274785,3.4187121070484228
14.0,2019,1.0,1,3.0,1,4.0,1,0.0,0,16.0,LA SABANA,LOS MARTIRES,2.8763636363636365,48715.545454545456,450.942.153.879,49934.40909090909,11.575.098.835,94.842,94.944,"3,53",1.059.511,"89,78",7.772727272727272,1.0,6.136363636363637,337.0,0.0,117.0,220.0,82957.0,38757.0,44200.0,40.62345552515159,40.62345552515159,56.76393941739557,26.470588235294116
19.0,2019,1.0,1,2.0,1,2.0,1,2.0,1,3.0,JERUSALEM,CIUDAD BOLIVAR,1.4298333333333335,93968.73913043478,537.476.344.439,101520.01449275362,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.4347826086956521,0.217391304347826,2.1449275362318843,243.0,0.0,104.0,139.0,619706.0,304313.0,315393.0,3.9212142532103935,3.9212142532103935,4.567665528584056,3.2974733110753887
11.0,2019,10.0,1,19.0,1,59.0,1,75.0,1,34.0,LA ACADEMIA,SUBA,3.6279775280898874,92596.23423423425,672.073.080.488,102797.96396396396,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",1.5945945945945943,0.4954954954954955,4.4324324324324325,756.0,0.0,350.0,406.0,1189086.0,559950.0,629136.0,6.357824413036568,6.357824413036568,7.250647379230289,5.5631850665039035
7.0,2019,1.0,1,2.0,1,5.0,1,4.0,1,3.0,TINTAL SUR,BOSA,1.9174074074074072,123136.85294117648,576.903.769.222,133841.88235294115,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.8235294117647058,0.2941176470588235,4.705882352941177,290.0,0.0,124.0,166.0,707173.0,340010.0,367163.0,4.100835297727713,4.100835297727713,4.882209346783918,3.3772466179871063
15.0,2019,1.0,1,4.0,1,5.0,1,1.0,1,11.0,CIUDAD JARDIN,ANTONIO NARIÑO,2.9225000000000003,70750.5,133.239.133.285,65494.75,23.201.141.615,116.828,119.565,"3,92",1.095.184,"90,79",4.35,1.0,4.85,155.0,0.0,68.0,87.0,80095.0,38097.0,41998.0,19.352019476871217,19.352019476871217,22.836443814473583,16.191247202247727
