codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
105.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,233.0,0.0,2.0,2.0,2.0,0.0,121.0,118.0,2482.0,1423.0,1059.0,962.9331184528605,938.7590652699436,0.0,8.058017727639001,8.058017727639001,8.058017727639001,829.2340126493324,1142.587346553352
104.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,3.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,843.0,0.0,55.0,8.0,8.0,1.0,416.0,496.0,2937.0,1546.0,1391.0,3112.0190670752468,2870.275791624106,0.0,187.26591760299627,27.23867892407218,27.23867892407218,3208.279430789133,2990.6542056074763
74.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,532.0,23.0,128.0,57.0,133.0,0.0,362.0,511.0,135897.0,65701.0,70196.0,64.23982869379014,39.147295378117256,1.6924582588283772,9.41889813608836,4.194353076226848,9.786823844529314,77.77659396356219,51.56989002222349
47.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,1133.0,6.0,124.0,234.0,206.0,2.0,701.0,998.0,94686.0,44596.0,50090.0,179.85763470840462,119.65866125932027,0.6336734047272036,13.095917031028875,24.71326278436094,21.756120228967323,223.78688671629743,139.9480934318227
70.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,372.0,72.0,139.0,44.0,138.0,0.0,282.0,483.0,95007.0,46315.0,48692.0,80.52038270864252,39.1550096308693,7.578388960813413,14.63050091045923,4.631237698274864,14.525245508225709,104.28586850912231,57.915057915057915
66.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,564.0,60.0,118.0,51.0,137.0,0.0,394.0,536.0,68147.0,33151.0,34996.0,136.46969052195988,82.76226392944665,8.804496162707089,17.315509119990608,7.4838217383010255,20.103599571514522,161.68441374317516,112.58429534803977
65.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,609.0,18.0,73.0,100.0,86.0,0.0,335.0,551.0,77129.0,36651.0,40478.0,114.87248635403026,78.95862775350386,2.3337525444385383,9.464663096889627,12.965291913547432,11.150151045650793,150.3369621565578,82.76100597855626
79.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,640.0,20.0,110.0,138.0,182.0,1.0,382.0,706.0,120204.0,56697.0,63507.0,90.67917872949319,53.24282053841802,1.6638381418255632,9.151109780040597,11.480483178596385,15.140927090612625,124.52157962502424,60.150849512652144
59.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,280.0,28.0,82.0,16.0,89.0,3.0,186.0,303.0,48496.0,23875.0,24621.0,102.07027383701748,57.736720554272516,5.773672055427252,16.90861101946552,3.299241174529858,18.352029033322335,126.91099476439791,75.54526623613988
45.0,2018,0.0,0,0.0,0,1.0,1,1.0,1,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,1386.0,34.0,122.0,172.0,152.0,0.0,650.0,1216.0,90556.0,43525.0,47031.0,206.06033835416758,153.05446353637527,3.7545827995936216,13.472326516188879,18.99377180970891,16.785193692300897,279.3796668581275,138.20671472007825
