codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,   ,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
16.0,2015,1,0.0,0,0.0,0,2.0,1,0.0,0,7.0,SANTA BARBARA,1,USAQUEN,5.738888888888889,51582.0,458.698.320.974,51474.0,112.217.546.144,425.192,430.156,"3,12",1.867.529,"93,6",2.0,0.6666666666666666,6.666666666666667,245.0,3.0,20.0,2.0,6.0,24.0,45.0,32.0,35.0,53.0,36.0,51.0,122.0,153.0,65473.0,29173.0,36300.0,42.15478136025537,37.42000519298031,0.45820414522016706,3.0546943014677805,0.3054694301467781,0.9164082904403341,52.44575463613615,33.608815426997246
82.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PATIO BONITO,8,KENNEDY,1.9566666666666668,160502.0,317.321.661.524,174145.0,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",1.5,0.6666666666666666,4.833333333333333,169.0,18.0,21.0,11.0,36.0,36.0,34.0,31.0,52.0,38.0,30.0,34.0,76.0,179.0,144804.0,72234.0,72570.0,17.610010773183063,11.670948316344854,1.2430595839893928,1.4502361813209579,0.7596475235490732,2.4861191679787855,24.78057424481546,10.472647099352349
35.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,CIUDAD JARDIN,15,ANTONIO NARIÑO,2.666,33741.0,133.239.133.285,30913.0,23.201.141.615,116.828,119.565,"3,92",1.095.184,"90,79",7.0,1.0,4.4,50.0,1.0,3.0,2.0,10.0,8.0,8.0,11.0,11.0,13.0,8.0,7.0,25.0,41.0,25069.0,11890.0,13179.0,26.327336551118915,19.944951932665845,0.39889903865331683,1.1966971159599507,0.7977980773066337,3.9889903865331684,34.48275862068965,18.969572805220427
68.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,EL TESORO,19,CIUDAD BOLIVAR,1.055,43942.0,210.862.210.964,47624.0,225.853.650.032,570.619,593.937,"4,09",505.335,"83,5",0.0,0.0,1.625,25.0,8.0,9.0,2.0,11.0,6.0,13.0,3.0,10.0,7.0,7.0,9.0,19.0,36.0,48247.0,24089.0,24158.0,11.39967251849856,5.181669326590255,1.6581341845088815,1.8654009575724915,0.4145335461272204,2.279934503699712,14.94458051392752,7.864889477605762
27.0,2015,1,1.0,1,0.0,0,1.0,1,0.0,0,2.0,SUBA,11,SUBA,2.840909090909091,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",1.2307692307692308,0.4615384615384615,3.692307692307693,252.0,2.0,25.0,18.0,10.0,48.0,50.0,36.0,45.0,44.0,38.0,46.0,122.0,185.0,163366.0,76565.0,86801.0,18.792159935359866,15.425486331305168,0.12242449469289816,1.530306183661227,1.1018204522360835,0.6121224734644908,24.162476327303597,14.055137613621964
22.0,2015,1,1.0,1,0.0,0,2.0,1,0.0,0,1.0,DOCE DE OCTUBRE,12,BARRIOS UNIDOS,3.292222222222222,94134.0,336.255.107.979,98583.0,293.179.189.433,223.073,230.066,"3,36",1.462.840,"92,44",4.111111111111111,0.8888888888888888,4.222222222222222,190.0,3.0,28.0,24.0,16.0,29.0,45.0,41.0,41.0,28.0,32.0,45.0,93.0,168.0,65712.0,31865.0,33847.0,39.71877282688094,28.914049184319452,0.4565376186997809,4.261017774531288,3.652300949598247,2.4348672997321645,52.7224227208536,27.476585812627413
105.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,JARDIN BOTANICO,10,ENGATIVA,2.67,1601.0,161.705.211.764,2464.0,152.376.041.138,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1.0,11.0,12.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,7.0,9.0,1908.0,1049.0,859.0,83.85744234800839,62.89308176100629,0.0,10.482180293501049,0.0,10.482180293501049,85.79599618684462,81.49010477299184
104.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,2.0,PARQUE SIMON BOLIVAR - CAN,13,TEUSAQUILLO,4.0,3249.0,398.684.265.835,3404.0,853.808.462.411,137.53,139.298,"2,87",1.933.116,"96,03",3.5,0.8333333333333334,5.666666666666667,77.0,2.0,9.0,1.0,6.0,7.0,8.0,9.0,24.0,15.0,13.0,19.0,31.0,64.0,2932.0,1459.0,1473.0,324.0109140518418,262.6193724420191,6.8212824010914055,30.695770804911323,3.4106412005457027,20.463847203274213,438.6566141192598,210.45485403937542
74.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,ENGATIVA,10,ENGATIVA,2.0016666666666665,118752.0,58.763.454.342,130828.0,222.634.971.795,804.4699999999999,824.337,"3,41",1.089.512,"91,78",0.0,0.0,2.5,38.0,8.0,17.0,2.0,27.0,11.0,14.0,12.0,22.0,16.0,10.0,7.0,20.0,72.0,130807.0,63588.0,67219.0,7.033262745877514,2.9050433080798426,0.6115880648589143,1.299624637825193,0.15289701621472856,2.0641097188988358,11.322891111530478,2.975349231616061
47.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,KENNEDY CENTRAL,8,KENNEDY,3.0,108199.0,337.213.395.794,96282.0,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1.125,0.5,3.5,148.0,10.0,14.0,19.0,43.0,17.0,34.0,32.0,35.0,45.0,31.0,40.0,72.0,161.0,97797.0,46364.0,51433.0,23.927114328660387,15.133388549751015,1.0225262533615551,1.431536754706177,1.9427998813869547,4.396862889454687,34.725217841428694,13.998794548247234
70.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,JERUSALEM,19,CIUDAD BOLIVAR,1.1733333333333331,87775.0,537.476.344.439,98693.0,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.0,0.0,2.5555555555555554,60.0,20.0,17.0,12.0,34.0,14.0,22.0,27.0,20.0,25.0,11.0,24.0,42.0,101.0,92919.0,45751.0,47168.0,15.389748060138402,6.457236948309817,2.1524123161032724,1.8295504686877817,1.2914473896619638,3.6591009373755634,22.076020196279863,8.904341926729986
66.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,SAN FRANCISCO,19,CIUDAD BOLIVAR,1.8425,74646.0,178.603.384.328,76213.0,426.716.438.139,570.619,593.937,"4,09",505.335,"83,5",0.5,0.375,3.25,74.0,15.0,17.0,8.0,31.0,12.0,21.0,15.0,24.0,24.0,30.0,19.0,60.0,85.0,69284.0,34028.0,35256.0,20.928352866462674,10.680676635298193,2.1650020206685525,2.453668956757693,1.1546677443565614,4.474337509381676,24.97942870577172,17.018379850238258
65.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ARBORIZADORA,19,CIUDAD BOLIVAR,2.463333333333334,58199.0,306.264.190.866,60752.0,198.364.685.823,570.619,593.937,"4,09",505.335,"83,5",1.5,0.5,3.5,54.0,5.0,8.0,22.0,15.0,8.0,14.0,21.0,24.0,10.0,14.0,13.0,37.0,67.0,72468.0,34778.0,37690.0,14.351161892145498,7.451564828614009,0.689959706353149,1.1039355301650384,3.0358227079538556,2.069879119059447,19.26505261947208,9.816927566993897
79.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CALANDAIMA,8,KENNEDY,2.1333333333333333,55758.0,318.934.387.072,68328.0,214.238.422.602,951.073,979.914,"3,72",999.300,"88,94",1.0,0.6666666666666666,7.333333333333333,55.0,8.0,9.0,26.0,28.0,23.0,15.0,21.0,16.0,15.0,20.0,16.0,34.0,92.0,103435.0,49223.0,54212.0,12.18156330062358,5.317349059796007,0.773432590515783,0.8701116643302558,2.513655919176294,2.70701406680524,18.690449586575383,6.271674168080867
59.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ALFONSO LOPEZ,5,USME,1.0,40952.0,216.493.429.751,54095.0,249.869.014.788,298.992,314.431,"4,07",569.872,"82,91",0.0,0.0,1.5,50.0,11.0,19.0,2.0,3.0,16.0,14.0,5.0,12.0,18.0,10.0,10.0,38.0,46.0,47422.0,23541.0,23881.0,17.92417021635528,10.543629539032516,2.319598498587154,4.006579224832357,0.42174518156130064,0.6326177723419509,19.540376364640416,15.912231481093755
45.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CARVAJAL,8,KENNEDY,2.7914285714285714,105369.0,438.593.005.327,96337.0,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",1.2857142857142858,0.5714285714285714,5.0,139.0,2.0,15.0,19.0,32.0,23.0,37.0,26.0,27.0,36.0,22.0,36.0,53.0,154.0,93912.0,45444.0,48468.0,22.0419115767953,14.801090382485732,0.21296532924439898,1.5972399693329924,2.0231706278217905,3.4074452679103837,33.88786198398029,10.935049929850624
