ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
95.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
839.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
89.0,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.0
68.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
93.0,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.0
67.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
44.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
66.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
129.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
184.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
183.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
127.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
91.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
140.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
139.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
852.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
138.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
133.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
147.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
851.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
143.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
142.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
167.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
153.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
