codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
104.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,9.0,0.0,6.0,3.0,2937.0,1546.0,1391.0,30.643513789581203,30.643513789581203,19.404915912031047,43.13443565780014
74.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,11.0,0.0,5.0,6.0,135897.0,65701.0,70196.0,0.8094365585700936,0.8094365585700936,0.9132281091612,0.7122912986494957
47.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,6.0,0.0,5.0,1.0,94686.0,44596.0,50090.0,0.6336734047272036,0.6336734047272036,0.22423535743115977,0.9982032341784787
70.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,1.0,0.0,0.0,1.0,95007.0,46315.0,48692.0,0.10525540223351963,0.10525540223351963,0.21591277124041888,0.0
66.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,5.0,0.0,1.0,4.0,68147.0,33151.0,34996.0,0.7337080135589241,0.7337080135589241,1.2066001025610087,0.28574694250771515
65.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,5.0,0.0,3.0,2.0,77129.0,36651.0,40478.0,0.6482645956773717,0.6482645956773717,0.5456877029276145,0.7411433371213992
79.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,4.0,0.0,2.0,2.0,120204.0,56697.0,63507.0,0.33276762836511264,0.33276762836511264,0.3527523502125333,0.31492591367880707
59.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,4.0,0.0,2.0,2.0,48496.0,23875.0,24621.0,0.8248102936324645,0.8248102936324645,0.837696335078534,0.8123146907111816
45.0,2018,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,16.0,0.0,7.0,9.0,90556.0,43525.0,47031.0,1.7668624939264101,1.7668624939264101,2.067777139574957,1.4883800046777658
20.0,2018,1,1.0,1,0.0,0,7.0,1,30.0,1,14.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,13.0,0.0,7.0,6.0,39506.0,17788.0,21718.0,3.29063939654736,3.29063939654736,3.3730604902181245,3.2231328851643797
51.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,3.0,0.0,0.0,3.0,73845.0,35930.0,37915.0,0.4062563477554337,0.4062563477554337,0.8349568605622043,0.0
115.0,2018,1,0.0,0,1.0,1,0.0,0,0.0,0,3.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,8.0,0.0,4.0,4.0,17190.0,8131.0,9059.0,4.653868528214078,4.653868528214078,4.9194441028163824,4.41549839938183
43.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,6.0,0.0,3.0,3.0,71167.0,33640.0,37527.0,0.8430873860075596,0.8430873860075596,0.89179548156956,0.7994244144216165
25.0,2018,1,2.0,1,1.0,1,4.0,1,0.0,0,6.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,10.0,0.0,5.0,5.0,40557.0,18384.0,22173.0,2.465665606430456,2.465665606430456,2.7197563098346387,2.254994813511929
56.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,2.0,0.0,0.0,2.0,50027.0,24123.0,25904.0,0.39978411657704843,0.39978411657704843,0.8290842764166977,0.0
