codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
79.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CALANDAIMA,8,KENNEDY,2.1333333333333333,55758.0,318.934.387.072,68328.0,214.238.422.602,951.073,979.914,"3,72",999.300,"88,94",1.0,0.6666666666666666,7.333333333333333,30.0,3.0,7.0,10.0,13.0,8.0,8.0,12.0,8.0,7.0,13.0,7.0,13.0,50.0,103435.0,49223.0,54212.0,6.09078165031179,2.9003722144341855,0.29003722144341854,0.67675351670131,0.9667907381447286,1.256827959588147,10.157853036182273,2.397993064266214
59.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ALFONSO LOPEZ,5,USME,1.0,40952.0,216.493.429.751,54095.0,249.869.014.788,298.992,314.431,"4,07",569.872,"82,91",0.0,0.0,1.5,28.0,4.0,12.0,2.0,1.0,10.0,8.0,3.0,8.0,8.0,7.0,3.0,19.0,28.0,47422.0,23541.0,23881.0,9.911011766690567,5.904432541858209,0.8434903631226013,2.5304710893678037,0.42174518156130064,0.21087259078065032,11.894142134998512,7.956115740546878
45.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,CARVAJAL,8,KENNEDY,2.7914285714285714,105369.0,438.593.005.327,96337.0,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",1.2857142857142858,0.5714285714285714,5.0,78.0,1.0,10.0,7.0,20.0,13.0,18.0,13.0,16.0,19.0,16.0,21.0,30.0,86.0,93912.0,45444.0,48468.0,12.351989096175142,8.305647840531561,0.10648266462219949,1.064826646221995,0.7453786523553965,2.12965329244399,18.92439045858639,6.1896509036890315
20.0,2015,1,1.0,1,0.0,0,2.0,1,0.0,0,8.0,LA ALHAMBRA,11,SUBA,4.996666666666667,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",5.5,1.0,4.333333333333333,58.0,1.0,4.0,0.0,0.0,4.0,5.0,9.0,12.0,13.0,10.0,10.0,28.0,35.0,40161.0,18050.0,22111.0,15.686860386942556,14.441871467343942,0.2489977839197231,0.9959911356788924,0.0,0.0,19.390581717451525,12.663380217991046
51.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,LOS LIBERTADORES,4,SAN CRISTOBAL,1.68875,29305.0,364.939.485.846,73429.0,2.012.087.013,407.552,404.35,"3,73",706.208,"83,68",0.0,0.0,1.6666666666666667,14.0,5.0,2.0,1.0,1.0,3.0,5.0,2.0,8.0,2.0,3.0,0.0,11.0,12.0,72249.0,35162.0,37087.0,3.183435064845188,1.937743082949245,0.6920511010533018,0.2768204404213207,0.13841022021066035,0.13841022021066035,3.4127751549968717,2.965998867527705
115.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,CAPELLANIA,9,FONTIBON,3.314,15427.0,272.109.155.246,16657.0,612.144.048.771,301.375,317.179,"3,46",1.428.379,"90,03",1.2,0.6,5.2,27.0,0.0,0.0,3.0,1.0,0.0,7.0,9.0,3.0,1.0,4.0,7.0,15.0,16.0,17116.0,8093.0,9023.0,18.11170834307081,15.774713718158448,0.0,0.0,1.752745968684272,0.5842486562280907,19.770171753367105,16.62418264435332
43.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,SAN RAFAEL,16,PUENTE ARANDA,3.0,76734.0,329.312.713.782,76749.0,23.305.811.403,253.638,250.71500000000003,"3,55",1.116.511,"90,43",1.5454545454545454,0.7272727272727273,2.8181818181818183,62.0,2.0,9.0,13.0,12.0,12.0,12.0,13.0,13.0,16.0,14.0,18.0,34.0,64.0,71524.0,33993.0,37531.0,13.70169453609977,8.668418992226385,0.279626419104077,1.2583188859683463,1.8175717241765001,1.6777585146244618,18.827405642338128,9.059177746396312
25.0,2015,1,1.0,1,0.0,0,1.0,1,0.0,0,5.0,LA FLORESTA,11,SUBA,4.04,25414.0,393.477.586.199,25324.0,643.594.473.694,923.064,981.613,"3,41",1.388.086,"91,6",4.8,1.0,5.0,48.0,0.0,4.0,2.0,1.0,7.0,9.0,8.0,10.0,7.0,6.0,8.0,23.0,31.0,37653.0,17113.0,20540.0,14.607069821793749,12.747988208110907,0.0,1.0623323506759088,0.5311661753379544,0.2655830876689772,18.114883421959913,11.197663096397275
56.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,DANUBIO,5,USME,1.508,29305.0,288.740.865.613,36193.0,125.347.688.223,298.992,314.431,"4,07",569.872,"82,91",0.8571428571428571,0.8571428571428571,1.1428571428571428,24.0,2.0,2.0,8.0,5.0,10.0,5.0,7.0,9.0,4.0,3.0,3.0,10.0,31.0,45568.0,22258.0,23310.0,8.99754213483146,5.26685393258427,0.43890449438202245,0.43890449438202245,1.7556179775280898,1.0972612359550562,13.927576601671309,4.29000429000429
26.0,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,3.0,LAS FERIAS,10,ENGATIVA,3.0646153846153847,110921.0,473.343.150.688,110859.0,234.204.297.324,804.47,824.337,"3,41",1.089.512,"91,78",1.4615384615384617,0.3846153846153846,5.3076923076923075,89.0,1.0,8.0,16.0,17.0,15.0,17.0,16.0,28.0,24.0,16.0,15.0,40.0,90.0,100458.0,47763.0,52695.0,13.040275538035795,8.859423838818213,0.09954408807660914,0.7963527046128731,1.5927054092257462,1.6922494973023552,18.84303749764462,7.59085302210836
