codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
25.0,2018,1,2.0,1,1.0,1,4.0,1,0.0,0,6.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,10.0,2.0,2.0,1.0,4.0,0.0,8.0,11.0,40557.0,18384.0,22173.0,4.684764652217866,2.465665606430456,0.4931331212860912,0.4931331212860912,0.2465665606430456,0.9862662425721824,5.983463881636205,3.607991701619086
56.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,2.0,0.0,6.0,3.0,0.0,0.0,6.0,5.0,50027.0,24123.0,25904.0,2.1988126411737663,0.39978411657704843,0.0,1.1993523497311451,0.5996761748655726,0.0,2.0727106910417445,2.316244595429277
26.0,2018,1,0.0,0,2.0,1,5.0,1,1.0,1,5.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,36.0,2.0,18.0,13.0,13.0,0.0,37.0,45.0,99530.0,47242.0,52288.0,8.238721993368834,3.6169998995277806,0.20094443886265445,1.8084999497638903,1.3061388526072542,1.3061388526072542,9.525422293721688,7.076193390452876
102.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,9.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,31.0,10.0,25.0,12.0,17.0,0.0,34.0,61.0,35073.0,17460.0,17613.0,27.086362729164883,8.838707837938015,2.8511960767541984,7.1279901918854955,3.421435292105038,4.847033330482137,34.93699885452463,19.303923238517005
2.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4077.0,1982.0,2095.0,9.811135638950208,9.811135638950208,0.0,0.0,0.0,0.0,5.045408678102927,14.319809069212411
116.0,2018,1,1.0,1,0.0,0,0.0,0,1.0,1,2.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,12.0,0.0,1.0,8.0,4.0,0.0,6.0,19.0,11820.0,5550.0,6270.0,21.150592216582066,10.152284263959391,0.0,0.8460236886632826,6.768189509306261,3.3840947546531304,34.234234234234236,9.569377990430622
81.0,2018,1,0.0,0,0.0,0,1.0,1,3.0,1,0.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,4.0,3.0,11.0,4.0,25.0,0.0,9.0,38.0,63264.0,30735.0,32529.0,7.429185634800202,0.6322711178553364,0.4742033383915023,1.7387455741021751,0.6322711178553364,3.9516944865958523,12.36375467707825,2.7667619662455043
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,2.0,12.0,0.0,2.0,0.0,10.0,8.0,18178.0,8980.0,9198.0,9.902079436681705,1.1002310485201892,1.1002310485201892,6.601386291121135,0.0,1.1002310485201892,8.908685968819599,10.871928680147857
33.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,5.0,0.0,12.0,9.0,10.0,0.0,13.0,23.0,42167.0,20418.0,21749.0,8.537481917138996,1.1857613773804159,0.0,2.8458273057129984,2.134370479284749,2.3715227547608317,11.264570477030071,5.977286312014345
19.0,2018,1,1.0,1,2.0,1,5.0,1,2.0,1,8.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,23.0,1.0,8.0,6.0,3.0,0.0,13.0,28.0,96752.0,44278.0,52474.0,4.237638498428973,2.377211840582107,0.10335703654704813,0.826856292376385,0.6201422192822887,0.31007110964114437,6.323682189800804,2.47741738765865
41.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,8.0,0.0,9.0,22.0,9.0,0.0,18.0,30.0,56895.0,26833.0,30062.0,8.436593725283418,1.4060989542139029,0.0,1.5818613234906407,3.8667721240882327,1.5818613234906407,11.180263108858494,5.9876255738141175
37.0,2018,1,0.0,0,1.0,1,1.0,1,0.0,0,4.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,7.0,2.0,6.0,6.0,6.0,0.0,11.0,16.0,38204.0,18413.0,19791.0,7.067322793424773,1.8322688723693854,0.5235053921055387,1.5705161763166162,1.5705161763166162,1.5705161763166162,8.689512844186174,5.558081956444848
107.0,2018,1,0.0,0,0.0,0,3.0,1,1.0,1,3.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,14.0,1.0,4.0,1.0,3.0,0.0,10.0,13.0,25448.0,11749.0,13699.0,9.038038352719271,5.501414649481296,0.39295818924866394,1.5718327569946557,0.39295818924866394,1.178874567745992,11.064771469912332,7.299802905321556
73.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,17.0,1.0,16.0,25.0,33.0,0.0,25.0,67.0,160612.0,75640.0,84972.0,5.728090055537568,1.058451423305855,0.062261848429756184,0.9961895748760989,1.5565462107439045,2.054640998181954,8.857747223691169,2.942145647978158
31.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,14.0,0.0,11.0,9.0,4.0,0.0,16.0,22.0,65800.0,30709.0,35091.0,5.775075987841945,2.127659574468085,0.0,1.6717325227963526,1.3677811550151975,0.60790273556231,7.164023576150314,4.559573679860933
58.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,1.5654545454545454,857659.0,954745.0,0.0,0,29.0,314.431,"4,07",569.872,"82,91",USME,COMUNEROS,6.0,7.0,16.0,3.0,10.0,0.0,16.0,26.0,91633.0,44615.0,47018.0,4.583501576942805,0.6547859395632577,0.7639169294904674,1.746095838835354,0.32739296978162885,1.0913098992720962,5.827636445141769,3.402952060912842
13.0,2018,1,4.0,1,1.0,1,5.0,1,2.0,1,2.0,4.381666666666667,1717632.0,1842552.0,20.0,5,88.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,LOS CEDROS,24.0,0.0,3.0,5.0,3.0,0.0,13.0,22.0,123293.0,54733.0,68560.0,2.8387661911057402,1.946582531043936,0.0,0.243322816380492,0.40553802730082,0.243322816380492,4.019512908117589,1.896149358226371
