"ZAT","codigo_upz","nombre_upz","codigo_localidad","nombre_localidad","estrato_mean","poblacion_2005","area_urbana_2009","poblacion_urbana_2009","densidad_urbana_2009","poblacion_por_localidad_2005","personas_por_localidad_2007","personas_por_hogar_2007_localidad","gasto_promedio_mensual_2007_localidad","ICV_2007_localidad","num_est_transmi","acceso_transmi","accesibilidad_arterial"
"70","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","4","1","5"
"71","13","LOS CEDROS","1","USAQUEN","5","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","3","1","5"
"72","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"73","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"74","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"75","13","LOS CEDROS","1","USAQUEN","4.17","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"76","13","LOS CEDROS","1","USAQUEN","4.94","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"77","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"78","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"79","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"80","13","LOS CEDROS","1","USAQUEN","5","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"81","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"82","13","LOS CEDROS","1","USAQUEN","4.6","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"83","13","LOS CEDROS","1","USAQUEN","4.59","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","6"
"84","13","LOS CEDROS","1","USAQUEN","6","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","0","0","0"
"85","14","USAQUEN","1","USAQUEN","5.71","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"86","14","USAQUEN","1","USAQUEN","5","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"87","15","COUNTRY CLUB","1","USAQUEN","5.79","87775","285.606.835.551","24678","864.054.949.959","425.192","430.156","3,12","1.867.529","93,6","3","1","13"
"88","15","COUNTRY CLUB","1","USAQUEN","5","87775","285.606.835.551","24678","864.054.949.959","425.192","430.156","3,12","1.867.529","93,6","3","1","8"
"89","19","EL PRADO","11","SUBA","3.26","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","3","1","6"
"90","19","EL PRADO","11","SUBA","3.06","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","2","1","1"
"91","19","EL PRADO","11","SUBA","3","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","4","1","3"
"92","24","NIZA","11","SUBA","4.21","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","5"
"93","24","NIZA","11","SUBA","4.67","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","12"
"94","24","NIZA","11","SUBA","3.39","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","10"
"95","24","NIZA","11","SUBA","4","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","4","1","5"
"96","24","NIZA","11","SUBA","5","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","5"
"97","24","NIZA","11","SUBA","5.96","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","4","1","3"
"98","24","NIZA","11","SUBA","5.69","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","4","1","1"
"99","28","EL RINCON","11","SUBA","2.84","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","2","1","4"
